hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
HIGH_NARROW_CONTINUE_LONG,120,3965,-0.00037673657540447127,-0.0003922859246277164,-0.0003432487678399752,0.4887767969735183,0.9047751553998685,0,3,0.7121671877373252,0.8349530087628719,0,4,0.6923152152268442,0.9710132022807302,12,31,0.8500229310116857,False
LOW_WIDEN_CONTINUE_SHORT,30,37746,-0.0007475873112735837,-0.0007623585814815758,-0.000756137636144055,0.40910295130609864,0.69211649627403,0,3,0.6035068389347151,0.6949024603856078,0,4,0.5770932824834677,0.6916501072543941,1,31,0.6573153559677167,False
LOW_WIDEN_CONTINUE_SHORT,60,37746,-0.0008684153889183361,-0.0008639364102459167,-0.0008605725237863474,0.4262173475335135,0.733227181702875,0,3,0.6781287562974704,0.7022254002335977,0,4,0.6337618295569071,0.736187017317521,1,31,0.6849549134931526,False
LOW_WIDEN_CONTINUE_SHORT,120,37746,-0.0009139641006425226,-0.0009180676883582292,-0.0009009735354419695,0.44298733640650667,0.7894352249920041,0,3,0.722031469722554,0.746111230104151,0,4,0.6820905131806294,0.7952642756998067,4,31,0.7403899599152288,False
LOW_WIDEN_REVERT_LONG,30,37746,-0.00045241268872641636,-0.000437641418518425,-0.0004438623638559448,0.4475970963810735,0.7994698011202742,0,3,0.7523771870587319,0.8268994345868526,0,4,0.7583116318358714,0.7838118203939946,3,31,0.7811600553399196,False
LOW_WIDEN_REVERT_LONG,60,37746,-0.0003315846110816643,-0.0003360635897540843,-0.00033942747621365266,0.469745138557728,0.8880054914446383,0,3,0.8199240810350982,0.8985655059491264,0,4,0.8620814914825443,0.8729516204234078,10,31,0.8418033785148876,False
LOW_WIDEN_REVERT_LONG,120,37746,-0.00028603589935747794,-0.00028193231164177135,-0.0002990264645580307,0.48240873205107826,0.9285273210478887,1,3,0.8353676402924645,0.9629334216235321,0,4,0.913633752271967,0.9275474153174561,11,31,0.9322039451966816,False
LOW_NARROW_REVERT_LONG,30,3672,-0.00024830261330581704,-0.0003573081762205071,-0.00032647824362203254,0.4624183006535948,0.8984510606910129,1,3,0.8184640240011599,0.908125473240954,1,4,0.7246016913650208,0.872925996129942,10,31,0.8884169022454876,False
LOW_NARROW_REVERT_LONG,60,3672,-4.2551634819542595e-05,-0.00019400008626895723,-0.00015775509891714613,0.48175381263616557,0.9868109648483636,2,3,0.763749867804255,1.046707636917169,2,4,0.8086363300454464,1.0024293572878373,14,31,0.9625423330926408,False
LOW_NARROW_REVERT_LONG,120,3672,0.00029962058142313426,0.00012150792328324765,0.00025560593304018765,0.49564270152505446,1.0731270988655068,2,3,0.7213524574905584,1.2673810599515458,3,4,0.8915703709301076,1.19730453891217,16,31,1.0723910668413268,False
LOW_NARROW_CONTINUE_SHORT,30,3672,-0.000951697386694183,-0.0008426918237794943,-0.0008735217563779677,0.4125816993464052,0.6634415294858221,0,3,0.5105364619289632,0.6415242756266748,0,4,0.5571321429925309,0.6342212872737104,2,31,0.6234785626098889,False
LOW_NARROW_CONTINUE_SHORT,60,3672,-0.001157448365180458,-0.0010059999137310444,-0.0010422449010828545,0.42429193899782136,0.6968442973243618,0,3,0.44484070151869826,0.6534742883975546,0,4,0.6157760572953361,0.6486505521899681,6,31,0.6579294790313909,False
LOW_NARROW_CONTINUE_SHORT,120,3672,-0.0014996205814231352,-0.0013215079232832484,-0.0014556059330401896,0.4400871459694989,0.7019076308590004,1,3,0.5240581604107567,0.5977453865707764,0,4,0.5842687717649838,0.6195622343507055,9,31,0.6230729722422874,False
