period,experiment,cost,assets,samples,positive_assets,mean_return,median_profit_factor
2026-07,ATR_EXPANDING,0.0,4,244,0,-0.0008230837985102322,0.703935657660737
2026-07,ATR_EXPANDING,0.0002,4,244,0,-0.001023083798510232,0.6273909798653404
2026-07,ATR_EXPANDING,0.0004,4,244,0,-0.0012230837985102324,0.5601715250752407
2026-07,ATR_EXPANDING,0.0006,4,244,0,-0.001423083798510232,0.5017358793478561
2026-07,ATR_EXPANDING,0.0008,4,244,0,-0.0016230837985102319,0.45094043336525497
2026-07,ATR_EXPANDING,0.001,4,244,0,-0.0018230837985102326,0.4062174537754375
2026-07,BASE_SHORT,0.0,4,309,0,-0.0008826291349012152,0.6083081262685369
2026-07,BASE_SHORT,0.0002,4,309,0,-0.001082629134901215,0.5450380142865219
2026-07,BASE_SHORT,0.0004,4,309,0,-0.0012826291349012152,0.4887085750582472
2026-07,BASE_SHORT,0.0006,4,309,0,-0.001482629134901215,0.4387705616229973
2026-07,BASE_SHORT,0.0008,4,309,0,-0.0016826291349012151,0.39471995002819926
2026-07,BASE_SHORT,0.001,4,309,0,-0.0018826291349012157,0.35538052307291257
