stop_loss_fraction,take_profit_r_multiple,policy,activation_r_multiple,split,cost,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
0.005,2.0,break_even_1r,1.0,development,0.001,BNBUSDT,103,-0.000357093863353718,-0.0005794573317409171,0.32038834951456313,0.8537638616677816,10,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
0.005,2.0,break_even_1r,1.0,development,0.001,SOLUSDT,87,-0.0011220727046470976,-0.0014289758915548836,0.25287356321839083,0.6367321902335848,9,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
0.005,2.0,break_even_1r,1.0,validation,0.0006,BTCUSDT,124,-0.00027712165419012234,-0.0007748188078863344,0.3548387096774194,0.8767465187262466,14,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,validation,0.0006,ETHUSDT,141,-0.0011157815267813787,-0.003815332023500883,0.2695035460992908,0.6277423960040628,17,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,validation,0.0006,BNBUSDT,103,0.00030444335266218434,-6.602791230436722e-17,0.3883495145631068,1.160863068920364,5,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,validation,0.0006,SOLUSDT,112,-0.0003698911932032319,-0.0031186791433901566,0.32142857142857145,0.8707583753644644,9,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,validation,0.001,BTCUSDT,124,-0.0006771216541901228,-0.0011748188078863344,0.3548387096774194,0.7298486060190149,14,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
0.005,2.0,break_even_1r,1.0,validation,0.001,ETHUSDT,141,-0.0015157815267813788,-0.004215332023500883,0.2695035460992908,0.5392111002735535,17,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
0.005,2.0,break_even_1r,1.0,validation,0.001,BNBUSDT,103,-9.555664733781587e-05,-0.0004000000000000661,0.36893203883495146,0.955358470392549,5,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
0.005,2.0,break_even_1r,1.0,validation,0.001,SOLUSDT,112,-0.0007698911932032326,-0.0035186791433901568,0.32142857142857145,0.7542985221531759,9,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
0.005,2.0,break_even_1r,1.0,confirmation,0.0006,BTCUSDT,92,5.296414543821703e-05,-0.0009906922859580052,0.3695652173913043,1.0242670373945237,7,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,confirmation,0.0006,ETHUSDT,95,0.0005350858770752353,-0.001061880964037986,0.37894736842105264,1.2233523508890132,7,-0.005600000000000004,0.009400000000000009,-0.005600000000000004,0.009400000000000009
0.005,2.0,break_even_1r,1.0,confirmation,0.0006,BNBUSDT,77,0.000293830607110074,-6.602791230436722e-17,0.44155844155844154,1.1953194972752794,6,-0.005600000000000004,0.00611799074585953,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,confirmation,0.0006,SOLUSDT,99,-0.0007771238126115277,-0.003912574532926993,0.29292929292929293,0.7361722494880216,10,-0.005600000000000004,0.009400000000000009,-0.005600000000000115,0.009400000000000009
0.005,2.0,break_even_1r,1.0,confirmation,0.001,BTCUSDT,92,-0.00034703585456178363,-0.0013906922859580053,0.358695652173913,0.8575373993096398,9,-0.0060000000000000045,0.009000000000000008,-0.0060000000000001155,0.009000000000000008
