year,hypothesis,side,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
2025,UP_CONTINUATION_LONG,LONG,0.0,6424,8.893793456580271e-05,0.00010989663591753907,0.5077833125778332,1.0274150057437728,-0.009957477097174493,0.010014047395761345
2025,UP_CONTINUATION_LONG,LONG,0.0002,6424,-0.0001110620654341971,-9.010336408246094e-05,0.4917496886674969,0.9667883791326076,-0.010157477097174494,0.009814047395761345
2025,UP_CONTINUATION_LONG,LONG,0.0004,6424,-0.00031106206543419715,-0.00029010336408246095,0.476027397260274,0.9097705351508196,-0.010357477097174493,0.009614047395761346
2026,UP_CONTINUATION_LONG,LONG,0.0,3843,-1.552656654076678e-05,-0.00017909843405672365,0.4790528233151184,0.9941339664585019,-0.008307844678002075,0.008251788865557554
2026,UP_CONTINUATION_LONG,LONG,0.0002,3843,-0.0002155265665407666,-0.00037909843405672364,0.46578194119177724,0.9216896421954683,-0.008507844678002075,0.008051788865557553
2026,UP_CONTINUATION_LONG,LONG,0.0004,3843,-0.0004155265665407666,-0.0005790984340567236,0.4496487119437939,0.8547518341901973,-0.008707844678002074,0.007851788865557555
2024,UP_REVERSAL_SHORT,SHORT,0.0,6371,-0.00019982582627835253,-8.530530769612632e-05,0.4938000313922461,0.9433967177932546,-0.01076215243048606,0.009825247376741286
2024,UP_REVERSAL_SHORT,SHORT,0.0002,6371,-0.0003998258262783523,-0.0002853053076961263,0.4820279390990425,0.8899368621696737,-0.010962152430486061,0.009625247376741286
2024,UP_REVERSAL_SHORT,SHORT,0.0004,6371,-0.0005998258262783523,-0.00048530530769612634,0.46962800188353476,0.8395113315878865,-0.01116215243048606,0.009425247376741287
2025,UP_REVERSAL_SHORT,SHORT,0.0,6424,1.299600373049051e-05,-0.00010988455901267402,0.4912826899128269,1.0039622928538299,-0.009914760438306046,0.010057625680306503
2025,UP_REVERSAL_SHORT,SHORT,0.0002,6424,-0.00018700399626950937,-0.000309884559012674,0.47929638854296386,0.9447195263408183,-0.010114760438306046,0.009857625680306502
2025,UP_REVERSAL_SHORT,SHORT,0.0004,6424,-0.0003870039962695093,-0.000509884559012674,0.46466376089663763,0.88905605611161,-0.010314760438306045,0.009657625680306503
2026,UP_REVERSAL_SHORT,SHORT,0.0,3843,7.633673335244268e-05,0.00017913051605167318,0.5170439760603694,1.0293766908486484,-0.008184254117971523,0.008377443176205191
2026,UP_REVERSAL_SHORT,SHORT,0.0002,3843,-0.00012366326664755716,-2.0869483948326826e-05,0.4985688264376789,0.9541465394191241,-0.008384254117971524,0.00817744317620519
