beta_window_days,residual_lookback_days,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_turnover,mean_abs_market_beta
28,3,confirmation,0.0006,211,-0.000250887880980824,-0.000499951711627544,0.47393364928909953,0.9353102738850704,7,-0.01051072273275643,0.011634957747395319,-0.05241954003778944,0.03711005586681225,0.19132181968414697,0.8590047393364929,0.08700112909080368
28,3,confirmation,0.0014,211,-0.0005944897767154211,-0.000799951711627544,0.46445497630331756,0.8537281142873958,7,-0.010916986237909794,0.011506479513288481,-0.052619540037789445,0.036810055866812255,0.231592449668923,0.8590047393364929,0.08700112909080368
56,1,development,0.0006,275,-0.00044881710734048135,-0.0003388005584482207,0.4727272727272727,0.905077798771015,7,-0.013940194132307474,0.014150709374018947,-0.050945929268642214,0.050540320633485195,0.28955802548602416,1.481818181818182,0.09321349600724894
56,1,development,0.0014,275,-0.0010415443800677543,-0.0010388005584482207,0.4618181818181818,0.7937408064527222,7,-0.014555319940406182,0.013474783298039418,-0.05154592926864222,0.050040320633485194,0.3594113339050614,1.481818181818182,0.09321349600724894
56,1,validation,0.0006,365,-0.0005619958854640136,-9.153049522383453e-05,0.4904109589041096,0.8692613838724195,12,-0.0118049346975714,0.010701430741204668,-0.10785730391606746,0.057839942169324116,0.23720675334974284,1.489041095890411,0.1327033751038421
56,1,validation,0.0014,365,-0.001157612323820178,-0.0006915304952238345,0.4684931506849315,0.7490684171991904,12,-0.012491545577086408,0.010301430741204669,-0.10855730391606747,0.057139942169324116,0.36730524533228304,1.489041095890411,0.1327033751038421
56,1,confirmation,0.0006,211,-0.0007277087892641688,-0.0007589921832712199,0.47393364928909953,0.8093301983640556,8,-0.010594775342773583,0.009242903576765701,-0.04009495611767932,0.026213622037470713,0.21306315017093647,1.4632701421800949,0.08148368946477794
56,1,confirmation,0.0014,211,-0.0013130168461362066,-0.0014453320903784336,0.4265402843601896,0.6824568679578527,8,-0.011196602655336129,0.008742903576765701,-0.04069495611767932,0.025713622037470713,0.28032151005358596,1.4632701421800949,0.08148368946477794
56,3,development,0.0006,275,-0.0004720524577357984,-0.0004072483890757563,0.4763636363636364,0.896759909246242,8,-0.012571499403218323,0.012792617170753648,-0.07491481083523553,0.038599324590013834,0.2816531555495022,0.8845454545454545,0.09621151417896251
56,3,development,0.0014,275,-0.0008258706395539799,-0.0008540350642578651,0.44,0.8265774149118567,8,-0.013071499403218324,0.012492617170753648,-0.07541481083523553,0.03839932459001383,0.33869852434819403,0.8845454545454545,0.09621151417896251
56,3,validation,0.0006,365,0.0010206535178334916,0.0009143614400859259,0.5561643835616439,1.2931329806443135,6,-0.009842896552192166,0.013511785015935099,-0.10978552380152579,0.050071185942993236,0.10978552380152573,0.897945205479452,0.13315027690717288
56,3,validation,0.0014,365,0.000661475435641711,0.0007087656953296505,0.5232876712328767,1.1810820940465543,8,-0.010217568286582022,0.013134038215058196,-0.1101855238015258,0.04947118594299323,0.11191117106167126,0.897945205479452,0.13315027690717288
56,3,confirmation,0.0006,211,-0.0002836069549610865,-0.0005147220767403784,0.46445497630331756,0.9252598983477435,7,-0.009896670752304423,0.011506479513288481,-0.05234454003778944,0.03711005586681225,0.19751265809630592,0.8708530805687204,0.07743296589687435
56,3,confirmation,0.0014,211,-0.0006319481871885747,-0.000799951711627544,0.44549763033175355,0.8416382753912707,7,-0.010396670752304424,0.011034957747395319,-0.05244454003778944,0.036810055866812255,0.23824169611978807,0.8708530805687204,0.07743296589687435
