fast_span,slow_span,adx_threshold,hold_bars,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
24,192,20,96,validation,0.0006,3076,-0.0007315269316401653,-0.0008566896628288795,0.46781534460338103,0.8991298102421572,10,-0.021711482315266605,0.02087517646827407,-0.1714767192990096,0.18217106761071772
24,192,20,96,validation,0.001,3076,-0.0011315269316401655,-0.0012566896628288795,0.4580624187256177,0.8484682164902696,10,-0.022111482315266606,0.02047517646827407,-0.1718767192990096,0.1817710676107177
24,192,20,96,confirmation,0.0006,1815,-0.00010154536723161832,-0.0007549224996941767,0.4738292011019284,0.9818183225391466,9,-0.01613661481350126,0.017649295918653652,-0.10690474748567098,0.0863777344096514
24,192,20,96,confirmation,0.001,1815,-0.0005015453672316184,-0.0011549224996941767,0.4578512396694215,0.9135049010250728,9,-0.01653661481350126,0.01724929591865365,-0.10730474748567098,0.0859777344096514
24,192,25,48,development,0.0006,4422,-0.0006312855655844074,-0.0012090676312952013,0.43826322930800543,0.8805635263674144,14,-0.01548452667341007,0.01505137559747212,-0.17001373022787908,0.1867977308071998
24,192,25,48,development,0.001,4422,-0.0010312855655844077,-0.0016090676312952015,0.4176843057440072,0.8129896122134742,14,-0.01588452667341007,0.014651375597472118,-0.1704137302278791,0.1863977308071998
24,192,25,48,validation,0.0006,4439,-0.0007270777105872687,-0.0010245542932677092,0.45055192610948414,0.8614421909549753,13,-0.01522597341239702,0.014723416872600554,-0.2146086054877619,0.09634603447705396
24,192,25,48,validation,0.001,4439,-0.001127077710587269,-0.0014245542932677093,0.4311781932867763,0.7939880742267607,13,-0.01562597341239702,0.014323416872600553,-0.2150086054877619,0.09594603447705397
24,192,25,48,confirmation,0.0006,2626,-0.0004148840373770078,-0.0008717552276699786,0.4444021325209444,0.9045360196489832,9,-0.01305711293049112,0.012438068638560663,-0.09267323708128357,0.09151380440461691
24,192,25,48,confirmation,0.001,2626,-0.0008148840373770083,-0.0012717552276699786,0.42155369383092156,0.8218007688227393,9,-0.013457112930491122,0.012038068638560662,-0.09307323708128357,0.09111380440461692
24,192,25,96,development,0.0006,2796,-0.0005486503339826317,-0.0012401184496833133,0.4592274678111588,0.9252409534264184,11,-0.02129659898464493,0.022191671376213185,-0.15942368792160316,0.16517302530792327
24,192,25,96,development,0.001,2796,-0.0009486503339826318,-0.0016401184496833135,0.4438483547925608,0.874491843677743,11,-0.021696598984644933,0.021791671376213184,-0.15982368792160317,0.16477302530792326
24,192,25,96,validation,0.0006,2775,-0.001437163568198884,-0.001446092328376624,0.45225225225225224,0.817044255476969,9,-0.02248133869944293,0.021470526451597322,-0.24465727586936575,0.1223915088177661
24,192,25,96,validation,0.001,2775,-0.0018371635681988844,-0.0018460923283766242,0.43963963963963965,0.7725414086956818,10,-0.02288133869944293,0.02107052645159732,-0.24505727586936576,0.1219915088177661
24,192,25,96,confirmation,0.0006,1647,-0.0002748161099012284,-0.0008314413007000748,0.46873102610807527,0.9541262833438748,9,-0.018098595698508666,0.018635701696213494,-0.10690474748567098,0.09470884599203293
24,192,25,96,confirmation,0.001,1647,-0.0006748161099012286,-0.0012314413007000749,0.45780206435944143,0.8912457269770064,9,-0.018498595698508667,0.018235701696213493,-0.10730474748567098,0.09430884599203293
48,96,20,48,development,0.0006,5142,-0.0007458559611455925,-0.00111538456828476,0.44457409568261375,0.857325669788582,13,-0.01522051956304956,0.014426654178649531,-0.11602238405186267,0.10409379169421233
48,96,20,48,development,0.001,5142,-0.001145855961145593,-0.0015153845682847602,0.42551536367172305,0.789884953420824,13,-0.015620519563049561,0.01402665417864953,-0.11642238405186267,0.10369379169421233
48,96,20,48,validation,0.0006,5187,-0.0003120138837996596,-0.0007010592938939236,0.4634663582032003,0.9356371911424224,13,-0.014305410634811389,0.014551067331881662,-0.11729238282632377,0.09899803849334025
48,96,20,48,validation,0.001,5187,-0.0007120138837996599,-0.0011010592938939237,0.44129554655870445,0.859478488014597,13,-0.01470541063481139,0.01415106733188166,-0.11769238282632377,0.09859803849334026
48,96,20,48,confirmation,0.0006,3012,-0.0005366513731459413,-0.0007746015080189566,0.449867197875166,0.8717843414262358,10,-0.01263161028730737,0.011634082160199214,-0.06157898230088506,0.06939166765861209
48,96,20,48,confirmation,0.001,3012,-0.0009366513731459418,-0.0011746015080189567,0.42330677290836655,0.7876323200889155,13,-0.013031610287307371,0.011234082160199213,-0.061978982300885055,0.06899166765861209
48,96,20,96,development,0.0006,3040,-0.0008609930699629809,-0.0008088252671629264,0.4723684210526316,0.8822419849823488,13,-0.02092056534227386,0.02077957246388343,-0.13635514651515762,0.17258220984953937
48,96,20,96,development,0.001,3040,-0.0012609930699629813,-0.0012088252671629265,0.4598684210526316,0.8324301416673681,13,-0.02132056534227386,0.02037957246388343,-0.13675514651515763,0.17218220984953936
48,96,20,96,validation,0.0006,3023,-0.000712147282804337,-0.0008464875523786602,0.471386040357261,0.9021161165811395,14,-0.021507068098647577,0.02090904338347852,-0.16327552025533548,0.1897008406864446
48,96,20,96,validation,0.001,3023,-0.001112147282804337,-0.0012464875523786603,0.4594773403903407,0.8515113705505014,14,-0.021907068098647578,0.020509043383478517,-0.1636755202553355,0.1893008406864446
48,96,20,96,confirmation,0.0006,1781,-0.00037632788519241354,-0.0009869781841046026,0.46153846153846156,0.9356091333961354,9,-0.016995779868833893,0.017837458548879127,-0.10892346290513628,0.0863777344096514
48,96,20,96,confirmation,0.001,1781,-0.0007763278851924138,-0.0013869781841046027,0.44357102751263333,0.8719554812774036,9,-0.017395779868833894,0.017437458548879126,-0.10932346290513628,0.0859777344096514
48,96,25,48,development,0.0006,4442,-0.0008377628787480155,-0.001204463514362885,0.43921656911301216,0.8451447175123823,13,-0.01563044908424006,0.014946102842738099,-0.17001373022787908,0.13814298940621378
48,96,25,48,development,0.001,4442,-0.0012377628787480159,-0.0016044635143628852,0.4191805493021162,0.7804738454063608,14,-0.01603044908424006,0.014546102842738098,-0.1704137302278791,0.13774298940621377
