symbol,hypothesis,side,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
BTCUSDT,DOWN_REVERSAL_LONG,LONG,0.0002,3979,-0.00019561784008676765,0.00013433751900435737,0.5114350339281226,0.9249570592738394,-0.008041665115451258,0.007249755827478871
BTCUSDT,DOWN_REVERSAL_LONG,LONG,0.0004,3979,-0.00039561784008676775,-6.566248099564264e-05,0.49560191002764514,0.8538036527239713,-0.008241665115451257,0.007049755827478871
ETHUSDT,DOWN_REVERSAL_LONG,LONG,0.0,4062,2.4141466907674875e-05,0.0004358054240686249,0.5275726243229936,1.0071408062582137,-0.010392865067432765,0.01001455330298391
ETHUSDT,DOWN_REVERSAL_LONG,LONG,0.0002,4062,-0.00017585853309232493,0.00023580542406862487,0.5137863121614968,0.949418735707128,-0.010592865067432766,0.009814553302983909
ETHUSDT,DOWN_REVERSAL_LONG,LONG,0.0004,4062,-0.00037585853309232486,3.580542406862486e-05,0.5034465780403742,0.8948680173653525,-0.010792865067432765,0.00961455330298391
SOLUSDT,DOWN_REVERSAL_LONG,LONG,0.0,4229,0.0002122103657397499,0.00037745344740813813,0.518562307874202,1.0518524729671703,-0.012656971115343784,0.012823805327394803
SOLUSDT,DOWN_REVERSAL_LONG,LONG,0.0002,4229,1.2210365739749965e-05,0.00017745344740813812,0.5086308820052021,1.0029143999954997,-0.012856971115343785,0.012623805327394802
SOLUSDT,DOWN_REVERSAL_LONG,LONG,0.0004,4229,-0.00018778963426024968,-2.2546552591861887e-05,0.4989359186568929,0.9562160909302805,-0.013056971115343784,0.012423805327394804
BNBUSDT,UP_CONTINUATION_LONG,LONG,0.0,4254,0.0003194183898167192,0.00027281960320124643,0.5239774330042313,1.1270058031719337,-0.007832923957462023,0.008467693450287639
BNBUSDT,UP_CONTINUATION_LONG,LONG,0.0002,4254,0.00011941838981671936,7.281960320124642e-05,0.5075223319228961,1.045725070919396,-0.008032923957462024,0.008267693450287638
BNBUSDT,UP_CONTINUATION_LONG,LONG,0.0004,4254,-8.058161018328074e-05,-0.0001271803967987536,0.48801128349788436,0.9702871652069507,-0.008232923957462022,0.00806769345028764
BTCUSDT,UP_CONTINUATION_LONG,LONG,0.0,4032,-1.1702081645726867e-05,-0.00010712787739053375,0.49206349206349204,0.9954157326581906,-0.007659143981907024,0.007891405807190343
BTCUSDT,UP_CONTINUATION_LONG,LONG,0.0002,4032,-0.00021170208164572664,-0.00030712787739053374,0.47346230158730157,0.9202939363539923,-0.007859143981907023,0.007691405807190344
BTCUSDT,UP_CONTINUATION_LONG,LONG,0.0004,4032,-0.00041170208164572686,-0.0005071278773905337,0.4575892857142857,0.8510072313515694,-0.008059143981907022,0.007491405807190344
ETHUSDT,UP_CONTINUATION_LONG,LONG,0.0,4203,0.00010256640810746081,-0.0001299534604171093,0.49036402569593146,1.0312498876479044,-0.00995944172290053,0.01029014885063995
ETHUSDT,UP_CONTINUATION_LONG,LONG,0.0002,4203,-9.743359189253897e-05,-0.0003299534604171093,0.4765643587913395,0.9712203720614647,-0.010159441722900531,0.01009014885063995
ETHUSDT,UP_CONTINUATION_LONG,LONG,0.0004,4203,-0.00029743359189253894,-0.0005299534604171093,0.4625267665952891,0.9148174461500825,-0.01035944172290053,0.00989014885063995
SOLUSDT,UP_CONTINUATION_LONG,LONG,0.0,4149,0.00017661238856225513,-6.27904056259565e-05,0.4938539407086045,1.0428298668820177,-0.012317092468762092,0.012920523765026603
SOLUSDT,UP_CONTINUATION_LONG,LONG,0.0002,4149,-2.338761143774486e-05,-0.0002627904056259565,0.48590021691973967,0.9944650452758536,-0.012517092468762092,0.012720523765026602
SOLUSDT,UP_CONTINUATION_LONG,LONG,0.0004,4149,-0.00022338761143774453,-0.0004627904056259565,0.4762593395999036,0.9484007078313543,-0.012717092468762091,0.012520523765026603
BNBUSDT,UP_REVERSAL_SHORT,SHORT,0.0,4254,-0.00025311269755351023,-0.00027274519264508523,0.47461212976022565,0.909601147634949,-0.008396593668894382,0.007894763127588994
BNBUSDT,UP_REVERSAL_SHORT,SHORT,0.0002,4254,-0.00045311269755351005,-0.0004727451926450852,0.4595674659144335,0.8441015060883654,-0.008596593668894382,0.007694763127588994
BNBUSDT,UP_REVERSAL_SHORT,SHORT,0.0004,4254,-0.0006531126975535103,-0.0006727451926450852,0.44240714621532673,0.783465064710684,-0.008796593668894381,0.007494763127588994
BTCUSDT,UP_REVERSAL_SHORT,SHORT,0.0,4032,6.902598362152058e-05,0.00010713937951400965,0.5076884920634921,1.0274696174624023,-0.007829619105326091,0.007718259261033623
BTCUSDT,UP_REVERSAL_SHORT,SHORT,0.0002,4032,-0.00013097401637847918,-9.286062048599036e-05,0.4935515873015873,0.9498706441733582,-0.008029619105326092,0.007518259261033624
BTCUSDT,UP_REVERSAL_SHORT,SHORT,0.0004,4032,-0.0003309740163784794,-0.00029286062048599037,0.47544642857142855,0.8781319902045847,-0.00822961910532609,0.007318259261033623
ETHUSDT,UP_REVERSAL_SHORT,SHORT,0.0,4203,-3.0084555712551966e-06,0.00012997035051376393,0.5096359743040685,0.9990975435045237,-0.010185340122223272,0.01005963003245425
ETHUSDT,UP_REVERSAL_SHORT,SHORT,0.0002,4203,-0.00020300845557125503,-7.002964948623608e-05,0.49464668094218417,0.9408686831372569,-0.010385340122223273,0.009859630032454249
ETHUSDT,UP_REVERSAL_SHORT,SHORT,0.0004,4203,-0.000403008455571255,-0.0002700296494862361,0.48084701403759217,0.8860122358445194,-0.010585340122223272,0.00965963003245425
SOLUSDT,UP_REVERSAL_SHORT,SHORT,0.0,4149,-2.0527538391089013e-05,6.27943485085325e-05,0.5015666425644734,0.9951315372124196,-0.012755713092514243,0.012470695179231762
SOLUSDT,UP_REVERSAL_SHORT,SHORT,0.0002,4149,-0.00022052753839108902,-0.00013720565149146752,0.4921667871776332,0.9489163862841656,-0.012955713092514243,0.012270695179231761
SOLUSDT,UP_REVERSAL_SHORT,SHORT,0.0004,4149,-0.0004205275383910887,-0.0003372056514914675,0.48276693179079294,0.9048455348770061,-0.013155713092514242,0.012070695179231762
