threshold,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,2024-07,SOLUSDT,0.0006,61,0.00010029393768493805,-0.0016479999383529,0.00014207196699717059,0.00018457773230203653,0.4918032786885246,1.0269139992176226,-0.0134367993475737,-0.010759662714418099,0.0127231802214415,0.0145852271761003
2.5,2024-08,BNBUSDT,0.0004,59,-0.0011509908360280287,-0.0019131454511064,-0.001341896724929598,-0.0013811980450474486,0.4406779661016949,0.6945961250089169,-0.01707890872925489,-0.009631786487001297,0.006088064308792765,0.012779913061830026
2.5,2024-08,BNBUSDT,0.0006,59,-0.001350990836028028,-0.0021131454511064,-0.0015418967249295975,-0.0015811980450474482,0.423728813559322,0.6521342681458837,-0.017278908729254888,-0.009831786487001297,0.005888064308792764,0.012579913061830025
2.5,2024-08,BTCUSDT,0.0004,70,3.891864148013994e-05,-0.0005276818548066501,-8.905526212498252e-05,6.876900139382522e-05,0.4714285714285714,1.0103950655433716,-0.018319103719171434,-0.01000682821474006,0.012269980436172293,0.023067300299832578
2.5,2024-08,BTCUSDT,0.0006,70,-0.00016108135851985992,-0.0007276818548066499,-0.0002890552621249825,-0.00013123099860617424,0.44285714285714284,0.9582014738830298,-0.018519103719171433,-0.01020682821474006,0.012069980436172292,0.02286730029983258
2.5,2024-08,ETHUSDT,0.0004,67,-0.0005397527465034901,0.0001762875321957,-0.00047555125976173545,-0.00039847123813787293,0.5074626865671642,0.8677253304425333,-0.02166916426822002,-0.011582925849912157,0.009958692800278415,0.02233351528041984
2.5,2024-08,ETHUSDT,0.0006,67,-0.0007397527465034905,-2.3712467804299915e-05,-0.000675551259761735,-0.0005984712381378726,0.4925373134328358,0.8230005238750249,-0.02186916426822002,-0.011782925849912158,0.009758692800278416,0.02213351528041984
2.5,2024-08,SOLUSDT,0.0004,68,-0.0005915482391803643,-0.00175550558887955,-0.0010337071000239562,-0.0005663403283301848,0.39705882352941174,0.8949946881650727,-0.019519158099224967,-0.01670035707750787,0.01704676969731277,0.02780232581024452
2.5,2024-08,SOLUSDT,0.0006,68,-0.0007915482391803648,-0.00195550558887955,-0.001233707100023956,-0.0007663403283301849,0.38235294117647056,0.8624884012797768,-0.019719158099224966,-0.01690035707750787,0.01684676969731277,0.02760232581024452
2.5,2024-09,BNBUSDT,0.0004,60,0.0008087935501154738,0.00106476322719995,0.0006556060987149135,0.0007681490064669529,0.5833333333333334,1.533968980160766,-0.006436262695352345,-0.00549647826272085,0.007009531881510543,0.009998333047822957
2.5,2024-09,BNBUSDT,0.0006,60,0.0006087935501154741,0.00086476322719995,0.0004556060987149135,0.000568149006466953,0.5833333333333334,1.3809683734721319,-0.006636262695352345,-0.00569647826272085,0.006809531881510543,0.009798333047822957
2.5,2024-09,BTCUSDT,0.0004,59,-0.00017293521480823553,-0.0010764519558051,-0.00027180472790205103,-0.0003050942797959423,0.4067796610169492,0.8997434822286972,-0.00694062441452834,-0.0041107873628386,0.005136066279145763,0.006218847774705707
2.5,2024-09,BTCUSDT,0.0006,59,-0.0003729352148082355,-0.0012764519558051,-0.00047180472790205074,-0.0005050942797959422,0.4067796610169492,0.7977104653842296,-0.0071406244145283395,-0.004310787362838599,0.004936066279145763,0.0060188477747057075
