stop_loss_fraction,take_profit_r_multiple,policy,activation_r_multiple,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,break_even_exit_share
0.01,2.0,no_break_even,,validation,0.001,480,-0.00036098179015694315,-0.0012433344392951953,0.42083333333333334,0.8905400729930815,11,-0.01100000000000001,0.010445752515132958,-0.01100000000000012,0.019000000000000017,0.0
0.01,2.0,no_break_even,,confirmation,0.0006,363,2.786187265683584e-05,-0.0008834260193674831,0.4380165289256198,1.009288630529204,7,-0.010600000000000009,0.010041002699102845,-0.01060000000000012,0.019400000000000018,0.0
0.01,2.0,no_break_even,,confirmation,0.001,363,-0.0003721381273431648,-0.0012834260193674831,0.4022038567493113,0.8848208412676423,8,-0.01100000000000001,0.009641002699102844,-0.01100000000000012,0.019000000000000017,0.0
0.01,2.0,break_even_0.75r,0.75,development,0.0006,416,0.000596150576306743,-6.602791230436722e-17,0.44711538461538464,1.2125153590210056,11,-0.010600000000000009,0.010913888004221262,-0.01060000000000012,0.019400000000000018,0.10336538461538461
0.01,2.0,break_even_0.75r,0.75,development,0.001,416,0.0001961505763067427,-0.0004000000000000661,0.43509615384615385,1.0647671349763639,11,-0.01100000000000001,0.010513888004221261,-0.01100000000000012,0.019000000000000017,0.10336538461538461
0.01,2.0,break_even_0.75r,0.75,validation,0.0006,480,2.538671455455646e-05,-0.00012942045587112036,0.4083333333333333,1.0088346694612351,14,-0.010600000000000009,0.01042229938883883,-0.01060000000000012,0.019400000000000018,0.08541666666666667
0.01,2.0,break_even_0.75r,0.75,validation,0.001,480,-0.0003746132854454442,-0.0005294204558711204,0.39375,0.8796871829762227,14,-0.01100000000000001,0.01002229938883883,-0.01100000000000012,0.019000000000000017,0.08541666666666667
0.01,2.0,break_even_0.75r,0.75,confirmation,0.0006,363,-7.78420488422148e-05,-0.0006,0.39669421487603307,0.972751546525195,9,-0.010600000000000009,0.009409037492609398,-0.01060000000000012,0.019400000000000018,0.07988980716253444
0.01,2.0,break_even_0.75r,0.75,confirmation,0.001,363,-0.00047784204884221545,-0.001,0.36363636363636365,0.8460571447990027,9,-0.01100000000000001,0.009009037492609397,-0.01100000000000012,0.019000000000000017,0.07988980716253444
0.01,2.0,break_even_1r,1.0,development,0.0006,416,0.0006628609089335128,-6.602791230436722e-17,0.4807692307692308,1.225873070780686,8,-0.010600000000000009,0.011032922483165609,-0.01060000000000012,0.019400000000000018,0.038461538461538464
0.01,2.0,break_even_1r,1.0,development,0.001,416,0.0002628609089335123,-0.0004000000000000661,0.46875,1.0835928312706573,8,-0.01100000000000001,0.010632922483165608,-0.01100000000000012,0.019000000000000017,0.038461538461538464
0.01,2.0,break_even_1r,1.0,validation,0.0006,480,9.585066049902341e-05,-0.0006123789953207498,0.425,1.0326721777569363,11,-0.010600000000000009,0.010655365368956353,-0.01060000000000012,0.019400000000000018,0.035416666666666666
0.01,2.0,break_even_1r,1.0,validation,0.001,480,-0.00030414933950097717,-0.0010123789953207498,0.41041666666666665,0.9039681016100637,11,-0.01100000000000001,0.010255365368956352,-0.01100000000000012,0.019000000000000017,0.035416666666666666
0.01,2.0,break_even_1r,1.0,confirmation,0.0006,363,-0.00010089596638735487,-0.0006447613755634179,0.4132231404958678,0.9653169312014234,9,-0.010600000000000009,0.009409037492609398,-0.01060000000000012,0.019400000000000018,0.046831955922865015
0.01,2.0,break_even_1r,1.0,confirmation,0.001,363,-0.0005008959663873556,-0.001044761375563418,0.3774104683195592,0.8410048104088866,9,-0.01100000000000001,0.009009037492609397,-0.01100000000000012,0.019000000000000017,0.046831955922865015
