period,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak
2024-08,0.0006,68,-0.0003056996138717848,-0.0020985328889285,0.4264705882352941,0.944650619537755,10
2024-09,0.0006,36,0.0019603923888499566,0.0013403710763049,0.5833333333333334,2.169359353946537,3
2024-10,0.0006,56,0.0009579814061698931,0.0011658530902776,0.5714285714285714,1.397769510550354,4
2024-11,0.0006,48,0.0011150855226384627,0.0023775853783245503,0.6458333333333334,1.324429617954221,4
2024-12,0.0006,49,0.0019801752006392273,0.0004525564818557,0.5102040816326531,1.750598136845296,6
2025-01,0.0006,55,0.001967076575227107,0.0034509010749918002,0.5818181818181818,1.552072790696573,5
2025-02,0.0006,59,0.0011283897095620797,-0.0020304787335495,0.3898305084745763,1.3103603317203851,8
2025-03,0.0006,39,0.0004398943771835687,-0.0020754850158513,0.3333333333333333,1.0887498665932343,10
2025-04,0.0006,41,0.0032551387327100154,0.0008099521991814001,0.5365853658536586,1.8841630421981042,4
2025-05,0.0006,66,0.0001512502532089243,-0.00015578965754189995,0.48484848484848486,1.0620241330990983,6
2025-06,0.0006,44,0.0020768027450290996,0.00119905897525805,0.5909090909090909,2.2102404973560263,4
2025-07,0.0006,48,-0.0002390618770642082,-0.0012476483220071498,0.3541666666666667,0.8986240009376157,10
2025-08,0.0006,39,0.0030722328439924352,0.0008618504196926,0.5128205128205128,2.237240398092491,4
2025-09,0.0006,43,-0.0009449257318537603,-0.0010247100342800999,0.4418604651162791,0.6450786615077717,7
2025-10,0.0006,65,-0.002105847977104562,-0.0025020360843415,0.36923076923076925,0.5845684823247734,9
2025-11,0.0006,66,0.0020030221754526456,0.0005856590191718501,0.5454545454545454,1.8629697172934518,7
2025-12,0.0006,70,-0.0013547052393011372,-0.0018984000196590998,0.34285714285714286,0.5810788604468031,9
2026-01,0.0006,72,-0.000231172935424037,-0.0014337337706789499,0.4444444444444444,0.9319234620464786,7
2026-02,0.0006,73,0.0015529477844445727,0.0001016840417,0.5068493150684932,1.5089150811636927,7
2026-03,0.0006,68,0.0003592823575062446,-0.0010440869878063498,0.4264705882352941,1.102282938490928,6
2026-04,0.0006,51,-8.950928956684048e-05,-0.0005957002377770631,0.43137254901960786,0.9659845810221458,11
2026-05,0.0006,61,4.819643260239843e-05,-0.0008333722287046999,0.4426229508196721,1.0287586789035708,9
2026-06,0.0006,96,0.00011941048921692821,-0.0017811710847029,0.4270833333333333,1.0332347140094202,9
2026-07,0.0006,63,-0.0011383968240318702,-0.0011427408412483,0.3333333333333333,0.5483135608539099,9
2024-01,0.0008,27,-0.004308664648306944,-0.0011668011604255,0.48148148148148145,0.36671294630840445,6
2024-02,0.0008,52,0.00047935154171152534,-0.00132539252436495,0.40384615384615385,1.1677066855934317,5
2024-03,0.0008,47,-0.0007544380837055811,0.0005899220860574999,0.5106382978723404,0.856031479412248,6
2024-04,0.0008,39,0.0033880531047041974,0.0018448194858637001,0.6153846153846154,3.4335736178823373,6
2024-05,0.0008,51,0.0006138398529834507,-0.0017532888465203,0.4117647058823529,1.1922406773819414,6
2024-06,0.0008,36,0.0015620355747993136,4.569282010474996e-05,0.5,1.9378478016996488,4
2024-07,0.0008,49,0.0008764311861671611,0.0014375940270225,0.5918367346938775,1.3049288359100237,5
2024-08,0.0008,68,-0.0005056996138717841,-0.0022985328889285,0.4264705882352941,0.9103018949738313,10
2024-09,0.0008,36,0.0017603923888499567,0.0011403710763049,0.5833333333333334,2.000336423227758,3
2024-10,0.0008,56,0.0007579814061698927,0.0009658530902775999,0.5535714285714286,1.3038785251740521,4
2024-11,0.0008,48,0.0009150855226384624,0.0021775853783245498,0.625,1.260824339741159,4
2024-12,0.0008,49,0.0017801752006392267,0.0002525564818556999,0.5102040816326531,1.6506277055833882,6
