symbol,period,year,open_time,event,ret_5m,return_z,range_ratio,volume_ratio_7d,close_position,future_long_1,future_short_1,future_long_3,future_short_3,future_long_6,future_short_6,future_long_12,future_short_12,entry_time,exit_time,gross_return,net_return_4bps,net_return_5bps,net_return_8bps
ETHUSDT,2026-01,2026,2026-01-30 18:25:00+00:00,EXTREME_UP,0.0093557408169195,5.244085655065117,6.839274770296787,14.3254072825769,0.8093750000000028,-0.0026920919798092,0.0026993589022605,0.0147167694896241,-0.014503327363976,0.0242138717517292,-0.0236414214057811,0.0269396148812863,-0.0262329103784748,2026-01-30 18:30:00+00:00,2026-01-30 19:00:00+00:00,0.0242138717517292,0.0238138717517292,0.0236138717517292,0.023413871751729202
SOLUSDT,2026-01,2026,2026-01-30 18:25:00+00:00,EXTREME_UP,0.0096103442250568,5.085063076135646,5.832681209399657,9.938965820956613,0.9279999999999972,-0.0019037729318103,0.0019074041962892,0.0136725510557285,-0.0134881338569233,0.0214607130494981,-0.0210098271772281,0.026306680512288,-0.0256323777403034,2026-01-30 18:30:00+00:00,2026-01-30 19:00:00+00:00,0.0214607130494981,0.0210607130494981,0.0208607130494981,0.0206607130494981
BNBUSDT,2026-01,2026,2026-01-30 20:55:00+00:00,EXTREME_UP,0.0085880213527305,7.063366438525551,11.384092929832162,38.45195030895984,0.7399103139013392,-0.0053159933462839,0.0053444041632557,-0.0038852117673059,0.0039003655132949,-0.0026987099701046,0.002706012713594,-0.0005816185280398,0.0005819570050165,2026-01-30 21:00:00+00:00,2026-01-30 21:30:00+00:00,-0.0026987099701046,-0.0030987099701046002,-0.0032987099701046,-0.0034987099701046
SOLUSDT,2026-01,2026,2026-01-31 16:10:00+00:00,EXTREME_UP,0.0088512065592099,4.259056808152058,5.535587257723562,7.673468926144743,0.7680000000000063,0.006834764939503,-0.0067883680396294,0.0010159785720882,-0.0010149474072707,-0.0066500415627597,0.0066945606694559,-0.0509836519811581,0.0537226277372262,2026-01-31 16:15:00+00:00,2026-01-31 16:45:00+00:00,-0.0066500415627597,-0.0070500415627597,-0.0072500415627596996,-0.0074500415627597
BNBUSDT,2026-01,2026,2026-01-31 16:15:00+00:00,EXTREME_UP,0.0055158987670342,4.159118569489511,11.337797967494938,33.47688406175648,0.773584905660378,-0.0002482159478747,0.0002482775743282,-0.0044678870617437,0.0044879386648382,-0.0118895439031958,0.0120326061017119,-0.0253056158858206,0.0259626158704289,2026-01-31 16:20:00+00:00,2026-01-31 16:50:00+00:00,-0.0118895439031958,-0.0122895439031958,-0.0124895439031958,-0.0126895439031958
SOLUSDT,2026-01,2026,2026-01-31 17:15:00+00:00,EXTREME_UP,0.0110938108213312,5.07370453396865,7.520182265980821,16.189901317957258,0.7134146341463422,-0.0014435569242613,0.0014456437933692,-0.0090462900587046,0.0091288724871321,-0.0142430949860454,0.0144488919261933,-0.0119334039072274,0.0120775299503261,2026-01-31 17:20:00+00:00,2026-01-31 17:50:00+00:00,-0.0142430949860454,-0.014643094986045399,-0.0148430949860454,-0.0150430949860454
BNBUSDT,2026-02,2026,2026-02-01 14:40:00+00:00,EXTREME_UP,0.0097106857670237,6.157901654062047,8.391247480245898,11.619074833717471,0.7742946708463968,0.0046497456549385,-0.0046282255831432,0.0104917337855021,-0.0103828002097534,-0.0027818991097923,0.0027896596615213,-0.0112733149639677,0.0114018516285487,2026-02-01 14:45:00+00:00,2026-02-01 15:15:00+00:00,-0.0027818991097923,-0.0031818991097923,-0.0033818991097922997,-0.0035818991097922998
ETHUSDT,2026-02,2026,2026-02-01 18:00:00+00:00,EXTREME_UP,0.0107173583160042,4.380492428360951,6.81680222268003,8.424722106026982,0.6996735582154544,0.0062920521671436,-0.0062527097909529,0.0101588197803983,-0.0100566560242545,0.0073827886067232,-0.0073286824931109,-6.416096703409924e-05,6.416508392792508e-05,2026-02-01 18:05:00+00:00,2026-02-01 18:35:00+00:00,0.0073827886067232,0.0069827886067232,0.0067827886067232,0.0065827886067231995
BNBUSDT,2026-02,2026,2026-02-01 23:10:00+00:00,EXTREME_UP,0.0113086273666094,6.382477232502252,12.681146005024864,13.421505987704773,0.8379287155346357,-0.0019944686735453,0.0019984545284978,0.0089219231996595,-0.0088430263972902,0.0136288692692265,-0.0134456206629675,0.0149186256781193,-0.0146993318485522,2026-02-01 23:15:00+00:00,2026-02-01 23:45:00+00:00,0.0136288692692265,0.013228869269226501,0.0130288692692265,0.0128288692692265
BTCUSDT,2026-02,2026,2026-02-01 23:10:00+00:00,EXTREME_UP,0.008161148457872,4.767604284831205,9.473797709166943,12.842040315040023,0.7957088767353783,-0.004363505323163,0.0043826289479067,0.0022496468198116,-0.0022445972687042,0.0090978172028128,-0.0090157931646625,0.0119872358982526,-0.0118452441622078,2026-02-01 23:15:00+00:00,2026-02-01 23:45:00+00:00,0.0090978172028128,0.008697817202812801,0.0084978172028128,0.0082978172028128
