hypothesis,state,side,horizon_bars,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,1,5,0.0,11368,-2.029144360683614e-05,-5.479677700503949e-05,-4.289864835944728e-05,-3.438574388255297e-05,0.4682441942294159,0.9584404346656616,-0.00149737929693389,0.001448410036655332
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,1,5,0.0004,11368,-0.00042029144360683615,-0.0004547967770050395,-0.0004428986483594473,-0.000434385743882553,0.3019880365939479,0.42855056314943246,-0.00189737929693389,0.001048410036655332
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,1,5,0.0006,11368,-0.0006202914436068361,-0.0006547967770050394,-0.0006428986483594472,-0.0006343857438825529,0.2448099929627023,0.29599342438030013,-0.00209737929693389,0.0008484100366553319
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,3,15,0.0,11368,-2.6546872133673673e-05,-5.439168360998892e-05,-4.9525773868594786e-05,-4.151379207138267e-05,0.4824947220267417,0.9685950390149332,-0.00249859151166281,0.0024612366285320106
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,3,15,0.0004,11368,-0.00042654687213367363,-0.00045439168360998894,-0.0004495257738685947,-0.0004415137920713827,0.3766713581984518,0.6025672979502614,-0.00289859151166281,0.0020612366285320104
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,3,15,0.0006,11368,-0.0006265468721336736,-0.0006543916836099889,-0.0006495257738685947,-0.0006415137920713826,0.33172061928219565,0.47893661221047207,-0.0030985915116628097,0.0018612366285320108
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,6,30,0.0,11368,-5.5243222854962585e-05,-0.00013299802740544998,-8.657116015919203e-05,-6.414519246461506e-05,0.4722906403940887,0.9537895920835927,-0.00345767674290245,0.0034667890689670214
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,6,30,0.0004,11368,-0.0004552432228549626,-0.0005329980274054501,-0.000486571160159192,-0.00046414519246461506,0.4005981703026038,0.6796223496439145,-0.00385767674290245,0.003066789068967021
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,6,30,0.0006,11368,-0.0006552432228549625,-0.00073299802740545,-0.0006865711601591919,-0.0006641451924646149,0.3679627023223082,0.5756677275887576,-0.00405767674290245,0.0028667890689670216
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,12,60,0.0,11368,-0.00011994257114245403,-0.0001491358909638,-0.00016034095898736201,-0.00014380437706041504,0.47880014074595356,0.9310569122372582,-0.0051819171414763795,0.00483881087951862
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,12,60,0.0004,11368,-0.0005199425711424541,-0.0005491358909638,-0.0005603409589873622,-0.0005438043770604152,0.4225017593244194,0.7346291204065953,-0.00558191714147638,0.00443881087951862
SELL_CONFIRMED_SHORT,SELL_CONFIRMED,SHORT,12,60,0.0006,11368,-0.000719942571142454,-0.0007491358909637999,-0.0007603409589873619,-0.000743804377060415,0.39523223082336384,0.6534565032968612,-0.005781917141476379,0.00423881087951862
