hypothesis,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,12,60,0.0,16416,0.00011416596249030113,0.00043868377622036103,0.5284478557504874,1.0359446276354778,-0.009779677319309787,0.009614816194845277
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,12,60,0.0002,16416,-8.58340375096987e-05,0.00023868377622036102,0.5153508771929824,0.9737654153709138,-0.009979677319309788,0.009414816194845277
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,12,60,0.0004,16416,-0.0002858340375096987,3.868377622036101e-05,0.5031067251461988,0.9151818581872314,-0.010179677319309787,0.009214816194845278
UP_CONTINUATION_LONG,EXTREME_UP,LONG,1,5,0.0,16638,4.1251355778677754e-05,-0.00010474161397633353,0.4789037143887486,1.0396068054315992,-0.003068774724529721,0.0033118419737057318
UP_CONTINUATION_LONG,EXTREME_UP,LONG,1,5,0.0002,16638,-0.00015874864422132226,-0.0003047416139763335,0.4433225147253276,0.861859061546253,-0.0032687747245297213,0.0031118419737057317
UP_CONTINUATION_LONG,EXTREME_UP,LONG,1,5,0.0004,16638,-0.0003587486442213223,-0.0005047416139763335,0.40149056376968384,0.7163228867057797,-0.0034687747245297214,0.0029118419737057316
UP_CONTINUATION_LONG,EXTREME_UP,LONG,3,15,0.0,16638,6.261714867951358e-05,-0.00010080814939594784,0.4850342589253516,1.0365766982817255,-0.005053963560408314,0.0054428316859793015
UP_CONTINUATION_LONG,EXTREME_UP,LONG,3,15,0.0002,16638,-0.00013738285132048632,-0.0003008081493959478,0.45979084024522177,0.9244034359655829,-0.005253963560408314,0.005242831685979302
UP_CONTINUATION_LONG,EXTREME_UP,LONG,3,15,0.0004,16638,-0.00033738285132048644,-0.0005008081493959478,0.43448731818728215,0.8249939334062681,-0.005453963560408314,0.005042831685979301
UP_CONTINUATION_LONG,EXTREME_UP,LONG,6,30,0.0,16638,0.00015479632412913327,-8.596893735662858e-05,0.4912249068397644,1.068185383016684,-0.00686268391710686,0.007455351537391165
UP_CONTINUATION_LONG,EXTREME_UP,LONG,6,30,0.0002,16638,-4.520367587086656e-05,-0.00028596893735662857,0.47505709820891934,0.980955823664135,-0.007062683917106859,0.007255351537391166
UP_CONTINUATION_LONG,EXTREME_UP,LONG,6,30,0.0004,16638,-0.0002452036758708667,-0.0004859689373566286,0.45666546459911045,0.9011441638679523,-0.00726268391710686,0.007055351537391165
UP_CONTINUATION_LONG,EXTREME_UP,LONG,12,60,0.0,16638,0.00014878437615730298,7.25196255768612e-06,0.5002404135112394,1.047701915497245,-0.009423038027828401,0.009875263180002923
UP_CONTINUATION_LONG,EXTREME_UP,LONG,12,60,0.0002,16638,-5.121562384269682e-05,-0.0001927480374423139,0.4860560163481188,0.9840961308958476,-0.009623038027828401,0.009675263180002922
UP_CONTINUATION_LONG,EXTREME_UP,LONG,12,60,0.0004,16638,-0.00025121562384269685,-0.0003927480374423139,0.47127058540689987,0.9244393083709874,-0.0098230380278284,0.009475263180002923
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,1,5,0.0,16638,-2.9690260758321703e-05,0.00010475258593334313,0.5176703930760909,0.9724231675806977,-0.0033009098818011728,0.0030782210919246614
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,1,5,0.0002,16638,-0.00022969026075832168,-9.524741406665688e-05,0.47956485154465683,0.8047956184339459,-0.003500909881801173,0.0028782210919246613
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,1,5,0.0004,16638,-0.00042969026075832177,-0.0002952474140666569,0.4404375525904556,0.6654906223746744,-0.003700909881801173,0.002678221091924661
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,3,15,0.0,16638,-2.738206901858668e-05,0.00010081831270380981,0.5129823296069239,0.9844313266459093,-0.005413367635761134,0.005079635854931275
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,3,15,0.0002,16638,-0.00022738206901858654,-9.91816872961902e-05,0.48840004808270226,0.8776671501640032,-0.005613367635761134,0.004879635854931275
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,3,15,0.0004,16638,-0.00042738206901858666,-0.0002991816872961902,0.4636374564250511,0.7823466325979823,-0.0058133676357611345,0.004679635854931275
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,6,30,0.0,16638,-0.0001037920012574804,8.597632865703364e-05,0.5071523019593701,0.9567101272699491,-0.0074001805893600505,0.00691010579054823
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,6,30,0.0002,16638,-0.0003037920012574802,-0.00011402367134296637,0.4899026325279481,0.8783796130898746,-0.00760018058936005,0.00671010579054823
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,6,30,0.0004,16638,-0.0005037920012574803,-0.0003140236713429664,0.4702488279841327,0.8063718536262569,-0.007800180589360051,0.00651010579054823
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,12,60,0.0,16638,-5.3867168228229095e-05,-7.251905267902092e-06,0.498196898665705,0.9832627941205913,-0.009778695969864536,0.009512676357488236
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,12,60,0.0002,16638,-0.0002538671682282289,-0.0002072519052679021,0.48479384541411225,0.9235357363540107,-0.009978695969864537,0.009312676357488236
UP_REVERSAL_SHORT,EXTREME_UP,SHORT,12,60,0.0004,16638,-0.000453867168228229,-0.0004072519052679021,0.4701887246063229,0.8674656318912569,-0.010178695969864536,0.009112676357488237
