era,strategy,cost,windows,total_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_window_return,pooled_mean_return,pooled_median_return,pooled_win_rate,pooled_profit_factor
DISCOVERY_2026_01,ATR_080_100,0.0,4,87,3,0.75,0.75,3.1829544979905986,0.001185718315704687,0.0010774693220535123,0.0007022315357692044,0.5977011494252874,2.1195576443467865
DISCOVERY_2026_01,ATR_080_100,0.0002,4,87,3,0.75,0.75,2.6393214077110945,0.0009857183157046872,0.0008774693220535118,0.0005022315357692044,0.5977011494252874,1.8414017420554816
DISCOVERY_2026_01,ATR_080_100,0.0004,4,87,3,0.75,0.75,2.2043770986263107,0.0007857183157046869,0.0006774693220535125,0.00030223153576920437,0.5287356321839081,1.601077169002506
DISCOVERY_2026_01,ATR_080_100,0.0006,4,87,2,0.5,0.5,1.8342798155616755,0.0005857183157046873,0.00047746932205351223,0.00010223153576920444,0.5057471264367817,1.390633882199082
DISCOVERY_2026_01,ATR_080_100,0.0008,4,87,2,0.5,0.5,1.534556757761091,0.0003857183157046869,0.00027746932205351224,-9.776846423079565e-05,0.4827586206896552,1.209710560186978
DISCOVERY_2026_01,BASE_SHORT,0.0,4,363,4,1.0,1.0,1.8858076205586085,0.0011930859374058743,0.0013157182713484903,0.00015219073708871989,0.509641873278237,1.6823747886233344
DISCOVERY_2026_01,BASE_SHORT,0.0002,4,363,4,1.0,1.0,1.7368226904732318,0.0009930859374058744,0.0011157182713484907,-4.7809262911280124e-05,0.4986225895316804,1.5503558679527663
DISCOVERY_2026_01,BASE_SHORT,0.0004,4,363,4,1.0,1.0,1.5527451386738127,0.0007930859374058744,0.0009157182713484904,-0.00024780926291128013,0.46831955922865015,1.429876209906676
DISCOVERY_2026_01,BASE_SHORT,0.0006,4,363,3,0.75,0.75,1.3912175993437585,0.0005930859374058744,0.0007157182713484902,-0.00044780926291128006,0.4490358126721763,1.3196965856861926
DISCOVERY_2026_01,BASE_SHORT,0.0008,4,363,3,0.75,0.75,1.2498932791848616,0.00039308593740587427,0.0005157182713484903,-0.0006478092629112802,0.42424242424242425,1.219258254280591
HIST_2024_2025,ATR_080_100,0.0,96,2162,37,0.3854166666666667,0.3854166666666667,0.8410122846154531,-0.0003672688104361375,-0.00033975950076326286,-0.0006857080721032749,0.43709528214616095,0.8777878947262827
HIST_2024_2025,ATR_080_100,0.0002,96,2162,33,0.34375,0.34375,0.7678323928657702,-0.0005672688104361376,-0.0005397595007632627,-0.0008857080721032749,0.4199814986123959,0.8135088790233169
HIST_2024_2025,ATR_080_100,0.0004,96,2162,31,0.3229166666666667,0.3229166666666667,0.7000013451033671,-0.0007672688104361377,-0.0007397595007632629,-0.0010857080721032749,0.4024051803885291,0.7543979150817568
HIST_2024_2025,ATR_080_100,0.0006,96,2162,27,0.28125,0.28125,0.6272645731272657,-0.0009672688104361373,-0.000939759500763263,-0.0012857080721032747,0.38621646623496764,0.7000806714314977
HIST_2024_2025,ATR_080_100,0.0008,96,2162,23,0.23958333333333334,0.23958333333333334,0.5774996077046257,-0.0011672688104361374,-0.0011397595007632628,-0.0014857080721032748,0.3695652173913043,0.6501558723813523
HIST_2024_2025,BASE_SHORT,0.0,96,8244,40,0.4166666666666667,0.4166666666666667,0.9211990600252036,-0.00021205016246077924,-0.00014806082588239233,-0.000649015990958568,0.4432314410480349,0.9521603335033119
HIST_2024_2025,BASE_SHORT,0.0002,96,8244,36,0.375,0.375,0.8517114431746757,-0.00041205016246077895,-0.00034806082588239223,-0.000849015990958568,0.428190198932557,0.891494981155562
HIST_2024_2025,BASE_SHORT,0.0004,96,8244,25,0.2604166666666667,0.2604166666666667,0.7812137875340568,-0.0006120501624607793,-0.0005480608258823922,-0.001049015990958568,0.4119359534206696,0.8351058474092645
HIST_2024_2025,BASE_SHORT,0.0006,96,8244,15,0.15625,0.15625,0.7172842673120317,-0.0008120501624607793,-0.0007480608258823928,-0.0012490159909585678,0.3970160116448326,0.7827250815708353
HIST_2024_2025,BASE_SHORT,0.0008,96,8244,13,0.13541666666666666,0.13541666666666666,0.6656746766122961,-0.0010120501624607792,-0.0009480608258823924,-0.001449015990958568,0.38330907326540514,0.7340588125792099
