year,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
2024,REJECT_UP_1H,SHORT,6,30,0.0002,24706,-0.00018999316340980387,-9.177359171432792e-05,0.4869667287298632,0.8888540683216057
2024,REJECT_UP_1H,SHORT,6,30,0.0004,24706,-0.00038999316340980407,-0.0002917735917143279,0.459888286246256,0.7850963665879291
2024,REJECT_UP_1H,SHORT,12,60,0.0,24706,6.47503013064179e-05,0.00013554972114160346,0.5123047033109366,1.0286572118913284
2024,REJECT_UP_1H,SHORT,12,60,0.0002,24706,-0.00013524969869358193,-6.445027885839655e-05,0.4938476483445317,0.9426615506162269
2024,REJECT_UP_1H,SHORT,12,60,0.0004,24706,-0.0003352496986935821,-0.00026445027885839656,0.4723144175503926,0.8638456483321869
2024,REJECT_UP_4H,SHORT,1,5,0.0,10758,1.2475109633872364e-05,0.00010214030418076447,0.5259341885108756,1.016063902547795
2024,REJECT_UP_4H,SHORT,1,5,0.0002,10758,-0.00018752489036612764,-9.785969581923554e-05,0.4701617401003904,0.7860774504016643
2024,REJECT_UP_4H,SHORT,1,5,0.0004,10758,-0.0003875248903661277,-0.00029785969581923555,0.4161554192229039,0.6076854768610864
2024,REJECT_UP_4H,SHORT,3,15,0.0,10758,2.9962603857807134e-06,0.00021585629902753922,0.5360661833054471,1.0023230048764789
2024,REJECT_UP_4H,SHORT,3,15,0.0002,10758,-0.00019700373961421925,1.5856299027539213e-05,0.5025097601784718,0.8578514684908057
2024,REJECT_UP_4H,SHORT,3,15,0.0004,10758,-0.00039700373961421936,-0.0001841437009724608,0.46960401561628556,0.733309349455016
2024,REJECT_UP_4H,SHORT,6,30,0.0,10758,1.4786813592612359e-05,0.0003134421300972079,0.5396913924521286,1.008351617209671
2024,REJECT_UP_4H,SHORT,6,30,0.0002,10758,-0.00018521318640738756,0.00011344213009720788,0.5134783416992006,0.9006991150322416
2024,REJECT_UP_4H,SHORT,6,30,0.0004,10758,-0.0003852131864073877,-8.655786990279213e-05,0.4882877858337981,0.8039576482708235
2024,REJECT_UP_4H,SHORT,12,60,0.0,10758,0.00010783953568052463,0.0004125362045906966,0.5386688975646031,1.0453813170955335
2024,REJECT_UP_4H,SHORT,12,60,0.0002,10758,-9.21604643194752e-05,0.0002125362045906966,0.5215653467187209,0.9626934335141792
2024,REJECT_UP_4H,SHORT,12,60,0.0004,10758,-0.00029216046431947536,1.2536204590696601e-05,0.5007436326454732,0.8862414785018005
2025,REJECT_DOWN_1H,LONG,1,5,0.0,23591,-2.0965670643945576e-05,3.0511525728860178e-05,0.5081175024373702,0.9712382064244732
2025,REJECT_DOWN_1H,LONG,1,5,0.0002,23591,-0.0002209656706439456,-0.00016948847427113983,0.44661099571870627,0.7348153126122517
2025,REJECT_DOWN_1H,LONG,1,5,0.0004,23591,-0.0004209656706439456,-0.00036948847427113984,0.38468059853333897,0.5569985858132863
2025,REJECT_DOWN_1H,LONG,3,15,0.0,23591,-3.2867502916777486e-05,0.0001133938100319476,0.5204951040651096,0.9735490572494887
2025,REJECT_DOWN_1H,LONG,3,15,0.0002,23591,-0.0002328675029167775,-8.660618996805241e-05,0.4826416853884956,0.8264886695993823
2025,REJECT_DOWN_1H,LONG,3,15,0.0004,23591,-0.00043286750291677753,-0.0002866061899680524,0.44457632147852993,0.7013599170812752
2025,REJECT_DOWN_1H,LONG,6,30,0.0,23591,-4.02130877647523e-06,0.00012510109401775438,0.5167224789114493,0.9976620271663619
2025,REJECT_DOWN_1H,LONG,6,30,0.0002,23591,-0.00020402130877647515,-7.489890598224563e-05,0.49086516044254164,0.8878553906269145
2025,REJECT_DOWN_1H,LONG,6,30,0.0004,23591,-0.00040402130877647527,-0.00027489890598224564,0.46462634055360097,0.7899835664666187
2025,REJECT_DOWN_1H,LONG,12,60,0.0,23591,-6.310637024449037e-05,0.00014744913005015903,0.5147725827646136,0.973732551026935
2025,REJECT_DOWN_1H,LONG,12,60,0.0002,23591,-0.0002631063702444902,-5.255086994984098e-05,0.49527362129625707,0.8948184533848403
2025,REJECT_DOWN_1H,LONG,12,60,0.0004,23591,-0.0004631063702444903,-0.000252550869949841,0.47357042940104277,0.8221923149694313
2025,REJECT_DOWN_4H,LONG,1,5,0.0,10344,-8.914255073907086e-06,6.260089845044892e-05,0.5157579273008507,0.9896695430469351
2025,REJECT_DOWN_4H,LONG,1,5,0.0002,10344,-0.0002089142550739071,-0.0001373991015495511,0.4619102861562258,0.7835003687366071
2025,REJECT_DOWN_4H,LONG,1,5,0.0004,10344,-0.00040891425507390706,-0.0003373991015495511,0.4104795050270688,0.6206052559032684
2025,REJECT_DOWN_4H,LONG,3,15,0.0,10344,-4.588067195173328e-05,0.00017896578337084357,0.5311291569992266,0.9684310830250819
2025,REJECT_DOWN_4H,LONG,3,15,0.0002,10344,-0.0002458806719517332,-2.1034216629156442e-05,0.49719644238205724,0.8414208077686284
2025,REJECT_DOWN_4H,LONG,3,15,0.0004,10344,-0.0004458806719517334,-0.00022103421662915645,0.4629737045630317,0.7305211961312664
2025,REJECT_DOWN_4H,LONG,6,30,0.0,10344,-4.894579727183277e-05,0.0002461402880690189,0.52484532095901,0.97546139582507
2025,REJECT_DOWN_4H,LONG,6,30,0.0002,10344,-0.0002489457972718327,4.614028806901888e-05,0.5046403712296984,0.8809870780998685
2025,REJECT_DOWN_4H,LONG,6,30,0.0004,10344,-0.0004489457972718328,-0.00015385971193098113,0.4811484918793503,0.7952994121084005
2025,REJECT_DOWN_4H,LONG,12,60,0.0,10344,-9.960779475715144e-05,0.00026602686301735456,0.5250386697602475,0.9626904692873186
