hold_funding_periods,min_trailing_annualized_funding,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
21,0.2,development,BTCUSDT,7,0.0015329892804488417,0.0013565958433367819,1.0,inf,0,7.140104329712529e-05,0.003466369632245872,5.192916115226431e-06,0.004292939673993169
21,0.2,development,ETHUSDT,10,0.0013494225706949864,0.0008348486818675438,0.9,102.04712155032675,1,0.0002729045355766834,0.003352412096601368,-0.00013354389021590324,0.003525094832485145
21,0.2,development,SOLUSDT,12,0.0016034555586760786,0.0010406419697271021,0.75,23.377643160938792,2,-0.0003066054391805929,0.004407731404240877,-0.0003294135516054295,0.00508099414252822
21,0.2,validation,BNBUSDT,0,,,,,0,,,,
21,0.2,validation,BTCUSDT,0,,,,,0,,,,
21,0.2,validation,ETHUSDT,0,,,,,0,,,,
21,0.2,validation,SOLUSDT,0,,,,,0,,,,
21,0.2,confirmation,BNBUSDT,0,,,,,0,,,,
21,0.2,confirmation,BTCUSDT,0,,,,,0,,,,
21,0.2,confirmation,ETHUSDT,0,,,,,0,,,,
21,0.2,confirmation,SOLUSDT,0,,,,,0,,,,
42,0.1,development,BNBUSDT,7,0.0010367570937366186,0.0019832809169226806,0.7142857142857143,2.4693284146571375,1,-0.002060011315645818,0.0037867375528716184,-0.004517528620073484,0.00393570284848813
42,0.1,development,BTCUSDT,14,0.0019217193808250127,0.0011285147014837111,1.0,inf,0,0.0005162998159644395,0.0028802097547277676,0.0003336030014991333,0.008977157719084618
42,0.1,development,ETHUSDT,13,0.0022244650885354603,0.002112600426979866,1.0,inf,0,0.000597818695190391,0.003204833524051385,0.00032122769784922144,0.008616815658046836
42,0.1,development,SOLUSDT,12,0.0028770435695758025,0.0017330265512742822,1.0,inf,0,0.0003478969493690684,0.007064904190034755,0.00022984154882500513,0.009811926615438765
42,0.1,validation,BNBUSDT,0,,,,,0,,,,
42,0.1,validation,BTCUSDT,1,0.0007863656362136037,0.0007863656362136037,1.0,inf,0,0.0007863656362136037,0.0007863656362136037,0.0007863656362136037,0.0007863656362136037
42,0.1,validation,ETHUSDT,2,7.526762947338375e-05,7.526762947338375e-05,1.0,inf,0,1.805477280531543e-05,0.00013248048614145205,3.751558638298352e-06,0.00014678370030846914
42,0.1,validation,SOLUSDT,1,-0.00013531778972892226,-0.00013531778972892226,0.0,0.0,1,-0.00013531778972892226,-0.00013531778972892226,-0.00013531778972892226,-0.00013531778972892226
42,0.1,confirmation,BNBUSDT,0,,,,,0,,,,
42,0.1,confirmation,BTCUSDT,0,,,,,0,,,,
42,0.1,confirmation,ETHUSDT,0,,,,,0,,,,
42,0.1,confirmation,SOLUSDT,0,,,,,0,,,,
42,0.2,development,BNBUSDT,5,0.0020562446799047623,0.0024923743842038093,0.8,18.394392921236093,1,0.00023842567037545362,0.0035121467111606797,-0.0005910653764163216,0.00376622925345698
42,0.2,development,BTCUSDT,4,0.004089521207474242,0.0029869690145516055,1.0,inf,0,0.002043007619406223,0.007018076549880371,0.0016936877631849698,0.008690459037608787
42,0.2,development,ETHUSDT,6,0.0035952593057293376,0.00306390154787787,1.0,inf,0,0.0016588949109503127,0.006062981458359831,0.0005987032974533531,0.008375841061623625
42,0.2,development,SOLUSDT,6,0.004958848758395625,0.003686730030226522,1.0,inf,0,0.0025031418458998375,0.008686674399060516,0.002452998482223937,0.00937588668484225
42,0.2,validation,BNBUSDT,0,,,,,0,,,,
42,0.2,validation,BTCUSDT,0,,,,,0,,,,
42,0.2,validation,ETHUSDT,0,,,,,0,,,,
42,0.2,validation,SOLUSDT,0,,,,,0,,,,
42,0.2,confirmation,BNBUSDT,0,,,,,0,,,,
42,0.2,confirmation,BTCUSDT,0,,,,,0,,,,
42,0.2,confirmation,ETHUSDT,0,,,,,0,,,,
42,0.2,confirmation,SOLUSDT,0,,,,,0,,,,
