hypothesis,minutes,hour,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
PRE_DOWN_CONTINUE_SHORT,120,8,431,-0.00156460808804467,-0.0017272216303022107,-0.0015490404756705839,-0.0015325127702263033,0.382830626450116,0.6191801511313725,-0.010355154412669498,0.009527432692239036
PRE_DOWN_CONTINUE_SHORT,120,16,727,-0.0006881735779565894,-0.0019248556872782478,-0.0011412823009200304,-0.0008424758053089226,0.4016506189821183,0.8537339549624336,-0.012997886449715,0.01432614557369462
PRE_DOWN_REVERSE_LONG,30,0,385,-0.0005542973033996985,-0.0002865430521062467,-0.00022049623921260256,-0.000323614851469283,0.4805194805194805,0.8181004299323023,-0.007810498977693433,0.0071742555688646854
PRE_DOWN_REVERSE_LONG,30,8,431,-0.00013051636662291075,0.0003083792687301085,4.944710426571084e-05,-4.553857152183263e-05,0.5522041763341067,0.9296544127248434,-0.005774764501735263,0.0050215901415912485
PRE_DOWN_REVERSE_LONG,30,16,727,-0.0003635389931189198,0.00016835281567744223,-7.807623169969483e-05,-0.00023004740721380395,0.5254470426409904,0.852889638513955,-0.007928202505118496,0.006280967245227864
PRE_DOWN_REVERSE_LONG,60,0,385,-0.0007693017150026035,-0.0002227025278932032,-0.0002983106564574723,-0.00046448937624511027,0.4857142857142857,0.7919692682657886,-0.010239468505083874,0.007846236487906234
PRE_DOWN_REVERSE_LONG,60,8,431,-0.0005013743844702065,0.0005303700981819543,-0.00021486933213629489,-0.0003439336195578169,0.5568445475638051,0.8111289337616379,-0.009267329137683532,0.005948067450889539
PRE_DOWN_REVERSE_LONG,60,16,727,-0.0004181233024429777,0.00021276033729538183,-0.0003236481821988148,-0.0004612190744742018,0.5144429160935351,0.8738236806674556,-0.011592003329358568,0.008564440516256355
PRE_DOWN_REVERSE_LONG,120,0,385,-0.0001367119401029594,0.0011608394532577788,0.0007081153067764178,0.00038251922198868416,0.574025974025974,0.9712300528919191,-0.013221899134306046,0.013114945808541402
PRE_DOWN_REVERSE_LONG,120,8,431,0.0003646080880446685,0.000527221630302211,0.0003490404756705813,0.00033251277022630274,0.5498839907192575,1.11985792510322,-0.010727432692239035,0.009155154412669498
PRE_DOWN_REVERSE_LONG,120,16,727,-0.000511826422043411,0.000724855687278248,-5.8717699079971083e-05,-0.00035752419469107925,0.5433287482806052,0.8868986132766604,-0.015526145573694625,0.011797886449715
