threshold,excluded_asset,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
3.0,BTCUSDT,0.0004,3346,0.00029371191333796986,-0.0004,4.730680909496436e-05,0.00018603398259447762,0.4742976688583383,1.1000674624401106,-0.012455718498661825,-0.0088310506260459,0.009842889497916051,0.015329666575128652
3.0,BTCUSDT,0.0006,3346,9.371191333796988e-05,-0.0006,-0.00015269319090503543,-1.3966017405522412e-05,0.4569635385534967,1.0308091793150875,-0.012655718498661825,-0.0090310506260459,0.00964288949791605,0.015129666575128651
3.0,ETHUSDT,0.0004,3326,0.0001907403874175206,-0.0003844175128617119,1.1009995193649226e-05,0.00010816837255056462,0.4723391461214672,1.0704493527144225,-0.0116000753557323,-0.0079637208832833,0.0088439609322233,0.013568794831037801
3.0,ETHUSDT,0.0006,3326,-9.259612582479333e-06,-0.0005844175128617118,-0.0001889900048063504,-9.183162744943545e-05,0.4564040889957907,0.9967100088938388,-0.011800075355732301,-0.0081637208832833,0.0086439609322233,0.013368794831037801
3.0,SOLUSDT,0.0004,3433,7.11485318995821e-05,-0.0004997224392107476,-0.00014585911112460783,-3.1750077201486895e-05,0.4596562773084765,1.0277439421274297,-0.0101052765433609,-0.00746448178906376,0.008172594374503742,0.012104426969106678
3.0,SOLUSDT,0.0006,3433,-0.00012885146810041772,-0.0006997224392107476,-0.0003458591111246078,-0.00023175007720148674,0.4413049810661229,0.9518158171578014,-0.0103052765433609,-0.0076644817890637595,0.007972594374503742,0.011904426969106678
3.5,BNBUSDT,0.0004,2107,0.0003526054580130077,-0.0005207816430485,5.3498920137825276e-05,0.0001997943706097102,0.4641670621737067,1.111299152709015,-0.013131625980979379,-0.0092792268609087,0.010848098134810021,0.016174329339132303
3.5,BNBUSDT,0.0006,2107,0.00015260545801300772,-0.0007207816430485,-0.00014650107986217492,-2.05629390289725e-07,0.44755576649264356,1.0465715632345187,-0.013331625980979379,-0.0094792268609087,0.01064809813481002,0.015974329339132304
3.5,BTCUSDT,0.0004,2003,0.000628669887353334,-0.0003849581083315453,0.00031039997860624654,0.0004576650903281584,0.47878182725911134,1.2049846075835087,-0.01303363465963898,-0.009121394648855839,0.0112320448511403,0.016604126294969487
3.5,BTCUSDT,0.0006,2003,0.00042866988735333394,-0.0005849581083315452,0.00011039997860624664,0.0002576650903281585,0.46030953569645533,1.1351117613403754,-0.01323363465963898,-0.009321394648855839,0.0110320448511403,0.016404126294969488
3.5,ETHUSDT,0.0004,1991,0.0005348624295289354,-0.00032987500219121524,0.0002927399041333074,0.0004297525282736171,0.48066298342541436,1.1890661638147682,-0.01198346784803585,-0.0083009823947087,0.0104681754251374,0.015323681531519652
3.5,ETHUSDT,0.0006,1991,0.00033486242952893554,-0.0005298750021912152,9.273990413330743e-05,0.00022975252827361713,0.4635861376192868,1.1141171757605546,-0.01218346784803585,-0.0085009823947087,0.0102681754251374,0.015123681531519651
3.5,SOLUSDT,0.0004,2083,0.00039168320863265064,-0.000444761375563418,7.688696795320406e-05,0.0002323937519232337,0.4671147383581373,1.1481228166586073,-0.01078542240166016,-0.007877920169172698,0.0092334354741254,0.014053957823751429
3.5,SOLUSDT,0.0006,2083,0.00019168320863265076,-0.0006447613755634179,-0.00012311303204679593,3.2393751923233746e-05,0.4488718194911186,1.0696390307998798,-0.01098542240166016,-0.008077920169172699,0.0090334354741254,0.013853957823751428
4.0,BNBUSDT,0.0004,1291,0.0005351037504135047,-0.0005059910159996,0.00024622063979470594,0.0003592786304852824,0.47250193648334626,1.1592094843765817,-0.013793065343931349,-0.009882185273158999,0.011284664819735701,0.0165635070454742
4.0,BNBUSDT,0.0006,1291,0.0003351037504135049,-0.0007059910159996,4.6220639794706595e-05,0.00015927863048528242,0.4562354763749032,1.096627154052918,-0.013993065343931351,-0.010082185273159,0.0110846648197357,0.0163635070454742
4.0,BTCUSDT,0.0004,1230,0.0008522994086657927,-0.00027022437683890004,0.0004910983471145836,0.0006306533066445281,0.4886178861788618,1.2630952682453456,-0.013531842940622969,-0.00985840369964262,0.012231754487950892,0.017328932217123005
4.0,BTCUSDT,0.0006,1230,0.0006522994086657926,-0.0004702243768388999,0.00029109834711458485,0.00043065330664452837,0.4715447154471545,1.1951052356035818,-0.01373184294062297,-0.01005840369964262,0.012031754487950892,0.017128932217123007
4.0,ETHUSDT,0.0004,1224,0.0007634193085703295,-1.555626585625003e-05,0.000539789989261527,0.0006635463624443092,0.4991830065359477,1.2588675636836268,-0.012319692565606308,-0.008492892574213838,0.011026333409779283,0.015882666621427843
