feature,year,event,bucket,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
penetration_norm,2026,REJECT_UP_4H,Q3,1379,0.0003989483295387507,0.0006348413981704937,0.5634517766497462,1.2325671899296469,-0.005302489748677063,0.006153298168385302
penetration_norm,2026,REJECT_UP_4H,Q4,1493,-0.00015713550214183376,0.0004082088718386778,0.5365036838580041,0.9282386540737665,-0.0070494569987128875,0.005695391946935222
rejection_norm,2024,REJECT_DOWN_4H,Q1,1789,0.0009435746546726609,0.001130013639742078,0.5936277249860257,1.3872797919404636,-0.007572858686093276,0.010107685633458497
rejection_norm,2024,REJECT_DOWN_4H,Q2,2232,0.0004647818951439002,0.0007144194265633619,0.556899641577061,1.1798815649962149,-0.007981508373382705,0.008822181714105449
rejection_norm,2024,REJECT_DOWN_4H,Q3,2621,0.0002800524311628692,0.000773962715886034,0.5642884395268981,1.1057601596503133,-0.008602591018485262,0.008205149603154327
rejection_norm,2024,REJECT_DOWN_4H,Q4,3081,5.810769557319645e-05,0.0004602809300848776,0.5378123985718922,1.020265643825205,-0.009042422359444413,0.008272075756738273
rejection_norm,2024,REJECT_UP_4H,Q1,3146,0.0003817457366078635,0.0006835944848307962,0.5651621106166561,1.1730571772345488,-0.0071150346142088705,0.007337930157022998
rejection_norm,2024,REJECT_UP_4H,Q2,2802,5.759229035636156e-05,0.00045157936727946435,0.5438972162740899,1.0245920588302906,-0.007421864623073515,0.0069287623284026946
rejection_norm,2024,REJECT_UP_4H,Q3,2625,7.737521530330243e-05,0.0003142745564348459,0.5321904761904762,1.0322565115396103,-0.007427301098789885,0.007010509530981545
rejection_norm,2024,REJECT_UP_4H,Q4,2185,-0.00018550018318853477,3.798514147868026e-05,0.5016018306636155,0.9297023748778118,-0.007978597354411466,0.007359634863082272
rejection_norm,2025,REJECT_DOWN_4H,Q1,2602,-7.444341717083004e-05,0.00031592337198727005,0.5265180630284396,0.9716958912297926,-0.008275050610012923,0.007763757000404883
rejection_norm,2025,REJECT_DOWN_4H,Q2,2563,-0.0001582689838602603,0.00027364884698188874,0.5236051502145923,0.9406534636171576,-0.008182616056706848,0.007369030203367636
rejection_norm,2025,REJECT_DOWN_4H,Q3,2659,-0.00030565116531059057,0.00022153376636491195,0.5223768333960135,0.8880770347800989,-0.008416285025215565,0.007092075652999831
rejection_norm,2025,REJECT_DOWN_4H,Q4,2520,0.00015147960186715585,0.00028654109670445127,0.5277777777777778,1.0571805840434803,-0.00855641875723876,0.008294750219995439
rejection_norm,2025,REJECT_UP_4H,Q1,3220,-1.8747882918780373e-05,0.00017797425837706715,0.5229813664596273,0.9913248814062658,-0.0067625752498442935,0.006496758992612903
rejection_norm,2025,REJECT_UP_4H,Q2,2808,5.588378087719181e-05,0.00030927463543950484,0.5324074074074074,1.024730001091914,-0.006884197991444241,0.006790832641525315
rejection_norm,2025,REJECT_UP_4H,Q3,2435,-7.605251677400523e-05,0.00016147449279713122,0.5186858316221766,0.9679553300914745,-0.00729982647905194,0.006746706918639231
rejection_norm,2025,REJECT_UP_4H,Q4,2216,0.0001248031038591658,0.00020122556135671044,0.5203068592057761,1.050521717180376,-0.007675804555937804,0.007607298696939102
rejection_norm,2026,REJECT_DOWN_4H,Q1,1135,0.0006161311817903959,0.0006221807435060622,0.5647577092511014,1.3040634933218829,-0.00683660800139303,0.006776226357541895
rejection_norm,2026,REJECT_DOWN_4H,Q2,1335,0.0002767396163754098,0.0008185232942758969,0.5775280898876405,1.126021377959218,-0.007296209740322811,0.006624924527138815
rejection_norm,2026,REJECT_DOWN_4H,Q3,1431,5.243934035047253e-05,0.00048667148105119296,0.549266247379455,1.0228765098604216,-0.006638862881947594,0.0063259109311741835
rejection_norm,2026,REJECT_DOWN_4H,Q4,1635,-0.00020896944648024133,0.00015984910244726258,0.5137614678899083,0.9131499488182138,-0.0071067091499355415,0.006622601183238581
rejection_norm,2026,REJECT_UP_4H,Q1,1213,0.000587448925770316,0.0006626454846658802,0.5812036273701566,1.3781244792467426,-0.005368183533311832,0.006002010778140265
rejection_norm,2026,REJECT_UP_4H,Q2,1365,0.0003648240731864802,0.0005963029218845062,0.5684981684981685,1.2065165697134015,-0.0055309269546775395,0.00624650213021401
rejection_norm,2026,REJECT_UP_4H,Q3,1334,-0.000105179550121659,0.00012850209356030096,0.5112443778110944,0.9475979046354911,-0.006228933077917742,0.005566636721800734
rejection_norm,2026,REJECT_UP_4H,Q4,1468,-1.2150467534467598e-05,0.0004461278157222859,0.5463215258855586,0.9939708341685122,-0.006580311517757531,0.005647976938673315
rejection_wick_ratio,2024,REJECT_DOWN_4H,Q1,2317,0.0005431821904634781,0.0008484053835178251,0.5709969788519638,1.1995113324261015,-0.008673424823844433,0.009800886899022965
rejection_wick_ratio,2024,REJECT_DOWN_4H,Q2,2471,0.0005123729897520741,0.0008382777203199687,0.5605018211250505,1.1976799206239293,-0.007927576366297151,0.008652115519903525
