variant,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q10,q90
LEGACY_EVENT_FIRST_60M,2025-03,BNBUSDT,0.0008,8,-0.0015696293257424546,0.0002113136806989554,-0.0015696293257424542,-0.0011039438384150262,0.5,0.6126512252662827,3,-0.010690791505764262,0.006276090323549655
LEGACY_EVENT_FIRST_60M,2025-03,BTCUSDT,0.0004,12,-0.00392684344899252,-0.0031748954926148374,-0.00392684344899252,-0.004103802862844924,0.3333333333333333,0.3166789720353711,7,-0.019474817889452933,0.005318953442337127
LEGACY_EVENT_FIRST_60M,2025-03,BTCUSDT,0.0006,12,-0.004126843448992522,-0.003374895492614837,-0.004126843448992522,-0.0043038028628449255,0.3333333333333333,0.29816029097615043,7,-0.019674817889452932,0.005118953442337128
LEGACY_EVENT_FIRST_60M,2025-03,BTCUSDT,0.0008,12,-0.004326843448992521,-0.0035748954926148376,-0.004326843448992519,-0.004503802862844924,0.3333333333333333,0.2804628324069654,7,-0.01987481788945293,0.004918953442337127
LEGACY_EVENT_FIRST_60M,2025-03,ETHUSDT,0.0004,13,-0.0004032153603861999,-0.0015805804197834168,-0.000403215360386199,-0.0008999506407841981,0.23076923076923078,0.9242448255073776,6,-0.009431265922933795,0.009123643461161594
LEGACY_EVENT_FIRST_60M,2025-03,ETHUSDT,0.0006,13,-0.0006032153603862007,-0.0017805804197834167,-0.0006032153603862015,-0.001099950640784198,0.23076923076923078,0.8898530031225188,6,-0.009631265922933795,0.008923643461161593
LEGACY_EVENT_FIRST_60M,2025-03,ETHUSDT,0.0008,13,-0.0008032153603862008,-0.001980580419783417,-0.0008032153603861998,-0.0012999506407841985,0.23076923076923078,0.8573406706586517,6,-0.009831265922933796,0.008723643461161593
LEGACY_EVENT_FIRST_60M,2025-03,SOLUSDT,0.0004,6,0.014446139398171515,-0.0035296113228647672,0.014446139398171513,0.01061814471043542,0.3333333333333333,5.530062891909748,4,-0.006037235590433665,0.052905265107812974
LEGACY_EVENT_FIRST_60M,2025-03,SOLUSDT,0.0006,6,0.01424613939817151,-0.003729611322864767,0.014246139398171513,0.010418144710435414,0.3333333333333333,5.288058055500992,4,-0.0062372355904336645,0.05270526510781297
LEGACY_EVENT_FIRST_60M,2025-03,SOLUSDT,0.0008,6,0.014046139398171517,-0.003929611322864767,0.014046139398171514,0.010218144710435419,0.3333333333333333,5.064728508767698,4,-0.006437235590433665,0.052505265107812976
LEGACY_EVENT_FIRST_60M,2025-04,BNBUSDT,0.0004,8,0.0038112773927856097,0.0040520567527163156,0.0038112773927856097,0.004300992712716082,0.75,3.1741978384777387,2,-0.0043605119063302765,0.013778191279369701
LEGACY_EVENT_FIRST_60M,2025-04,BNBUSDT,0.0006,8,0.003611277392785609,0.003852056752716316,0.003611277392785609,0.004100992712716083,0.75,3.002973716819049,2,-0.004560511906330276,0.0135781912793697
LEGACY_EVENT_FIRST_60M,2025-04,BNBUSDT,0.0008,8,0.0034112773927856086,0.0036520567527163154,0.0034112773927856086,0.0039009927127160813,0.75,2.8409901783782994,2,-0.004760511906330277,0.0133781912793697
LEGACY_EVENT_FIRST_60M,2025-04,BTCUSDT,0.0004,11,-0.0011509251240925525,-0.0018607516337199477,-0.0011509251240925517,-0.0012766953398581646,0.2727272727272727,0.6891605995697058,4,-0.012105824243387174,0.010080108356360818
LEGACY_EVENT_FIRST_60M,2025-04,BTCUSDT,0.0006,11,-0.0013509251240925524,-0.0020607516337199476,-0.0013509251240925529,-0.0014766953398581647,0.2727272727272727,0.6489362341668075,4,-0.012305824243387175,0.009880108356360818
LEGACY_EVENT_FIRST_60M,2025-04,BTCUSDT,0.0008,11,-0.001550925124092553,-0.0022607516337199477,-0.0015509251240925536,-0.001676695339858165,0.2727272727272727,0.611642005669759,4,-0.012505824243387175,0.009680108356360817
LEGACY_EVENT_FIRST_60M,2025-04,ETHUSDT,0.0004,12,-0.000521659336340627,-0.00308575548126071,-0.000521659336340625,-0.0017792725021136774,0.3333333333333333,0.9301374509131745,3,-0.01656854402730947,0.015495592887715763
LEGACY_EVENT_FIRST_60M,2025-04,ETHUSDT,0.0006,12,-0.0007216593363406285,-0.0032857554812607097,-0.0007216593363406296,-0.001979272502113678,0.3333333333333333,0.9050482165765742,3,-0.01676854402730947,0.015295592887715764
LEGACY_EVENT_FIRST_60M,2025-04,ETHUSDT,0.0008,12,-0.0009216593363406281,-0.00348575548126071,-0.0009216593363406278,-0.002179272502113676,0.3333333333333333,0.8808240978758782,3,-0.016968544027309473,0.015095592887715765
LEGACY_EVENT_FIRST_60M,2025-04,SOLUSDT,0.0004,10,0.013009055729993158,0.0082678781968067,0.013009055729993158,0.010730417962232794,0.9,47.62957733968515,1,0.0003905531968240177,0.021217189708792654
LEGACY_EVENT_FIRST_60M,2025-04,SOLUSDT,0.0006,10,0.012809055729993158,0.0080678781968067,0.012809055729993158,0.010530417962232792,0.9,43.841483717963406,1,0.00019055319682401774,0.021017189708792655
LEGACY_EVENT_FIRST_60M,2025-04,SOLUSDT,0.0008,10,0.01260905572999316,0.0078678781968067,0.012609055729993157,0.010330417962232791,0.9,40.52840520551641,1,-9.44680317598235e-06,0.020817189708792653
LEGACY_EVENT_FIRST_60M,2025-05,BNBUSDT,0.0004,14,9.47480545628037e-05,0.0007046164070854792,9.47480545628037e-05,-9.787454950180607e-05,0.5714285714285714,1.073163478665906,2,-0.004583133320889698,0.0027194540145698562
LEGACY_EVENT_FIRST_60M,2025-05,BNBUSDT,0.0006,14,-0.00010525194543719595,0.0005046164070854792,-0.00010525194543719595,-0.0002978745495018057,0.5714285714285714,0.9237709493678111,2,-0.004783133320889698,0.0025194540145698566
LEGACY_EVENT_FIRST_60M,2025-05,BNBUSDT,0.0008,14,-0.00030525194543719623,0.0003046164070854791,-0.0003052519454371961,-0.000497874549501806,0.5714285714285714,0.7918424999494447,2,-0.004983133320889698,0.0023194540145698565
LEGACY_EVENT_FIRST_60M,2025-05,BTCUSDT,0.0004,17,-0.00035094025968393516,0.00010766722821871111,-0.00035094025968393516,-0.0004181979699606333,0.5294117647058824,0.8223868717858069,4,-0.004901784241711859,0.00426061576469774
LEGACY_EVENT_FIRST_60M,2025-05,BTCUSDT,0.0006,17,-0.0005509402596839348,-9.233277178128882e-05,-0.0005509402596839348,-0.0006181979699606329,0.47058823529411764,0.7345400855676408,4,-0.005101784241711859,0.00406061576469774
LEGACY_EVENT_FIRST_60M,2025-05,BTCUSDT,0.0008,17,-0.0007509402596839352,-0.0002923327717812889,-0.0007509402596839352,-0.0008181979699606333,0.4117647058823529,0.6559352017671065,4,-0.005301784241711859,0.00386061576469774
LEGACY_EVENT_FIRST_60M,2025-05,ETHUSDT,0.0004,22,0.0009611338247786987,0.0001955919578702895,0.000910034161828905,0.0009608951276001933,0.5,1.281550090296282,4,-0.008668359881758469,0.012875697850237131
LEGACY_EVENT_FIRST_60M,2025-05,ETHUSDT,0.0006,22,0.0007611338247786992,-4.408042129710435e-06,0.0007100341618289048,0.0007608951276001937,0.5,1.216617523387024,4,-0.00886835988175847,0.01267569785023713
LEGACY_EVENT_FIRST_60M,2025-05,ETHUSDT,0.0008,22,0.0005611338247786992,-0.00020440804212971053,0.0005100341618289041,0.0005608951276001936,0.5,1.1552786231366514,4,-0.00906835988175847,0.01247569785023713
LEGACY_EVENT_FIRST_60M,2025-05,SOLUSDT,0.0004,13,0.0005136218628773731,-0.0014056427733393658,0.0005136218628773728,0.0001743950384304937,0.38461538461538464,1.243409963182722,4,-0.005407110910799617,0.007080875868870296
LEGACY_EVENT_FIRST_60M,2025-05,SOLUSDT,0.0006,13,0.0003136218628773735,-0.0016056427733393656,0.0003136218628773735,-2.5604961569505895e-05,0.38461538461538464,1.140436889480937,4,-0.0056071109107996165,0.006880875868870297
LEGACY_EVENT_FIRST_60M,2025-05,SOLUSDT,0.0008,13,0.00011362186287737303,-0.0018056427733393657,0.0001136218628773731,-0.0002256049615695064,0.38461538461538464,1.0482211913973882,4,-0.005807110910799617,0.006680875868870296
LEGACY_EVENT_FIRST_60M,2025-06,BNBUSDT,0.0004,11,-0.0008104675897954502,-0.0006431426183420182,-0.0008104675897954502,-0.0009344404323018154,0.45454545454545453,0.5342397307638778,2,-0.00467384758752547,0.0016060960437922049
LEGACY_EVENT_FIRST_60M,2025-06,BNBUSDT,0.0006,11,-0.0010104675897954498,-0.0008431426183420182,-0.0010104675897954498,-0.001134440432301815,0.45454545454545453,0.4535611435249502,2,-0.00487384758752547,0.001406096043792205
LEGACY_EVENT_FIRST_60M,2025-06,BNBUSDT,0.0008,11,-0.0012104675897954503,-0.0010431426183420182,-0.0012104675897954501,-0.0013344404323018153,0.45454545454545453,0.38187137315754366,2,-0.00507384758752547,0.001206096043792205
LEGACY_EVENT_FIRST_60M,2025-06,BTCUSDT,0.0004,12,0.0008453090599900409,0.0009681849023507997,0.0008453090599900409,0.0006884544626106756,0.5833333333333334,1.604262699097067,2,-0.005766562264118412,0.005468343236197205
LEGACY_EVENT_FIRST_60M,2025-06,BTCUSDT,0.0006,12,0.0006453090599900409,0.0007681849023507999,0.0006453090599900409,0.0004884544626106757,0.5833333333333334,1.4353597669448965,2,-0.005966562264118413,0.005268343236197205
LEGACY_EVENT_FIRST_60M,2025-06,BTCUSDT,0.0008,12,0.0004453090599900405,0.0005681849023507998,0.00044530905999004035,0.00028845446261067535,0.5833333333333334,1.284437743326876,2,-0.006166562264118413,0.0050683432361972045
LEGACY_EVENT_FIRST_60M,2025-06,ETHUSDT,0.0004,9,0.0036741348959131786,0.004996258850828062,0.0036741348959131786,0.0037816009240225013,0.5555555555555556,2.866958946631852,2,-0.005351603783560477,0.014742330471451572
LEGACY_EVENT_FIRST_60M,2025-06,ETHUSDT,0.0006,9,0.0034741348959131777,0.004796258850828062,0.0034741348959131777,0.0035816009240225,0.5555555555555556,2.6890418263147704,2,-0.0055516037835604765,0.014542330471451571
LEGACY_EVENT_FIRST_60M,2025-06,ETHUSDT,0.0008,9,0.0032741348959131776,0.004596258850828061,0.003274134895913177,0.003381600924022501,0.5555555555555556,2.5258652951129466,2,-0.005751603783560477,0.01434233047145157
LEGACY_EVENT_FIRST_60M,2025-06,SOLUSDT,0.0004,12,0.005490295123827651,0.005184425020162098,0.005490295123827652,0.005621986016282985,0.75,4.607030692985737,2,-0.0056988914197293565,0.016508504002063964
LEGACY_EVENT_FIRST_60M,2025-06,SOLUSDT,0.0006,12,0.00529029512382765,0.004984425020162098,0.005290295123827651,0.005421986016282985,0.75,4.36509361909782,2,-0.005898891419729356,0.016308504002063965
LEGACY_EVENT_FIRST_60M,2025-06,SOLUSDT,0.0008,12,0.00509029512382765,0.004784425020162098,0.005090295123827651,0.005221986016282986,0.75,4.1380715122374125,2,-0.006098891419729357,0.016108504002063966
LEGACY_EVENT_FIRST_60M,2025-07,BNBUSDT,0.0004,11,0.0007458112555003244,-0.0008218427253950274,0.0007458112555003244,0.0008307417703319394,0.45454545454545453,1.5777169498212227,2,-0.0021309110612742098,0.0061239864770472165
LEGACY_EVENT_FIRST_60M,2025-07,BNBUSDT,0.0006,11,0.0005458112555003247,-0.0010218427253950273,0.0005458112555003247,0.0006307417703319396,0.36363636363636365,1.3893441314068076,4,-0.0023309110612742094,0.005923986477047217
LEGACY_EVENT_FIRST_60M,2025-07,BNBUSDT,0.0008,11,0.0003458112555003245,-0.0012218427253950274,0.0003458112555003242,0.00043074177033193946,0.36363636363636365,1.2261466096758376,4,-0.0025309110612742095,0.005723986477047216
LEGACY_EVENT_FIRST_60M,2025-07,BTCUSDT,0.0004,12,-0.0018640823975093832,-0.001269675972128614,-0.0018640823975093832,-0.0018674940437530723,0.25,0.16861031704933666,4,-0.004682712280244683,0.0011897132650705807
LEGACY_EVENT_FIRST_60M,2025-07,BTCUSDT,0.0006,12,-0.0020640823975093827,-0.0014696759721286139,-0.0020640823975093827,-0.0020674940437530715,0.25,0.13713560674778671,4,-0.0048827122802446825,0.0009897132650705809
LEGACY_EVENT_FIRST_60M,2025-07,BTCUSDT,0.0008,12,-0.0022640823975093828,-0.001669675972128614,-0.0022640823975093823,-0.002267494043753072,0.16666666666666666,0.11514412280083866,5,-0.005082712280244683,0.0007897132650705807
LEGACY_EVENT_FIRST_60M,2025-07,ETHUSDT,0.0004,16,0.00045735258272477713,0.00014841975578912015,0.00045735258272477756,-0.0010532624258985214,0.5625,1.1419796414025334,3,-0.01024830739382353,0.004924354245650253
LEGACY_EVENT_FIRST_60M,2025-07,ETHUSDT,0.0006,16,0.0002573525827247766,-5.158024421087978e-05,0.0002573525827247766,-0.001253262425898521,0.4375,1.0776280200304937,4,-0.01044830739382353,0.004724354245650254
LEGACY_EVENT_FIRST_60M,2025-07,ETHUSDT,0.0008,16,5.7352582724776516e-05,-0.00025158024421087987,5.7352582724776516e-05,-0.0014532624258985216,0.4375,1.0167320786321903,4,-0.01064830739382353,0.004524354245650253
LEGACY_EVENT_FIRST_60M,2025-07,SOLUSDT,0.0004,9,0.0005524948374366706,-0.001645717844908234,0.0005524948374366705,0.0001701618536668676,0.3333333333333333,1.3354599701565522,3,-0.003266971661250184,0.0052839860830014036
LEGACY_EVENT_FIRST_60M,2025-07,SOLUSDT,0.0006,9,0.0003524948374366708,-0.0018457178449082338,0.0003524948374366708,-2.9838146333132445e-05,0.3333333333333333,1.19799629388291,3,-0.0034669716612501836,0.005083986083001405
LEGACY_EVENT_FIRST_60M,2025-07,SOLUSDT,0.0008,9,0.00015249483743667063,-0.002045717844908234,0.00015249483743667047,-0.00022983814633313236,0.3333333333333333,1.0796882117234707,3,-0.0036669716612501837,0.004883986083001404
LEGACY_EVENT_FIRST_60M,2025-08,BNBUSDT,0.0004,10,-0.001560572183248875,0.0005457172195835862,-0.0015605721832488756,-0.0017806358040791327,0.6,0.5508706159178165,1,-0.008946059897726654,0.004568741236465022
LEGACY_EVENT_FIRST_60M,2025-08,BNBUSDT,0.0006,10,-0.0017605721832488757,0.0003457172195835862,-0.0017605721832488757,-0.0019806358040791324,0.5,0.5070775566492948,2,-0.009146059897726655,0.004368741236465022
LEGACY_EVENT_FIRST_60M,2025-08,BNBUSDT,0.0008,10,-0.001960572183248876,0.00014571721958358608,-0.001960572183248876,-0.002180635804079133,0.5,0.4660318108895272,2,-0.009346059897726655,0.004168741236465022
LEGACY_EVENT_FIRST_60M,2025-08,BTCUSDT,0.0004,12,0.0029647626716964325,0.0016349534922414756,0.0029647626716964325,0.00223387963787435,0.5833333333333334,3.370938838611474,2,-0.005023846977834567,0.007308084402233806
LEGACY_EVENT_FIRST_60M,2025-08,BTCUSDT,0.0006,12,0.002764762671696433,0.001434953492241476,0.002764762671696433,0.0020338796378743503,0.5,3.061961682799499,2,-0.005223846977834567,0.007108084402233806
LEGACY_EVENT_FIRST_60M,2025-08,BTCUSDT,0.0008,12,0.0025647626716964324,0.0012349534922414759,0.0025647626716964324,0.00183387963787435,0.5,2.78004564834515,2,-0.005423846977834567,0.006908084402233805
LEGACY_EVENT_FIRST_60M,2025-08,ETHUSDT,0.0004,9,0.0067403701407308175,0.0017416480402516314,0.0067403701407308175,0.00415874678808305,0.5555555555555556,3.1514501405877873,2,-0.009252447287564202,0.019587166421599734
LEGACY_EVENT_FIRST_60M,2025-08,ETHUSDT,0.0006,9,0.006540370140730816,0.0015416480402516315,0.006540370140730816,0.0039587467880830484,0.5555555555555556,3.030016107039659,2,-0.009452447287564203,0.01938716642159973
LEGACY_EVENT_FIRST_60M,2025-08,ETHUSDT,0.0008,9,0.006340370140730817,0.0013416480402516314,0.006340370140730817,0.0037587467880830488,0.5555555555555556,2.9151027907754687,2,-0.009652447287564203,0.019187166421599733
LEGACY_EVENT_FIRST_60M,2025-08,SOLUSDT,0.0004,8,0.005872789927657424,0.0012701011866261937,0.005872789927657425,0.005315283430330313,0.5,4.0831124619296295,2,-0.004535204969609429,0.02181261786629671
LEGACY_EVENT_FIRST_60M,2025-08,SOLUSDT,0.0006,8,0.005672789927657423,0.001070101186626194,0.005672789927657423,0.005115283430330313,0.5,3.8295685231397925,2,-0.004735204969609429,0.02161261786629671
LEGACY_EVENT_FIRST_60M,2025-08,SOLUSDT,0.0008,8,0.005472789927657423,0.0008701011866261937,0.005472789927657423,0.004915283430330313,0.5,3.6001162717549757,2,-0.0049352049696094295,0.02141261786629671
LEGACY_EVENT_FIRST_60M,2025-09,BNBUSDT,0.0004,14,0.0008355344419078661,-0.00014257080631684368,0.0008355344419078661,0.0008042148651245617,0.5,1.762935111978081,3,-0.0029668496027717814,0.0072684444771038475
LEGACY_EVENT_FIRST_60M,2025-09,BNBUSDT,0.0006,14,0.0006355344419078661,-0.00034257080631684364,0.0006355344419078661,0.0006042148651245618,0.5,1.5317577059920557,3,-0.003166849602771781,0.007068444477103848
LEGACY_EVENT_FIRST_60M,2025-09,BNBUSDT,0.0008,14,0.00043553444190786583,-0.0005425708063168436,0.0004355344419078659,0.0004042148651245615,0.5,1.3362790205569646,3,-0.003366849602771781,0.006868444477103847
LEGACY_EVENT_FIRST_60M,2025-09,BTCUSDT,0.0004,12,-0.00218806780814253,-0.0023963609340307166,-0.0021880678081425296,-0.002188151123314664,0.3333333333333333,0.18664427880994988,3,-0.006050622641580649,0.0014493811617067648
LEGACY_EVENT_FIRST_60M,2025-09,BTCUSDT,0.0006,12,-0.0023880678081425293,-0.0025963609340307163,-0.0023880678081425297,-0.0023881511233146634,0.3333333333333333,0.15421914798911884,3,-0.006250622641580649,0.0012493811617067649
LEGACY_EVENT_FIRST_60M,2025-09,BTCUSDT,0.0008,12,-0.0025880678081425293,-0.0027963609340307164,-0.00258806780814253,-0.0025881511233146644,0.3333333333333333,0.12471832209536803,3,-0.006450622641580649,0.0010493811617067648
LEGACY_EVENT_FIRST_60M,2025-09,ETHUSDT,0.0004,7,-0.0001978319203144619,-0.0006059597043233552,-0.00019783192031446142,-0.0003563311425924239,0.42857142857142855,0.9010200394983929,2,-0.005915457163825266,0.004698736310849629
LEGACY_EVENT_FIRST_60M,2025-09,ETHUSDT,0.0006,7,-0.0003978319203144613,-0.0008059597043233551,-0.0003978319203144613,-0.000556331142592424,0.42857142857142855,0.8117210935431084,2,-0.006115457163825265,0.00449873631084963
LEGACY_EVENT_FIRST_60M,2025-09,ETHUSDT,0.0008,7,-0.0005978319203144616,-0.0010059597043233551,-0.0005978319203144618,-0.0007563311425924241,0.42857142857142855,0.73158633164302,2,-0.006315457163825266,0.004298736310849629
LEGACY_EVENT_FIRST_60M,2025-09,SOLUSDT,0.0004,10,-0.0016087651516510358,-0.0009135566246277646,-0.0016087651516510358,-0.0015209135650956934,0.5,0.6653698808950411,4,-0.011458909895439183,0.008505234120822847
LEGACY_EVENT_FIRST_60M,2025-09,SOLUSDT,0.0006,10,-0.0018087651516510365,-0.0011135566246277644,-0.0018087651516510365,-0.001720913565095694,0.5,0.6314353196712749,4,-0.011658909895439183,0.008305234120822846
LEGACY_EVENT_FIRST_60M,2025-09,SOLUSDT,0.0008,10,-0.002008765151651037,-0.0013135566246277645,-0.002008765151651037,-0.0019209135650956944,0.4,0.6002480510717217,4,-0.011858909895439184,0.008105234120822846
LEGACY_EVENT_FIRST_60M,2025-10,BNBUSDT,0.0004,15,0.0008917211344673457,-0.002472522832550883,0.0008917211344673469,0.0008374998633128405,0.3333333333333333,1.2779703534467595,4,-0.007004698147331689,0.014401720060636287
LEGACY_EVENT_FIRST_60M,2025-10,BNBUSDT,0.0006,15,0.0006917211344673463,-0.0026725228325508825,0.0006917211344673451,0.0006374998633128406,0.3333333333333333,1.2070212230699824,4,-0.007204698147331688,0.014201720060636289
LEGACY_EVENT_FIRST_60M,2025-10,BNBUSDT,0.0008,15,0.0004917211344673454,-0.0028725228325508826,0.0004917211344673452,0.0004374998633128402,0.3333333333333333,1.141517196328342,4,-0.007404698147331689,0.01400172006063629
LEGACY_EVENT_FIRST_60M,2025-10,BTCUSDT,0.0004,20,-0.0010310701158417804,-0.0006090609590247316,-0.00016324857656261797,-0.00023096425976179693,0.45,0.7014544692271623,4,-0.007214286067781183,0.008593998069573928
LEGACY_EVENT_FIRST_60M,2025-10,BTCUSDT,0.0006,20,-0.001231070115841781,-0.0008090609590247315,-0.0003632485765626179,-0.0004309642597617971,0.45,0.654547435179574,4,-0.0074142860677811825,0.008393998069573928
LEGACY_EVENT_FIRST_60M,2025-10,BTCUSDT,0.0008,20,-0.0014310701158417808,-0.0010090609590247316,-0.0005632485765626181,-0.0006309642597617975,0.45,0.6104494774122332,4,-0.007614286067781183,0.008193998069573927
LEGACY_EVENT_FIRST_60M,2025-10,ETHUSDT,0.0004,21,-0.0034770755159904986,-0.003987396927870024,-0.0033293213426278698,-0.0034292139814919814,0.42857142857142855,0.504205716566077,2,-0.016943756467521488,0.00878385429106361
LEGACY_EVENT_FIRST_60M,2025-10,ETHUSDT,0.0006,21,-0.0036770755159905,-0.004187396927870023,-0.0035293213426278703,-0.0036292139814919824,0.38095238095238093,0.48460305996488295,5,-0.017143756467521486,0.008583854291063609
LEGACY_EVENT_FIRST_60M,2025-10,ETHUSDT,0.0008,21,-0.0038770755159904993,-0.004387396927870024,-0.0037293213426278686,-0.0038292139814919803,0.38095238095238093,0.4658397622789757,5,-0.017343756467521485,0.008383854291063609
LEGACY_EVENT_FIRST_60M,2025-10,SOLUSDT,0.0004,9,-0.00484621637513012,-0.0064649624870838805,-0.00484621637513012,-0.004906398873904266,0.2222222222222222,0.2330994115700988,7,-0.011331809200337538,0.005062829875863796
LEGACY_EVENT_FIRST_60M,2025-10,SOLUSDT,0.0006,9,-0.0050462163751301215,-0.00666496248708388,-0.0050462163751301215,-0.0051063988739042665,0.2222222222222222,0.22063499391099786,7,-0.011531809200337539,0.004862829875863796
LEGACY_EVENT_FIRST_60M,2025-10,SOLUSDT,0.0008,9,-0.005246216375130122,-0.006864962487083881,-0.005246216375130122,-0.005306398873904268,0.2222222222222222,0.20875543643420294,7,-0.01173180920033754,0.004662829875863796
LEGACY_EVENT_FIRST_60M,2025-11,BNBUSDT,0.0004,19,0.002067412349662529,0.0006025224759071527,0.002067412349662529,0.001989959367194504,0.5789473684210527,2.3204708041302236,2,-0.00384821401538149,0.010909936055268951
LEGACY_EVENT_FIRST_60M,2025-11,BNBUSDT,0.0006,19,0.0018674123496625296,0.00040252247590715276,0.0018674123496625296,0.001789959367194504,0.5789473684210527,2.131851781779282,2,-0.00404821401538149,0.01070993605526895
LEGACY_EVENT_FIRST_60M,2025-11,BNBUSDT,0.0008,19,0.0016674123496625288,0.00020252247590715267,0.0016674123496625288,0.001589959367194504,0.5263157894736842,1.9606126198693965,2,-0.00424821401538149,0.01050993605526895
LEGACY_EVENT_FIRST_60M,2025-11,BTCUSDT,0.0004,13,0.0028437744981415305,0.0019702096064881493,0.00284377449814153,0.0031336763021394304,0.6923076923076923,2.4238652527316797,1,-0.004256969575983804,0.012515378229412424
LEGACY_EVENT_FIRST_60M,2025-11,BTCUSDT,0.0006,13,0.0026437744981415313,0.0017702096064881497,0.0026437744981415304,0.0029336763021394303,0.6923076923076923,2.2841586027982523,1,-0.004456969575983804,0.012315378229412423
