fast_span,slow_span,adx_threshold,hold_bars,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
24,192,20,48,confirmation,SOLUSDT,768,-0.0007134534269074054,-0.0008728608676628718,0.4596354166666667,0.8641424995998362,9,-0.015573957039019036,0.01351270552913163,-0.06157898230088506,0.06360798065296251
24,192,20,96,development,BNBUSDT,768,-0.00034377751244710485,-0.0007626337566620894,0.4778645833333333,0.9457763180779416,7,-0.01807832967441354,0.019402309571670953,-0.08108961424332335,0.11184987375612658
24,192,20,96,development,BTCUSDT,767,-0.0005303759395621469,-0.0007090469528336468,0.4667535853976532,0.9057156661028369,7,-0.016753870176107695,0.01574522575639319,-0.06107846376656119,0.09065522686543907
24,192,20,96,development,ETHUSDT,759,-0.0008327298906371052,-0.0010006585825450103,0.4624505928853755,0.8787934769186705,7,-0.019598629442130065,0.01909576720264583,-0.13412894451018859,0.12791234777976718
24,192,20,96,development,SOLUSDT,766,-0.0011533324949514012,-0.0018023239244292048,0.4425587467362924,0.8833174468223736,12,-0.028748836027369506,0.02896482870300592,-0.09919906340769431,0.11435695839311337
24,192,20,96,validation,BNBUSDT,770,-0.00017407433846252306,-0.000789084073647483,0.4727272727272727,0.9698337282336493,8,-0.01748774329543704,0.016544730177500733,-0.06739423316780675,0.11375254161259833
24,192,20,96,validation,BTCUSDT,771,-0.0005987773648739052,-0.0011198228209539744,0.45395590142671854,0.8807801020777655,9,-0.015088811011792224,0.014171227686642519,-0.07575624223636342,0.07460539614087462
24,192,20,96,validation,ETHUSDT,768,-0.0011236562363321242,-0.0011097258069852727,0.4609375,0.8626952729744138,10,-0.02391644085480349,0.024221306572308504,-0.1714767192990096,0.09360135278066666
24,192,20,96,validation,SOLUSDT,767,-0.0010319612298411388,-0.0007604363869726066,0.48370273794002605,0.897299215238735,7,-0.029334852513883257,0.02844493890352775,-0.12267473336913988,0.18217106761071772
24,192,20,96,confirmation,BNBUSDT,447,-0.00011430326016176055,-0.0009869781841046026,0.4563758389261745,0.9758581999786494,7,-0.01416900641135792,0.01443901414866496,-0.04028347108823567,0.0863777344096514
24,192,20,96,confirmation,BTCUSDT,453,0.0002493865467869966,-0.00019684797136993945,0.4878587196467991,1.0542116740493244,7,-0.013990579380469836,0.015192327806351833,-0.053668309965458974,0.06305688933822644
24,192,20,96,confirmation,ETHUSDT,454,0.0006235969460459526,-0.00022653928841893597,0.4911894273127753,1.1119714239663205,7,-0.016720040217739783,0.018767476694672453,-0.07302088706235528,0.08536488654864398
24,192,20,96,confirmation,SOLUSDT,461,-0.0011481483805476183,-0.0016152284263960086,0.4598698481561822,0.8446947463125097,9,-0.020642194092826926,0.02105109034267909,-0.10690474748567098,0.06327635070441799
24,192,25,48,development,BNBUSDT,1087,-0.0004780731125210343,-0.001057875457875456,0.4452621895124195,0.8983993439470311,14,-0.013321883128423083,0.012792520493348267,-0.08029188004993999,0.11755281734591187
24,192,25,48,development,BTCUSDT,1094,-0.00039119506859516476,-0.0011684542025450322,0.4360146252285192,0.9055181016417116,10,-0.011550071401158733,0.013266465588888934,-0.06739256603841388,0.0756908998906111
24,192,25,48,development,ETHUSDT,1130,-0.00029878128737468695,-0.0012393487772601845,0.42212389380530974,0.9363383368521326,12,-0.01377956493935286,0.014468278254469684,-0.06158092013472334,0.13814298940621378
24,192,25,48,development,SOLUSDT,1111,-0.0013557957137060115,-0.0015063423674475766,0.45004500450045004,0.8212083920345606,8,-0.021496968392157933,0.020132575000225184,-0.17001373022787908,0.1867977308071998
24,192,25,48,validation,BNBUSDT,1121,-0.0005236121484049884,-0.0007522070015220755,0.4495985727029438,0.8802273960202682,9,-0.012622445775425883,0.011535001896094067,-0.08047171866576348,0.09634603447705396
24,192,25,48,validation,BTCUSDT,1070,-0.0008323278070065844,-0.0011440509246439905,0.4289719626168224,0.7824653897126811,10,-0.010961933205248041,0.009424338980372317,-0.09087494746881315,0.04948406609334237
24,192,25,48,validation,ETHUSDT,1135,-0.0006136714482755107,-0.0012755229021804253,0.4440528634361233,0.8909704796239437,9,-0.01687906644130914,0.01630250755787657,-0.11729238282632377,0.08734932233352992
24,192,25,48,validation,SOLUSDT,1113,-0.0009464698038141451,-0.0008577984016499668,0.4788858939802336,0.8668319278232548,13,-0.02049283913802695,0.019378406128033217,-0.2146086054877619,0.06772932254065482
24,192,25,48,confirmation,BNBUSDT,645,-0.0005964158427398639,-0.0011031109024131729,0.4418604651162791,0.843093975065931,8,-0.011037962418258539,0.009279183372917757,-0.041986325915085734,0.09151380440461691
24,192,25,48,confirmation,BTCUSDT,663,-0.0007148086796884839,-0.0008488419279507159,0.4343891402714932,0.8162213222935774,7,-0.01118513708902058,0.010059741446852698,-0.07139388757564531,0.04927663328411806
24,192,25,48,confirmation,ETHUSDT,673,0.0003133145765408183,-0.000499414255682295,0.462109955423477,1.0721554848724248,9,-0.013898372094312371,0.014797719110741488,-0.09267323708128357,0.06467519856319597
24,192,25,48,confirmation,SOLUSDT,645,-0.0006848679363772346,-0.0011949547834366296,0.4387596899224806,0.8723208339517486,9,-0.016639984541675788,0.015725975666716695,-0.049762549704783623,0.062062817714567384
24,192,25,96,development,BNBUSDT,684,-0.000738359992567258,-0.0013276032130205666,0.4502923976608187,0.8948609986479985,7,-0.01940336402862063,0.01887751971677473,-0.11117133259257346,0.16517302530792327
24,192,25,96,development,BTCUSDT,700,4.626211705998144e-06,-0.0010444001505498617,0.45285714285714285,1.0008165406923673,11,-0.016117743950567753,0.018427739797268496,-0.07032214255172771,0.07855207461144136
24,192,25,96,development,ETHUSDT,707,-0.00042956737262188073,-0.0012618377026877951,0.4625176803394625,0.936942366215879,7,-0.020036917162324627,0.02112264715664649,-0.13412894451018859,0.15724510367890548
24,192,25,96,development,SOLUSDT,705,-0.001033364985319096,-0.0015248539959514355,0.47092198581560285,0.8949324740652482,9,-0.028651846281343537,0.029106169432654146,-0.15942368792160316,0.0995952711176266
24,192,25,96,validation,BNBUSDT,697,-0.0010278361184033506,-0.001613844798643748,0.44619799139167865,0.8392910558226964,9,-0.01850663812327642,0.015882006516309288,-0.07025621155361413,0.11375254161259833
24,192,25,96,validation,BTCUSDT,685,-0.0013426552772069435,-0.001659017926494765,0.4335766423357664,0.7692846369926856,8,-0.017200957060992537,0.013608022788461252,-0.10679462790066714,0.0667416395880344
24,192,25,96,validation,ETHUSDT,698,-0.001643191886785027,-0.0016003681693148135,0.4484240687679083,0.8077676326920773,9,-0.023749530921549144,0.022610321260190358,-0.1714767192990096,0.10065769620016145
24,192,25,96,validation,SOLUSDT,695,-0.0017338997487223924,-0.0010323389537397303,0.4805755395683453,0.8368833520878237,7,-0.029448901207558918,0.027528985980765145,-0.24465727586936575,0.1223915088177661
24,192,25,96,confirmation,BNBUSDT,406,-0.0005186176183490401,-0.0007381042630471673,0.45566502463054187,0.9007585217722075,6,-0.01693403243984144,0.014732597881200894,-0.03587241499952294,0.06420519865879364
24,192,25,96,confirmation,BTCUSDT,419,-0.0002411420152568871,-0.0011045382216547488,0.45823389021479716,0.9529725093048093,9,-0.01576604226789102,0.015552193490535094,-0.08135423555658179,0.06314097472924189
24,192,25,96,confirmation,ETHUSDT,415,0.0001874295988362872,-0.0010291903056639067,0.4674698795180723,1.0303150214752377,7,-0.018493034354243917,0.02097157746641717,-0.07830415380474316,0.09470884599203293
24,192,25,96,confirmation,SOLUSDT,407,-0.0005376121844767477,-0.0003645396750647339,0.49385749385749383,0.9278024276175852,8,-0.024095769169853717,0.022424670690084025,-0.10690474748567098,0.059415521255497025
48,96,20,48,development,BNBUSDT,1270,-0.00062475931551564,-0.0008111343366243412,0.4496062992125984,0.8660714951957939,10,-0.013923143661566616,0.012897709967654172,-0.05754555297220383,0.10409379169421233
48,96,20,48,development,BTCUSDT,1275,-0.00033857164633765746,-0.0011509184844105784,0.4376470588235294,0.9153302333672007,10,-0.011270803100430224,0.012101082776254397,-0.05950324514490353,0.07202538936619267
48,96,20,48,development,ETHUSDT,1300,-0.0007105463516673299,-0.0010106014446155769,0.4376923076923077,0.851595667402599,13,-0.013536331034766634,0.01277772156385655,-0.07222977981474228,0.10252691524713813
48,96,20,48,development,SOLUSDT,1297,-0.0013001988552488297,-0.0015288099973729923,0.4533538936006168,0.8249519864082042,9,-0.021426981458205964,0.020602588623651438,-0.11602238405186267,0.08758609171876901
48,96,20,48,validation,BNBUSDT,1297,-0.0001632995160938023,-0.0006561097956481848,0.4626060138781804,0.958829084003186,11,-0.01185220929507913,0.01061868997013725,-0.08207339925970943,0.09899803849334025
48,96,20,48,validation,BTCUSDT,1295,-0.0005954634116324837,-0.0008093127788826976,0.44478764478764476,0.8311189334348237,12,-0.010117836064456884,0.00892772721940769,-0.05113841343968557,0.05873791806105559
48,96,20,48,validation,ETHUSDT,1301,-0.00024775168296826977,-0.0007381823206628718,0.4711760184473482,0.95373115463708,8,-0.015227619249780288,0.01653706982836194,-0.11729238282632377,0.07823996573055318
48,96,20,48,validation,SOLUSDT,1294,-0.00024201428538592526,-0.0006,0.4752704791344668,0.9630192994548988,13,-0.019439873423463937,0.020676682581118083,-0.10732959805115723,0.09761962896469172
