hypothesis,horizon_bars,minutes,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_CONTINUATION_LONG,12,60,2024,0.0,4624,0.0005047651073177471,8.195827886159357e-05,0.0004188894658929848,0.0005119010053749077,0.5067041522491349,1.1333220232722485,-0.01120572810360193,0.013103676133187523
POS_CONTINUATION_LONG,12,60,2024,0.0004,4624,0.00010476510731774726,-0.00031804172113840645,1.888946589298492e-05,0.00011190100537490753,0.4809688581314879,1.026265268242308,-0.01160572810360193,0.012703676133187524
POS_CONTINUATION_LONG,12,60,2024,0.0006,4624,-9.523489268225332e-05,-0.0005180417211384064,-0.00018111053410701418,-8.80989946250925e-05,0.46907439446366783,0.9767361183111616,-0.01180572810360193,0.012503676133187524
POS_CONTINUATION_LONG,12,60,2025,0.0,4658,0.0003157313008486189,5.4077969898647105e-05,5.3953933586322625e-05,0.00015010569214744574,0.5034349506225848,1.0871397109414709,-0.010904669395285138,0.011514785783198336
POS_CONTINUATION_LONG,12,60,2025,0.0004,4658,-8.426869915138086e-05,-0.0003459220301013529,-0.00034604606641367694,-0.00024989430785255423,0.47659939888364106,0.9779812377860996,-0.011304669395285138,0.011114785783198336
POS_CONTINUATION_LONG,12,60,2025,0.0006,4658,-0.00028426869915138144,-0.0005459220301013528,-0.0005460460664136768,-0.0004498943078525543,0.4626449119793903,0.9277261642092036,-0.011504669395285138,0.010914785783198336
POS_CONTINUATION_LONG,12,60,2026,0.0,2738,-0.00011949959847232423,-0.00030438324508369474,-0.000313991589214502,-0.00020220110675927598,0.47406866325785246,0.9613567931639353,-0.009412985215186964,0.00875734913504159
POS_CONTINUATION_LONG,12,60,2026,0.0004,2738,-0.0005194995984723243,-0.0007043832450836947,-0.0007139915892145015,-0.0006022011067592759,0.44485025566106645,0.8429755312932414,-0.009812985215186963,0.00835734913504159
POS_CONTINUATION_LONG,12,60,2026,0.0006,2738,-0.0007194995984723243,-0.0009043832450836947,-0.0009139915892145026,-0.0008022011067592758,0.4357195032870709,0.7896283891487967,-0.010012985215186964,0.00815734913504159
POS_REVERSION_SHORT,1,5,2024,0.0,4624,-0.00011430258406533808,-2.9000641085685785e-05,-9.341168059177627e-05,-0.0001194489564131086,0.4930795847750865,0.9210780062759573,-0.004409636210141321,0.00397651385021741
POS_REVERSION_SHORT,1,5,2024,0.0004,4624,-0.0005143025840653381,-0.0004290006410856858,-0.0004934116805917764,-0.0005194489564131087,0.4338235294117647,0.690578133285289,-0.004809636210141321,0.0035765138502174094
POS_REVERSION_SHORT,1,5,2024,0.0006,4624,-0.000714302584065338,-0.0006290006410856857,-0.0006934116805917764,-0.0007194489564131085,0.4031141868512111,0.5983258805799662,-0.005009636210141321,0.0033765138502174098
POS_REVERSION_SHORT,1,5,2025,0.0,4658,3.847540075820362e-05,6.422888162593843e-05,8.403519831712831e-05,6.98392595708007e-05,0.5100901674538428,1.0278799253702875,-0.003906188989096715,0.003975669954571959
POS_REVERSION_SHORT,1,5,2025,0.0004,4658,-0.0003615245992417964,-0.0003357711183740616,-0.0003159648016828717,-0.00033016074042919937,0.44761700300558177,0.7725111971687058,-0.004306188989096715,0.0035756699545719584
POS_REVERSION_SHORT,1,5,2025,0.0006,4658,-0.0005615245992417963,-0.0005357711183740615,-0.000515964801682872,-0.0005301607404291992,0.41863460712752254,0.6700980796129307,-0.004506188989096715,0.0033756699545719588
POS_REVERSION_SHORT,1,5,2026,0.0,2738,0.00010955671316177042,0.00015180671245479394,0.00017213722952392056,0.00014436941217985292,0.5288531775018261,1.1050037147217324,-0.0031845132457894118,0.0033693688838263196
POS_REVERSION_SHORT,1,5,2026,0.0004,2738,-0.00029044328683822964,-0.0002481932875452061,-0.0002278627704760794,-0.0002556305878201472,0.45215485756026297,0.767104666066545,-0.003584513245789412,0.0029693688838263194
POS_REVERSION_SHORT,1,5,2026,0.0006,2738,-0.0004904432868382294,-0.000448193287545206,-0.00042786277047607936,-0.00045563058782014683,0.4141709276844412,0.6394189166847337,-0.0037845132457894116,0.0027693688838263198
POS_REVERSION_SHORT,3,15,2024,0.0,4624,-0.00021200618920280763,-8.509932315881041e-05,-0.0001565352127175511,-0.0002444111919112205,0.4922145328719723,0.9096330145270237,-0.007384231817836006,0.006354759373992299
POS_REVERSION_SHORT,3,15,2024,0.0004,4624,-0.0006120061892028077,-0.00048509932315881043,-0.0005565352127175512,-0.0006444111919112205,0.451340830449827,0.7607360680442411,-0.007784231817836006,0.0059547593739922985
POS_REVERSION_SHORT,3,15,2024,0.0006,4624,-0.0008120061892028077,-0.0006850993231588104,-0.0007565352127175516,-0.0008444111919112204,0.435121107266436,0.6957757875758168,-0.007984231817836007,0.005754759373992299
POS_REVERSION_SHORT,3,15,2025,0.0,4658,-6.461436906022346e-05,9.680364315711731e-05,5.266840196565046e-05,2.0397118492093546e-05,0.5096607986260198,0.9708447496090561,-0.006400473644655347,0.006409317205366586
POS_REVERSION_SHORT,3,15,2025,0.0004,4658,-0.00046461436906022343,-0.0003031963568428827,-0.00034733159803434913,-0.00037960288150790653,0.46887075998282524,0.8081010822449155,-0.006800473644655347,0.006009317205366586
POS_REVERSION_SHORT,3,15,2025,0.0006,4658,-0.0006646143690602235,-0.0005031963568428826,-0.0005473315980343498,-0.0005796028815079064,0.44267926148561615,0.7373044377396895,-0.007000473644655347,0.005809317205366586
POS_REVERSION_SHORT,3,15,2026,0.0,2738,0.0001755603359011031,0.0002827869973479613,0.0002449572515087989,0.0002274730697035983,0.5368882395909423,1.1056941474492668,-0.004852112524795738,0.005500426902219781
POS_REVERSION_SHORT,3,15,2026,0.0004,2738,-0.00022443966409889696,-0.00011721300265203871,-0.00015504274849120138,-0.00017252693029640184,0.4850255661066472,0.8791066954789052,-0.005252112524795738,0.005100426902219781
POS_REVERSION_SHORT,3,15,2026,0.0006,2738,-0.00042443966409889684,-0.00031721300265203864,-0.00035504274849120133,-0.0003725269302964016,0.4572680788897005,0.7837425717759902,-0.0054521125247957375,0.004900426902219781
POS_REVERSION_SHORT,6,30,2024,0.0,4624,-0.0005024937099616259,-5.648216168185893e-05,-0.0004059077322183561,-0.0005137394911760713,0.4937283737024221,0.8473697750488992,-0.010207120187176644,0.008320274091727585
POS_REVERSION_SHORT,6,30,2024,0.0004,4624,-0.0009024937099616258,-0.00045648216168185895,-0.0008059077322183564,-0.0009137394911760713,0.45977508650519033,0.7422082675873608,-0.010607120187176643,0.007920274091727585
POS_REVERSION_SHORT,6,30,2024,0.0006,4624,-0.0011024937099616261,-0.0006564821616818589,-0.0010059077322183568,-0.0011137394911760715,0.44571799307958476,0.6946300095523831,-0.010807120187176644,0.007720274091727586
POS_REVERSION_SHORT,6,30,2025,0.0,4658,-0.0001494957981261149,6.256196611525988e-05,6.994699114136673e-05,-1.6537551004344674e-05,0.504293688278231,0.9495156161214916,-0.008390624115802537,0.008724276968796851
POS_REVERSION_SHORT,6,30,2025,0.0004,4658,-0.0005494957981261149,-0.00033743803388474014,-0.00033005300885863287,-0.00041653755100434466,0.4744525547445255,0.8263882877325037,-0.008790624115802536,0.008324276968796852
POS_REVERSION_SHORT,6,30,2025,0.0006,4658,-0.0007494957981261151,-0.0005374380338847401,-0.0005300530088586339,-0.0006165375510043446,0.4579218548733362,0.7709243598469135,-0.008990624115802537,0.008124276968796851
POS_REVERSION_SHORT,6,30,2026,0.0,2738,8.538534309425416e-05,0.0002099482402056485,0.00022631472288957,0.00020418035813782768,0.5252008765522279,1.0380132895732304,-0.006677177667299717,0.007145090534007663
POS_REVERSION_SHORT,6,30,2026,0.0004,2738,-0.00031461465690574584,-0.0001900517597943515,-0.00017368527711042968,-0.00019581964186217234,0.4810080350620891,0.8713347875221954,-0.007077177667299717,0.006745090534007663
POS_REVERSION_SHORT,6,30,2026,0.0006,2738,-0.0005146146569057458,-0.00039005175979435144,-0.0003736852771104307,-0.0003958196418621722,0.4620160701241782,0.7982425893471348,-0.0072771776672997165,0.0065450905340076635
POS_REVERSION_SHORT,12,60,2024,0.0,4624,-0.0005047651073177471,-8.195827886159357e-05,-0.00041888946589298525,-0.0005119010053749104,0.49264705882352944,0.8823617466752239,-0.013103676133187525,0.011205728103601924
POS_REVERSION_SHORT,12,60,2024,0.0004,4624,-0.000904765107317747,-0.0004819582788615936,-0.0008188894658929856,-0.0009119010053749103,0.4695069204152249,0.7988434168974218,-0.013503676133187524,0.010805728103601924
