hypothesis,state,side,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,15,0.0006,3999,-0.0005816531203697403,-0.0005004986125084037,-0.0005888404844866638,-0.0006026670676687672,0.43010752688172044,0.719070265918972,-0.006036568578034628,0.004562387715779829
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,30,0.0,3999,5.3429815465941077e-05,0.0001411475294141873,0.00011029623447576055,4.547497827144668e-05,0.5143785946486622,1.0228252377142832,-0.0073250733866708105,0.00716607497515658
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,30,0.0004,3999,-0.00034657018453405886,-0.00025885247058581273,-0.0002897037655242393,-0.0003545250217285534,0.47961990497624407,0.8636870899925937,-0.007725073386670811,0.00676607497515658
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,30,0.0006,3999,-0.000546570184534059,-0.00045885247058581266,-0.0004897037655242401,-0.0005545250217285534,0.460865216304076,0.7936137260881402,-0.007925073386670811,0.00656607497515658
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,60,0.0,3999,5.896335689844083e-05,0.00022648774135092253,0.0001027000443414126,9.326609931215623e-05,0.5156289072268067,1.0188159936497434,-0.009940286135166532,0.00943555463368071
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,60,0.0004,3999,-0.00034103664310155895,-0.00017351225864907749,-0.0002972999556585875,-0.00030673390068784365,0.48612153038259565,0.8976782316860559,-0.010340286135166531,0.009035554633680712
ABS_DOWN_REVERSE_LONG,ABSORPTION_DOWN,LONG,60,0.0006,3999,-0.0005410366431015594,-0.0003735122586490774,-0.0004972999556585875,-0.0005067339006878438,0.4741185296324081,0.8425794586910008,-0.010540286135166532,0.008835554633680711
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,5,0.0,3999,1.581565960214853e-05,-5.039475894519363e-05,-1.7440010365433185e-05,-1.547231012469897e-05,0.4858714678669667,1.0150343051728408,-0.0033053133438701644,0.00327865216346699
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,5,0.0004,3999,-0.0003841843403978515,-0.00045039475894519365,-0.00041744001036543327,-0.0004154723101246991,0.4111027756939235,0.6980538051691411,-0.0037053133438701646,0.0028786521634669897
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,5,0.0006,3999,-0.0005841843403978514,-0.0006503947589451936,-0.000617440010365433,-0.0006154723101246989,0.37134283570892723,0.5809800780888391,-0.003905313343870164,0.00267865216346699
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,15,0.0,3999,-1.8346879630259535e-05,-9.95013874915962e-05,-1.1159515513336833e-05,2.6670676687671818e-06,0.4873718429607402,0.9896438634275467,-0.005162387715779814,0.0054365685780346324
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,15,0.0004,3999,-0.00041834687963025963,-0.0004995013874915962,-0.0004111595155133364,-0.000397332932331233,0.4358589647411853,0.7893433841804759,-0.005562387715779814,0.005036568578034632
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,15,0.0006,3999,-0.0006183468796302595,-0.0006995013874915962,-0.0006111595155133373,-0.0005973329323312328,0.41385346336584145,0.7056965977044101,-0.005762387715779814,0.004836568578034633
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,30,0.0,3999,-5.3429815465941077e-05,-0.0001411475294141873,-0.0001102962344757603,-4.5474978271446874e-05,0.4838709677419355,0.9776841273830015,-0.007166074975156578,0.007325073386670813
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,30,0.0004,3999,-0.000453429815465941,-0.0005411475294141873,-0.0005102962344757601,-0.0004454749782714469,0.4466116529132283,0.8261515201933693,-0.007566074975156578,0.006925073386670813
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,30,0.0006,3999,-0.0006534298154659412,-0.0007411475294141872,-0.0007102962344757614,-0.0006454749782714469,0.4283570892723181,0.7598503435988253,-0.007766074975156577,0.006725073386670813
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,60,0.0,3999,-5.896335689844083e-05,-0.00022648774135092253,-0.0001027000443414126,-9.32660993121567e-05,0.48337084271067765,0.9815315093529909,-0.009435554633680709,0.009940286135166534
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,60,0.0004,3999,-0.0004589633568984406,-0.0006264877413509225,-0.0005027000443414129,-0.0004932660993121564,0.45311327831957987,0.865219771375499,-0.009835554633680708,0.009540286135166534
ABS_DOWN_CONTINUE_SHORT,ABSORPTION_DOWN,SHORT,60,0.0006,3999,-0.0006589633568984413,-0.0008264877413509225,-0.0007027000443414135,-0.0006932660993121568,0.4398599649912478,0.8125886995097147,-0.010035554633680709,0.009340286135166534
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,5,0.0,26766,-4.580965848599991e-06,-0.00014539725731160802,-5.8331692216518034e-05,-2.4866689516355656e-05,0.4735858925502503,0.9963780233466079,-0.0037423449426623456,0.003940853990238691
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,5,0.0004,26766,-0.0004045809658486001,-0.000545397257311608,-0.000458331692216518,-0.0004248666895163558,0.40992303668833596,0.7280778043665826,-0.004142344942662346,0.0035408539902386906
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,5,0.0006,26766,-0.0006045809658486,-0.000745397257311608,-0.000658331692216518,-0.0006248666895163555,0.37745647463199583,0.6242848557318414,-0.0043423449426623455,0.003340853990238691
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,15,0.0,26766,3.4186150892358802e-06,-0.00023272597427259623,-7.074501027857109e-05,-1.7579028495215345e-05,0.47425838750653815,1.001686058559785,-0.006017762159232443,0.006339959747117874
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,15,0.0004,26766,-0.00039658138491076414,-0.0006327259742725962,-0.0004707450102785709,-0.0004175790284952153,0.43297466935664647,0.8234077566583616,-0.006417762159232443,0.0059399597471178735
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,15,0.0006,26766,-0.0005965813849107642,-0.0008327259742725962,-0.0006707450102785712,-0.0006175790284952152,0.41265037734439214,0.7473308832222657,-0.0066177621592324425,0.005739959747117874
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,30,0.0,26766,0.00013567321185198387,-0.0001930579406030919,5.718925477797314e-06,8.792796419754491e-05,0.483598595232758,1.0511085504856184,-0.008042403498794037,0.008677010678633246
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,30,0.0004,26766,-0.00026432678814801604,-0.0005930579406030919,-0.0003942810745222028,-0.00031207203580245507,0.45382201300156916,0.9078043011195406,-0.008442403498794037,0.008277010678633246
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,30,0.0006,26766,-0.00046432678814801624,-0.0007930579406030918,-0.0005942810745222036,-0.0005120720358024551,0.43760741238885154,0.8440710807230419,-0.008642403498794037,0.008077010678633246
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,60,0.0,26766,0.0001951651978183291,-0.0001917166939066628,6.103872753349258e-05,0.00014541678473897984,0.4889785548830606,1.0548002610882385,-0.010551225339834436,0.011572745124894035
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,60,0.0004,26766,-0.00020483480218167066,-0.0005917166939066628,-0.00033896127246650756,-0.00025458321526102007,0.46394679817679146,0.945678329458066,-0.010951225339834435,0.011172745124894036
EFF_UP_CONTINUE_LONG,EFFICIENT_UP,LONG,60,0.0006,26766,-0.00040483480218167126,-0.0007917166939066627,-0.0005389612724665084,-0.0004545832152610204,0.4521407756108496,0.8956386293218582,-0.011151225339834436,0.010972745124894035
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,5,0.0,26766,4.580965848599991e-06,0.00014539725731160802,5.8331692216518034e-05,2.4866689516355656e-05,0.5237614884555033,1.0036351430566752,-0.003940853990238691,0.0037423449426623456
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,5,0.0004,26766,-0.00039541903415140007,-0.000254602742688392,-0.0003416683077834819,-0.00037513331048364453,0.4589778076664425,0.7298002193871991,-0.004340853990238691,0.0033423449426623454
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,5,0.0006,26766,-0.0005954190341513999,-0.00045460274268839193,-0.0005416683077834821,-0.0005751333104836441,0.42273780168870956,0.6220346766399202,-0.004540853990238691,0.003142344942662346
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,15,0.0,26766,-3.4186150892358802e-06,0.00023272597427259623,7.074501027857049e-05,1.7579028495215345e-05,0.5239482926100276,0.9983167794486335,-0.006339959747117874,0.006017762159232443
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,15,0.0004,26766,-0.0004034186150892359,-0.0001672740257274038,-0.0003292549897214289,-0.0003824209715047847,0.482664574460136,0.8190683475756004,-0.006739959747117874,0.0056177621592324424
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,15,0.0006,26766,-0.0006034186150892359,-0.0003672740257274037,-0.0005292549897214294,-0.0005824209715047845,0.459762385115445,0.7416237254207249,-0.0069399597471178735,0.005417762159232443
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,30,0.0,26766,-0.00013567321185198387,0.0001930579406030919,-5.7189254777970194e-06,-8.792796419754491e-05,0.5149443323619517,0.9513765248489264,-0.008677010678633246,0.008042403498794037
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,30,0.0004,26766,-0.0005356732118519838,-0.00020694205939690813,-0.00040571892547779684,-0.00048792796419754476,0.4828513786146604,0.8208774122677527,-0.009077010678633245,0.007642403498794037
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,30,0.0006,26766,-0.0007356732118519841,-0.00040694205939690805,-0.0006057189254777977,-0.0006879279641975449,0.46615108720017934,0.7623496122175086,-0.009277010678633246,0.0074424034987940375
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,60,0.0,26766,-0.0001951651978183291,0.0001917166939066628,-6.103872753349228e-05,-0.00014541678473897984,0.5101621460061272,0.948046788468083,-0.011572745124894035,0.010551225339834436
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,60,0.0004,26766,-0.0005951651978183288,-0.00020828330609333723,-0.0004610387275334921,-0.0005454167847389797,0.48711051333781663,0.849587968890263,-0.011972745124894034,0.010151225339834436
EFF_UP_REVERSE_SHORT,EFFICIENT_UP,SHORT,60,0.0006,26766,-0.0007951651978183294,-0.00040828330609333715,-0.0006610387275334926,-0.00074541678473898,0.47620115071359187,0.8041720670084802,-0.012172745124894035,0.009951225339834436
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,5,0.0,28168,-0.0001010638203585818,-0.00022265336856508444,-0.00014250749521217484,-0.00012122927273209659,0.4603450724226072,0.9298047286566871,-0.004019444145880112,0.003969386154676046
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,5,0.0004,28168,-0.0005010638203585819,-0.0006226533685650844,-0.0005425074952121748,-0.0005212292727320968,0.4003124112468049,0.6995620931216808,-0.0044194441458801125,0.003569386154676046
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,5,0.0006,28168,-0.0007010638203585817,-0.0008226533685650844,-0.0007425074952121751,-0.0007212292727320964,0.3702783300198807,0.6084929989725689,-0.004619444145880112,0.0033693861546760465
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,15,0.0,28168,-0.00021186073303640525,-0.0004594676183629076,-0.0002945557987231251,-0.00024369407102479073,0.4530673104231752,0.9094151817579811,-0.006535769812878932,0.006458678085468228
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,15,0.0004,28168,-0.0006118607330364053,-0.0008594676183629076,-0.0006945557987231248,-0.0006436940710247909,0.41785004260153363,0.7614233408789425,-0.006935769812878932,0.006058678085468228
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,15,0.0006,28168,-0.0008118607330364052,-0.0010594676183629075,-0.0008945557987231256,-0.0008436940710247907,0.39875035501278044,0.6973926261422774,-0.007135769812878932,0.005858678085468228
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,30,0.0,28168,-0.0003622951266819525,-0.0005907044333557376,-0.00042525683038553393,-0.0003795968648137015,0.45501988071570576,0.8848661673379384,-0.008921685154624636,0.008572083723233759
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,30,0.0004,28168,-0.0007622951266819524,-0.0009907044333557376,-0.0008252568303855339,-0.0007795968648137014,0.42619284294234594,0.7738145871800748,-0.009321685154624636,0.00817208372323376
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,30,0.0006,28168,-0.0009622951266819527,-0.0011907044333557375,-0.0010252568303855346,-0.0009795968648137017,0.41149531383129795,0.723985956789831,-0.009521685154624636,0.007972083723233759
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,60,0.0,28168,-0.00058416031713733,-0.0007688702924923962,-0.0006159465859718599,-0.000560265901437533,0.45423885259869357,0.8593570990328775,-0.011893720382629947,0.011225684847282359
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,60,0.0004,28168,-0.0009841603171373298,-0.0011688702924923962,-0.00101594658597186,-0.0009602659014375331,0.43190854870775347,0.7751109377855059,-0.012293720382629946,0.01082568484728236
EFF_DOWN_CONTINUE_SHORT,EFFICIENT_DOWN,SHORT,60,0.0006,28168,-0.0011841603171373304,-0.001368870292492396,-0.0012159465859718605,-0.001160265901437533,0.4198736154501562,0.736328503095691,-0.012493720382629947,0.010625684847282359
EFF_DOWN_REVERSE_LONG,EFFICIENT_DOWN,LONG,5,0.0,28168,0.0001010638203585818,0.00022265336856508444,0.00014250749521217484,0.00012122927273209638,0.536672820221528,1.0754946379383614,-0.003969386154676046,0.004019444145880111
EFF_DOWN_REVERSE_LONG,EFFICIENT_DOWN,LONG,5,0.0004,28168,-0.00029893617964141825,-0.00017734663143491558,-0.00025749250478782526,-0.0002787707272679038,0.4691493893780176,0.8055193344180817,-0.0043693861546760466,0.0036194441458801112
EFF_DOWN_REVERSE_LONG,EFFICIENT_DOWN,LONG,5,0.0006,28168,-0.0004989361796414181,-0.0003773466314349155,-0.0004574925047878255,-0.00047877072726790345,0.43709173530247086,0.6969770010756803,-0.004569386154676046,0.0034194441458801116
EFF_DOWN_REVERSE_LONG,EFFICIENT_DOWN,LONG,15,0.0,28168,0.00021186073303640525,0.0004594676183629076,0.00029455579872312453,0.00024369407102479054,0.5453351320647544,1.0996077699812645,-0.006458678085468228,0.00653576981287893
EFF_DOWN_REVERSE_LONG,EFFICIENT_DOWN,LONG,15,0.0004,28168,-0.00018813926696359474,5.9467618362907596e-05,-0.00010544420127687486,-0.00015630592897520956,0.5059997159897757,0.918783077482513,-0.006858678085468228,0.00613576981287893
EFF_DOWN_REVERSE_LONG,EFFICIENT_DOWN,LONG,15,0.0006,28168,-0.0003881392669635948,-0.00014053238163709233,-0.0003054442012768754,-0.00035630592897520943,0.4849829593865379,0.8394385142104506,-0.007058678085468228,0.00593576981287893
