hypothesis,year,horizon,minutes,feature,bucket,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,2025,6,30,range_ratio,Q4,0.0004,1511,-0.00033989536367754337,-6.296415697080001e-05,0.4937127729980146,0.9043540551254455,-0.0106162317685855,0.009846756550496001
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q1,0.0,721,0.00013862948880309973,0.0003203759077317,0.5492371705963939,1.0914183965170277,-0.0047964732727263,0.0048218275902622
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q1,0.0002,721,-6.137051119690026e-05,0.00012037590773169999,0.5242718446601942,0.9618644258967636,-0.004996473272726299,0.0046218275902622005
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q1,0.0004,721,-0.00026137051119690027,-7.962409226830002e-05,0.4882108183079057,0.8470021816305392,-0.0051964732727263,0.0044218275902622
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q2,0.0,946,0.00017857482109131907,0.00037479780124455,0.5613107822410148,1.1141631916634993,-0.00498138638209405,0.00528824080514415
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q2,0.0002,946,-2.1425178908680912e-05,0.00017479780124454998,0.5274841437632135,0.9870528442390993,-0.00518138638209405,0.00508824080514415
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q2,0.0004,946,-0.00022142517890868098,-2.5202198755450026e-05,0.4978858350951374,0.8736675135511922,-0.00538138638209405,0.0048882408051441496
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q3,0.0,1050,2.2381556939605936e-05,0.00054471428273445,0.5495238095238095,1.0117109936823911,-0.00580442765685026,0.005796948769320201
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q3,0.0002,1050,-0.000177618443060394,0.00034471428273445,0.5295238095238095,0.9113315890178769,-0.00600442765685026,0.005596948769320201
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q3,0.0004,1050,-0.0003776184430603942,0.00014471428273444994,0.5161904761904762,0.8200905717635117,-0.00620442765685026,0.005396948769320201
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q4,0.0,1103,-0.00028239848145998993,0.0001904489834785,0.5194922937443336,0.892307233698806,-0.007927518247767459,0.007014729862590261
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q4,0.0002,1103,-0.0004823984814599899,-9.55101652150002e-06,0.4986400725294651,0.8226928516210885,-0.00812751824776746,0.006814729862590262
DOWN_REVERSAL_LONG,2026,6,30,range_ratio,Q4,0.0004,1103,-0.00068239848145999,-0.00020955101652150003,0.48957388939256574,0.7581677386528494,-0.008327518247767458,0.006614729862590261
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q1,0.0,1544,-0.0004260229034096475,0.00012504155446230002,0.5090673575129534,0.826603480425923,-0.00702621856043174,0.005895300610238591
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q1,0.0002,1544,-0.0006260229034096476,-7.49584455377e-05,0.4948186528497409,0.7551427063136616,-0.00722621856043174,0.005695300610238591
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q1,0.0004,1544,-0.0008260229034096476,-0.0002749584455377,0.4734455958549223,0.6894381755974026,-0.00742621856043174,0.00549530061023859
DOWN_REVERSAL_LONG,2024,6,30,volume_ratio_7d,Q2,0.0,1649,7.649068337382482e-05,0.0004764930114358,0.5415403274711946,1.0306494312612637,-0.00784321399560158,0.007461569948398921
