hypothesis,horizon_bars,minutes,cost,mean_relative_return,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_REVERSION_SHORT,12,60,0.0004,1.0028535087218518e-05,12020,-0.000689311177618378,-0.00037689062048478183,-0.0005042533630537543,-0.0006121477551947098,0.4732945091514143,0.8301754459525557,-0.011920935523738584,0.010189656318008968
POS_REVERSION_SHORT,12,60,0.0006,1.0028535087218518e-05,12020,-0.0008893111776183784,-0.0005768906204847818,-0.0007042533630537549,-0.0008121477551947099,0.46256239600665555,0.7864970967738093,-0.012120935523738585,0.009989656318008968
NEG_CONTINUATION_SHORT,1,5,0.0,-0.00017384899306177983,12039,-0.00019071332481802747,-0.00010023882990783939,-0.00013105519503723635,-0.0001435890881261005,0.47753135642495226,0.8637447451410475,-0.003827060728304543,0.003492047933476927
NEG_CONTINUATION_SHORT,1,5,0.0004,-0.00017384899306177983,12039,-0.0005907133248180275,-0.0005002388299078394,-0.0005310551950372366,-0.0005435890881261005,0.4070936124262812,0.6359817718734946,-0.004227060728304544,0.003092047933476927
NEG_CONTINUATION_SHORT,1,5,0.0006,-0.00017384899306177983,12039,-0.0007907133248180274,-0.0007002388299078393,-0.0007310551950372362,-0.0007435890881261004,0.36963202923830885,0.5468920577006362,-0.004427060728304543,0.0028920479334769273
NEG_CONTINUATION_SHORT,3,15,0.0,-0.0001841297439882933,12039,-0.0003073983415587427,-0.00021447842234190162,-0.0002757193618102527,-0.00029160323134601215,0.47611927900988454,0.8638364173157647,-0.006444820954104457,0.005635219182288868
NEG_CONTINUATION_SHORT,3,15,0.0004,-0.0001841297439882933,12039,-0.0007073983415587427,-0.0006144784223419016,-0.0006757193618102526,-0.0006916032313460123,0.43483678046349367,0.7142180404379788,-0.0068448209541044575,0.005235219182288868
NEG_CONTINUATION_SHORT,3,15,0.0006,-0.0001841297439882933,12039,-0.0009073983415587426,-0.0008144784223419016,-0.0008757193618102534,-0.0008916032313460122,0.413904809369549,0.6497306797664726,-0.007044820954104457,0.0050352191822888685
NEG_CONTINUATION_SHORT,6,30,0.0,-0.0002383847280157695,12039,-0.0004389953196668569,-0.00034407919114931573,-0.0003667269144786214,-0.00038289265594655523,0.46939114544397376,0.8544164994920033,-0.008707677544413261,0.007724647029504018
NEG_CONTINUATION_SHORT,6,30,0.0004,-0.0002383847280157695,12039,-0.0008389953196668569,-0.0007440791911493157,-0.0007667269144786215,-0.0007828926559465551,0.43475371708613675,0.7405911999371648,-0.00910767754441326,0.007324647029504017
NEG_CONTINUATION_SHORT,6,30,0.0006,-0.0002383847280157695,12039,-0.001038995319666857,-0.0009440791911493157,-0.0009667269144786224,-0.000982892655946555,0.41789185148268126,0.6897522118583271,-0.009307677544413261,0.007124647029504018
NEG_CONTINUATION_SHORT,12,60,0.0,-0.000360522531962001,12039,-0.0005888194444165164,-0.0002629503023927615,-0.0004857573913306236,-0.0005275054455741299,0.47977406761358915,0.8502454583210236,-0.011535406251704928,0.010008512664648994
NEG_CONTINUATION_SHORT,12,60,0.0004,-0.000360522531962001,12039,-0.0009888194444165161,-0.0006629503023927615,-0.000885757391330623,-0.0009275054455741298,0.452861533349946,0.7614460424724998,-0.011935406251704927,0.009608512664648995
NEG_CONTINUATION_SHORT,12,60,0.0006,-0.000360522531962001,12039,-0.0011888194444165169,-0.0008629503023927615,-0.001085757391330624,-0.00112750544557413,0.44023589999169366,0.7206551247225571,-0.012135406251704927,0.009408512664648995
NEG_REVERSION_LONG,1,5,0.0,0.00017384899306177983,12039,0.00019071332481802747,0.00010023882990783939,0.00013105519503723635,0.00014358908812610072,0.5187307915939862,1.157749445800336,-0.003492047933476927,0.0038270607283045436
NEG_REVERSION_LONG,1,5,0.0004,0.00017384899306177983,12039,-0.0002092866751819726,-0.00029976117009216063,-0.0002689448049627638,-0.0002564109118738994,0.44447213223689674,0.852231004178522,-0.0038920479334769273,0.0034270607283045434
NEG_REVERSION_LONG,1,5,0.0006,0.00017384899306177983,12039,-0.00040928667518197237,-0.0004997611700921606,-0.00046894480496276376,-0.00045641091187389906,0.40800730957720743,0.7327456996888576,-0.004092047933476927,0.0032270607283045438
NEG_REVERSION_LONG,3,15,0.0,0.0001841297439882933,12039,0.0003073983415587427,0.00021447842234190162,0.0002757193618102529,0.0002916032313460123,0.5224686435750477,1.15762658294419,-0.005635219182288865,0.006444820954104458
NEG_REVERSION_LONG,3,15,0.0004,0.0001841297439882933,12039,-9.260165844125737e-05,-0.0001855215776580984,-0.00012428063818974725,-0.0001083967686539877,0.478860370462663,0.9569220097290937,-0.006035219182288865,0.006044820954104458
NEG_REVERSION_LONG,3,15,0.0006,0.0001841297439882933,12039,-0.0002926016584412573,-0.00038552157765809833,-0.00032428063818974745,-0.0003083967686539875,0.4556856881800814,0.8703095929495258,-0.006235219182288865,0.005844820954104458
NEG_REVERSION_LONG,6,30,0.0,0.0002383847280157695,12039,0.0004389953196668569,0.00034407919114931573,0.0003667269144786214,0.00038289265594655626,0.5292798405183154,1.1703893833915355,-0.007724647029504017,0.008707677544413265
NEG_REVERSION_LONG,6,30,0.0004,0.0002383847280157695,12039,3.899531966685697e-05,-5.5920808850684286e-05,-3.327308552137806e-05,-1.7107344053443613e-05,0.4956391726887615,1.0140712253746997,-0.008124647029504016,0.008307677544413266
NEG_REVERSION_LONG,6,30,0.0006,0.0002383847280157695,12039,-0.0001610046803331431,-0.0002559208088506842,-0.0002332730855213791,-0.00021710734405344355,0.47977406761358915,0.9439720813360485,-0.008324647029504017,0.008107677544413265
NEG_REVERSION_LONG,12,60,0.0,0.000360522531962001,12039,0.0005888194444165164,0.0002629503023927615,0.00048575739133062325,0.000527505445574131,0.5188969183487001,1.1761309516133094,-0.010008512664648994,0.011535406251704934
NEG_REVERSION_LONG,12,60,0.0004,0.000360522531962001,12039,0.00018881944441651662,-0.0001370496976072385,8.575739133062344e-05,0.0001275054455741311,0.49181825733034307,1.053323587096473,-0.010408512664648994,0.011135406251704935
NEG_REVERSION_LONG,12,60,0.0006,0.000360522531962001,12039,-1.1180555583483829e-05,-0.00033704969760723843,-0.00011424260866937728,-7.249455442586899e-05,0.4795248774815184,0.9969317454786976,-0.010608512664648994,0.010935406251704935
