variant,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
FRESH_60,2024,0.0006,416,0.0008428613718670119,0.0007386746165585662,0.001001150539373723,0.000986902508323441,0.5264423076923077,1.280086295800914,-0.0076060271089981694,0.010913888004221262
FRESH_60,2024,0.0008,416,0.0006428613718670124,0.0005386746165585661,0.0008011505393737247,0.0007869025083234407,0.5192307692307693,1.207097966173674,-0.00780602710899817,0.010713888004221262
FRESH_60,2025,0.0004,480,0.0008737455191244592,-0.00014767449448276315,0.0004555490061346764,0.0006076322881276606,0.4895833333333333,1.320970024806017,-0.00833486684017609,0.01104575251513296
FRESH_60,2025,0.0006,480,0.0006737455191244585,-0.0003476744944827631,0.00025554900613467506,0.0004076322881276604,0.46041666666666664,1.2383327768244112,-0.00853486684017609,0.010845752515132959
FRESH_60,2025,0.0008,480,0.0004737455191244587,-0.0005476744944827632,5.554900613467677e-05,0.00020763228812766,0.45,1.161329869443388,-0.008734866840176091,0.010645752515132959
FRESH_60,2026,0.0004,363,0.00045718870511800524,-0.0006537265235124097,-0.0002228059166668582,-2.0577787496380134e-05,0.4573002754820937,1.1620392998047435,-0.009318930098777777,0.00945637329284064
FRESH_60,2026,0.0006,363,0.0002571887051180045,-0.0008537265235124097,-0.0004228059166668606,-0.00022057778749638032,0.44077134986225897,1.0877384757775417,-0.009518930098777778,0.009256373292840639
FRESH_60,2026,0.0008,363,5.7188705118004846e-05,-0.0010537265235124097,-0.0006228059166668593,-0.0004205777874963806,0.418732782369146,1.0187810611735015,-0.009718930098777778,0.009056373292840638
LEGACY_REFERENCE,2024,0.0004,558,0.0010063409642472017,0.0008710827571532635,0.0010928750336130116,0.0010445105098304036,0.53584229390681,1.3155408501775194,-0.00850657744798282,0.011419967070823713
LEGACY_REFERENCE,2024,0.0006,558,0.0008063409642472014,0.0006710827571532635,0.0008928750336130111,0.0008445105098304035,0.525089605734767,1.2455864941634418,-0.008706577447982821,0.011219967070823712
LEGACY_REFERENCE,2024,0.0008,558,0.0006063409642472014,0.0004710827571532634,0.0006928750336130129,0.0006445105098304034,0.5125448028673835,1.1794476267553995,-0.008906577447982822,0.011019967070823712
LEGACY_REFERENCE,2025,0.0004,635,0.0008219573124565401,-0.00042475799064149966,0.0003681169181718828,0.000511447374974597,0.47716535433070867,1.2666990826652549,-0.00881595013305496,0.011330682004454707
LEGACY_REFERENCE,2025,0.0006,635,0.0006219573124565398,-0.0006247579906414996,0.00016811691817188116,0.000311447374974597,0.45354330708661417,1.1950583890018194,-0.009015950133054961,0.011130682004454707
LEGACY_REFERENCE,2025,0.0008,635,0.00042195731245654,-0.0008247579906414997,-3.1883081828118506e-05,0.00011144737497459702,0.44251968503937006,1.1278964121537176,-0.009215950133054962,0.010930682004454706
LEGACY_REFERENCE,2026,0.0004,484,0.00032246147292562256,-0.0007546190011391448,-0.00021280068397344412,-1.0478392131091733e-05,0.4462809917355372,1.11211328064675,-0.009283524071818837,0.009596265639347856
LEGACY_REFERENCE,2026,0.0006,484,0.00012246147292562217,-0.0009546190011391447,-0.0004128006839734468,-0.0002104783921310919,0.4318181818181818,1.0409828030269477,-0.009483524071818837,0.009396265639347855
LEGACY_REFERENCE,2026,0.0008,484,-7.753852707437762e-05,-0.0011546190011391447,-0.0006128006839734452,-0.00041047839213109207,0.4090909090909091,0.975015363925147,-0.009683524071818838,0.009196265639347855
NOT_FRESH_60,2024,0.0004,615,0.0009735141305766153,0.00036706048315999807,0.0007292511920659157,0.0008285357709488576,0.526829268292683,1.284502241644254,-0.010656811895520011,0.013889952484958503
NOT_FRESH_60,2024,0.0006,615,0.0007735141305766145,0.00016706048315999814,0.0005292511920659133,0.0006285357709488575,0.5170731707317073,1.219904668743956,-0.010856811895520012,0.013689952484958502
NOT_FRESH_60,2024,0.0008,615,0.0005735141305766147,-3.293951684000195e-05,0.0003292511920659149,0.00042853577094885734,0.4991869918699187,1.1586192268539102,-0.011056811895520012,0.013489952484958502
NOT_FRESH_60,2025,0.0004,635,-0.0002250318679694331,-0.0011964274307578067,-0.0006884811542717314,-0.0005313728488331974,0.4409448818897638,0.9422743461919937,-0.010265982836368035,0.010594426861495235
NOT_FRESH_60,2025,0.0006,635,-0.0004250318679694336,-0.0013964274307578066,-0.000888481154271733,-0.0007313728488331976,0.4283464566929134,0.8940224751760655,-0.010465982836368036,0.010394426861495235
NOT_FRESH_60,2025,0.0008,635,-0.0006250318679694336,-0.0015964274307578067,-0.0010884811542717326,-0.0009313728488331979,0.4220472440944882,0.8484882282807965,-0.010665982836368037,0.010194426861495234
NOT_FRESH_60,2026,0.0004,460,-0.0013417919278580237,-0.0017380073413424842,-0.001470495621633468,-0.0014421132181778975,0.391304347826087,0.6332841353194983,-0.01096547983190794,0.00778575450945516
NOT_FRESH_60,2026,0.0006,460,-0.0015417919278580242,-0.001938007341342484,-0.0016704956216334707,-0.0016421132181778978,0.3804347826086957,0.5922849906337391,-0.01116547983190794,0.0075857545094551605
