feature,event,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
rejection_norm,REJECT_DOWN_4H,Q3,0.0002,0.10666666666665628,0.13444444444444847,0.1707821590174532,6711,-0.0002005466145792658,0.00026731000013133796,0.5260020861272537,0.925668694387071,-0.008397405778544776,0.007160987915999484
rejection_norm,REJECT_DOWN_4H,Q3,0.0004,0.10666666666665628,0.13444444444444847,0.1707821590174532,6711,-0.00040054661457926584,6.731000013133792e-05,0.5064818953956192,0.8566782599914657,-0.008597405778544774,0.006960987915999484
rejection_norm,REJECT_DOWN_4H,Q4,0.0,0.17081815496701666,0.23326907590110257,1.8709876543210053,7236,3.0278242367476014e-05,0.0003195053686818605,0.5288833609729132,1.0112679385808423,-0.008469913037408183,0.007844425490164952
rejection_norm,REJECT_DOWN_4H,Q4,0.0002,0.17081815496701666,0.23326907590110257,1.8709876543210053,7236,-0.00016972175763252379,0.00011950536868186051,0.5111940298507462,0.9390159549340684,-0.008669913037408184,0.007644425490164953
rejection_norm,REJECT_DOWN_4H,Q4,0.0004,0.17081815496701666,0.23326907590110257,1.8709876543210053,7236,-0.0003697217576325238,-8.04946313181395e-05,0.4925373134328358,0.8717437412297855,-0.008869913037408183,0.007444425490164952
rejection_norm,REJECT_UP_4H,Q1,0.0,0.000134318334455585,0.04002770083102695,0.06307692307692693,7579,0.00024451503514042204,0.0004409408600540843,0.5498086818841535,1.117416063128148,-0.006648954811983308,0.00675440958383535
rejection_norm,REJECT_UP_4H,Q1,0.0002,0.000134318334455585,0.04002770083102695,0.06307692307692693,7579,4.451503514042229e-05,0.00024094086005408427,0.528037999736113,1.0204700486077394,-0.006848954811983308,0.0065544095838353505
rejection_norm,REJECT_UP_4H,Q1,0.0004,0.000134318334455585,0.04002770083102695,0.06307692307692693,7579,-0.0001554849648595779,4.0940860054084263e-05,0.5042881646655232,0.9315466404833995,-0.007048954811983308,0.00635440958383535
rejection_norm,REJECT_UP_4H,Q2,0.0,0.06309148264983837,0.08390743684861389,0.106663634296115,6975,0.0001170294070510717,0.00042459016393436855,0.5440860215053763,1.053286261720362,-0.006857877865872375,0.006736780471926541
rejection_norm,REJECT_UP_4H,Q2,0.0002,0.06309148264983837,0.08390743684861389,0.106663634296115,6975,-8.297059294892809e-05,0.00022459016393436854,0.5227240143369175,0.9637609449207062,-0.007057877865872374,0.006536780471926541
rejection_norm,REJECT_UP_4H,Q2,0.0004,0.06309148264983837,0.08390743684861389,0.106663634296115,6975,-0.0002829705929489283,2.4590163934368528e-05,0.5016487455197133,0.8814581954951584,-0.007257877865872375,0.006336780471926541
rejection_norm,REJECT_UP_4H,Q3,0.0,0.1066666666666644,0.1339712918660275,0.17073170731707232,6394,-1.914098499152752e-05,0.0002388783706359643,0.5226775101657805,0.9917044128908421,-0.007093346185348526,0.006677378968625169
rejection_norm,REJECT_UP_4H,Q3,0.0002,0.1066666666666644,0.1339712918660275,0.17073170731707232,6394,-0.00021914098499152733,3.887837063596428e-05,0.5046918986549891,0.9088677836391638,-0.007293346185348526,0.0064773789686251694
rejection_norm,REJECT_UP_4H,Q3,0.0004,0.1066666666666644,0.1339712918660275,0.17073170731707232,6394,-0.0004191409849915275,-0.00016112162936403573,0.4840475445730372,0.8327419793060588,-0.007493346185348526,0.006277378968625169
rejection_norm,REJECT_UP_4H,Q4,0.0,0.17081850533808463,0.23004987531172463,1.8994234465086453,5869,-2.497718665115616e-05,0.00022517451024550716,0.5198500596353723,0.9896754674773144,-0.007447087987861266,0.0070390626646553486
rejection_norm,REJECT_UP_4H,Q4,0.0002,0.17081850533808463,0.23004987531172463,1.8994234465086453,5869,-0.00022497718665115591,2.5174510245507155e-05,0.5023002215028114,0.9106129471456144,-0.007647087987861265,0.006839062664655349
rejection_norm,REJECT_UP_4H,Q4,0.0004,0.17081850533808463,0.23004987531172463,1.8994234465086453,5869,-0.00042497718665115617,-0.00017482548975449285,0.4840688362583064,0.8376877992368856,-0.007847087987861264,0.006639062664655348
rejection_wick_ratio,REJECT_DOWN_4H,Q1,0.0,0.0024937655860892104,0.277777777777772,0.4113029827315546,6344,0.00021687504052765103,0.0005924765008151756,0.5455548549810845,1.0810801114040136,-0.008196305025404216,0.008509445237293401
rejection_wick_ratio,REJECT_DOWN_4H,Q1,0.0002,0.0024937655860892104,0.277777777777772,0.4113029827315546,6344,1.6875040527651243e-05,0.00039247650081517557,0.5307377049180327,1.0060983720946761,-0.008396305025404217,0.0083094452372934
rejection_wick_ratio,REJECT_DOWN_4H,Q1,0.0004,0.0024937655860892104,0.277777777777772,0.4113029827315546,6344,-0.00018312495947234882,0.00019247650081517554,0.5137137452711223,0.936030046918463,-0.008596305025404215,0.008109445237293402
rejection_wick_ratio,REJECT_DOWN_4H,Q2,0.0,0.41134751773045414,0.5298507462686662,0.6408966148215895,6469,0.00012860078921668377,0.00046151603970678856,0.5393414747256144,1.0488565044426545,-0.008179306085174297,0.00791160860146247
