breakout_window,trend_ema_span,stop_atr_multiple,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
24,100,2.0,confirmation,BTCUSDT,131,0.00018652473850146466,-0.011433616676319657,0.29770992366412213,1.0190009479077904,11,-0.01785297995741837,0.036611234017980984,-0.02745027097993542,0.08176878294604965,0.24715255734044894
24,100,2.0,confirmation,ETHUSDT,125,8.846167164264788e-05,-0.014916876075983531,0.328,1.006670403791995,13,-0.0275151096658669,0.04681036296317095,-0.05315469529065327,0.08532973787905744,0.39886392396491277
24,100,2.0,confirmation,SOLUSDT,135,0.0015537310034563403,-0.016456486048627105,0.31851851851851853,1.109355092345819,7,-0.026261205392456532,0.05235255200098883,-0.07524330539964759,0.12890712969678803,0.2805401108401355
24,200,1.5,development,BNBUSDT,274,-5.340639150523847e-05,-0.010868414652640834,0.31386861313868614,0.9946012488537368,23,-0.019599246814654823,0.03312632541172241,-0.03907296522322186,0.07630942943378198,0.33160104493712395
24,200,1.5,development,BTCUSDT,252,0.00033851061531769234,-0.010161027351492168,0.32936507936507936,1.0394251971230444,8,-0.01648954944113702,0.030571408322639264,-0.031794336609079446,0.05931908835799919,0.20204315847396626
24,200,1.5,development,ETHUSDT,257,0.00035168689794342744,-0.012364751824266728,0.31906614785992216,1.0334012212130652,13,-0.01993520199835046,0.03843809880674958,-0.04045388169640936,0.06723489072789095,0.24789695965480374
24,200,1.5,development,SOLUSDT,254,-0.0016042148128802948,-0.0171750753220677,0.2874015748031496,0.8973975651446153,11,-0.027140931439336102,0.05050958183085797,-0.054986487963342004,0.11851570866227816,0.5363332011128332
24,200,1.5,validation,BNBUSDT,313,-1.0540775558082124e-05,-0.00881091601921875,0.3226837060702875,0.9987747633577557,12,-0.01744986616607733,0.0306476466791372,-0.0475841343699573,0.08326690362986204,0.28351175426443553
24,200,1.5,validation,BTCUSDT,293,-0.0006763641488725558,-0.007668717705972505,0.30716723549488056,0.9054193573832515,12,-0.014099107148114397,0.023098903765739313,-0.024885390807863072,0.0553346230299379,0.3194247248084543
24,200,1.5,validation,ETHUSDT,280,0.0007755644412317682,-0.013462481439801121,0.32142857142857145,1.0666857472353564,11,-0.022212167163901442,0.04100818317471848,-0.039839931835985734,0.10502774400076957,0.2500830908735798
24,200,1.5,validation,SOLUSDT,293,-0.0024639729327350143,-0.01637486090060698,0.2696245733788396,0.8291909111618683,17,-0.026370114999536808,0.04481313732790999,-0.04662784806927596,0.11048229089306442,0.7041351728374655
24,200,1.5,confirmation,BNBUSDT,172,0.0007727720679712589,-0.008039858610026495,0.3081395348837209,1.1085628163053325,13,-0.013353684783644681,0.02668942487259487,-0.03384816292676114,0.06493048727415644,0.1610986327912095
24,200,1.5,confirmation,BTCUSDT,170,0.00022428924281889985,-0.008303027727489264,0.31176470588235294,1.030157240042332,11,-0.014496011607103742,0.026211443151422507,-0.030899413302771194,0.06117658720953727,0.19585902405998445
24,200,1.5,confirmation,ETHUSDT,154,0.0006069196868344277,-0.011087982151661801,0.3051948051948052,1.0626635406983276,9,-0.01851971259747369,0.03414150173758112,-0.03245571606925253,0.09794005366997509,0.35286865505843135
24,200,1.5,confirmation,SOLUSDT,165,0.0010498223811265695,-0.01254253917577992,0.3151515151515151,1.0969162933118546,8,-0.02018707162692268,0.03902520036248114,-0.05658247904973586,0.09653034727259117,0.30649420970481767
24,200,2.0,development,BNBUSDT,209,-0.001099563976366544,-0.015074856818090464,0.3062200956937799,0.9195637262049134,13,-0.029996968813557887,0.04402129456222004,-0.05189728696429581,0.09800425366575731,0.43564909744771785
24,200,2.0,development,BTCUSDT,199,-0.0004309211606666045,-0.013454634398094644,0.32160804020100503,0.9631162612024842,10,-0.022200989618629662,0.03903731511858294,-0.042192448812106,0.07929211781066552,0.31663118402103696
24,200,2.0,development,ETHUSDT,208,0.001093494818754642,-0.016341252848316567,0.3269230769230769,1.0790030580438477,12,-0.026337658085470936,0.05121126595248459,-0.05373850892854566,0.08984652097052119,0.2760485942691203
24,200,2.0,development,SOLUSDT,196,-0.0004513780511283924,-0.02302623448057518,0.3163265306122449,0.9779699528443174,17,-0.03690431156086428,0.0689499221459604,-0.07311531728445615,0.11212599143486084,0.5668521002441468
24,200,2.0,validation,BNBUSDT,233,-0.00022050268444842269,-0.01218540273106401,0.3261802575107296,0.9811960442463211,11,-0.02367439612204525,0.04015961239632662,-0.06324551249327655,0.11122253817314946,0.3419078310399919
24,200,2.0,validation,BTCUSDT,228,-0.0012322187036817307,-0.01005526521777651,0.30701754385964913,0.8727462995790474,11,-0.02021996464832597,0.03027469353395553,-0.03230003300457358,0.05350120438598131,0.4288411210351494
24,200,2.0,validation,ETHUSDT,232,0.00023390962360886084,-0.01837261848335393,0.3146551724137931,1.0149555876640164,10,-0.028831305124029625,0.053845824870132564,-0.05291990911464779,0.14023699200102607,0.3663225629009992
