symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
BNBUSDT,REJECT_DOWN_4H,LONG,12,60,0.0002,6477,1.838996539736818e-05,0.00027937155934940636,0.5289485873089393,1.0080000814717842
BNBUSDT,REJECT_DOWN_4H,LONG,12,60,0.0004,6477,-0.00018161003460263198,7.937155934940632e-05,0.509031959240389,0.9241690010961278
BNBUSDT,REJECT_UP_1H,SHORT,1,5,0.0,16279,1.4154772767692664e-06,0.0,0.4987407088887524,1.002710426128571
BNBUSDT,REJECT_UP_1H,SHORT,1,5,0.0002,16279,-0.00019858452272323074,-0.0002,0.4148289206953744,0.68507630739959
BNBUSDT,REJECT_UP_1H,SHORT,1,5,0.0004,16279,-0.00039858452272323075,-0.0004,0.3418514650777075,0.47202314779040105
BNBUSDT,REJECT_UP_1H,SHORT,3,15,0.0,16279,1.0827207230937497e-05,2.6861742610684303e-05,0.5037778733337429,1.01192532314482
BNBUSDT,REJECT_UP_1H,SHORT,3,15,0.0002,16279,-0.00018917279276906254,-0.0001731382573893157,0.4595491123533387,0.8129528194122274
BNBUSDT,REJECT_UP_1H,SHORT,3,15,0.0004,16279,-0.0003891727927690626,-0.0003731382573893157,0.4147060630259844,0.6537504146189106
BNBUSDT,REJECT_UP_1H,SHORT,6,30,0.0,16279,1.2052077727270105e-05,5.6876350813528376e-05,0.5081393205970883,1.0094427028587514
BNBUSDT,REJECT_UP_1H,SHORT,6,30,0.0002,16279,-0.00018794792227272986,-0.00014312364918647163,0.47638061305977025,0.8635746616899109
BNBUSDT,REJECT_UP_1H,SHORT,6,30,0.0004,16279,-0.00038794792227272995,-0.00034312364918647164,0.44468333435714724,0.7388557742224314
BNBUSDT,REJECT_UP_1H,SHORT,12,60,0.0,16278,9.559904220795293e-06,1.747411669039689e-05,0.5012900847769997,1.0052455091527448
BNBUSDT,REJECT_UP_1H,SHORT,12,60,0.0002,16278,-0.00019044009577920455,-0.00018252588330960312,0.47819142400786335,0.901038348241411
BNBUSDT,REJECT_UP_1H,SHORT,12,60,0.0004,16278,-0.00039044009577920475,-0.00038252588330960313,0.4536798132448704,0.8077948240753842
