symbol,period,year,era,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,profit_factor_clean
BTCUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0006,105,-0.0011521890192616106,-0.002386943786395323,0.2857142857142857,0.6942794279988841,0.6942794279988841
BTCUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0008,105,-0.0013521890192616105,-0.002586943786395323,0.2857142857142857,0.6543150287706462,0.6543150287706462
BTCUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0,23,0.00011629330061932332,0.0004067345185692073,0.5217391304347826,1.0905095445716881,1.0905095445716881
BTCUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0002,23,-8.370669938067664e-05,0.00020673451856920727,0.5217391304347826,0.9393660611976883,0.9393660611976883
BTCUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0004,23,-0.00028370669938067685,6.734518569207263e-06,0.5217391304347826,0.8078099254718117,0.8078099254718117
BTCUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0006,23,-0.0004837066993806765,-0.00019326548143079267,0.43478260869565216,0.6944609346641955,0.6944609346641955
BTCUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0008,23,-0.0006837066993806765,-0.00039326548143079276,0.43478260869565216,0.5969112217381086,0.5969112217381086
BTCUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0,86,8.233395635733215e-05,-0.0002851033430983363,0.4069767441860465,1.042997508738879,1.042997508738879
BTCUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0002,86,-0.00011766604364266775,-0.0004851033430983363,0.4069767441860465,0.9421350234137762,0.9421350234137762
BTCUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0004,86,-0.00031766604364266785,-0.0006851033430983363,0.3953488372093023,0.8525461581454055,0.8525461581454055
BTCUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0006,86,-0.0005176660436426681,-0.0008851033430983362,0.36046511627906974,0.7729258134256038,0.7729258134256038
BTCUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0008,86,-0.000717666043642668,-0.0010851033430983362,0.36046511627906974,0.7019200142883845,0.7019200142883845
BTCUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0,26,0.0007398972136626539,-0.0008136670634867338,0.4230769230769231,1.704322451433842,1.704322451433842
BTCUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0002,26,0.0005398972136626539,-0.0010136670634867339,0.4230769230769231,1.4630758028014574,1.4630758028014574
BTCUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0004,26,0.0003398972136626539,-0.0012136670634867338,0.4230769230769231,1.2652797440455397,1.2652797440455397
BTCUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0006,26,0.00013989721366265402,-0.0014136670634867336,0.4230769230769231,1.1001653292379885,1.1001653292379885
