trailing_funding_records,rebalance_funding_periods,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_turnover,mean_price_component,mean_funding_component
3,3,confirmation,0.0006,211,0.00039518406387090274,-2.0756648849846657e-05,0.4976303317535545,1.1377560767709631,5,-0.008355189645986916,0.010413873831802633,-0.027494934365946782,0.03396985925940718,0.1181527845370891,1.1481042654028435,0.0006224819963353579,0.00011713334715639812
3,3,confirmation,0.0014,211,-6.405764229023459e-05,-0.00035526823262953266,0.46445497630331756,0.9793811844645331,5,-0.008888731686052021,0.010010068093896502,-0.027994934365946782,0.033569859259407184,0.14086278975225464,1.1481042654028435,0.0006224819963353579,0.00011713334715639812
21,1,development,0.0006,824,0.00037225164553427814,0.0003740475023041054,0.529126213592233,1.206377765743827,7,-0.005607083545235137,0.00643561699423481,-0.025220370137280203,0.030506462103518945,0.10178886821194144,0.158373786407767,0.0003887177423182588,3.104603913834952e-05
21,1,development,0.0014,824,0.0003089021309711714,0.000296800673999273,0.5254854368932039,1.1685669966864538,7,-0.0057070835452351365,0.006390793530244944,-0.025420370137280202,0.030506462103518945,0.10795664715065445,0.158373786407767,0.0003887177423182588,3.104603913834952e-05
21,1,validation,0.0006,1094,0.0001525884000953903,5.546058445147037e-05,0.5054844606946983,1.0812811571966532,8,-0.005757213759748624,0.005998618877204318,-0.04461146809704567,0.06912316879538756,0.14335466035610178,0.1613345521023766,0.00016757664735316,3.341211837294332e-05
21,1,validation,0.0014,1094,8.805457925443975e-05,-1.4839244823349302e-05,0.4963436928702011,1.0461032690468546,9,-0.0058201613283242705,0.0059235006192122856,-0.04461146809704567,0.06912316879538756,0.1506990262230915,0.1613345521023766,0.00016757664735316,3.341211837294332e-05
21,1,confirmation,0.0006,635,0.00024923019032807803,-3.5390012345158883e-06,0.49921259842519683,1.1535518657799777,7,-0.004958375655865081,0.006265731902116489,-0.02498590932035332,0.020480332916213862,0.08614309396515574,0.16338582677165353,0.00025303937733595213,4.520656102362204e-05
21,1,confirmation,0.0014,635,0.0001838758596194167,-9.681724013555442e-05,0.4881889763779528,1.1108892397456542,7,-0.005009217187335867,0.006265731902116489,-0.025085909320353324,0.02038033291621386,0.0924189400873402,0.16338582677165353,0.00025303937733595213,4.520656102362204e-05
21,3,development,0.0006,274,0.000776412606221052,0.0012972349902823535,0.5693430656934306,1.2269575158157993,8,-0.010746195802182267,0.012752203353035637,-0.052440507215120044,0.04737424740647678,0.1659673727000095,0.33211678832116787,0.0007870824602356507,8.896518248175184e-05
21,3,development,0.0014,274,0.000643565890892585,0.0011894688901030904,0.5656934306569343,1.1849301533172225,8,-0.010876195802182265,0.012700040508366053,-0.05254050721512005,0.047274247406476774,0.17130981947700608,0.33211678832116787,0.0007870824602356507,8.896518248175184e-05
21,3,validation,0.0006,364,0.00025987273858381197,0.00020401971888282447,0.5164835164835165,1.0775057089973061,7,-0.010592144732243236,0.009822746425763742,-0.04664012498285493,0.07463682748998834,0.13975546417717255,0.31524725274725274,0.00025774776605633947,9.669914835164835e-05
21,3,validation,0.0014,364,0.00013377383748491105,0.00010655104603517874,0.5054945054945055,1.0391830127282742,7,-0.01065284778261796,0.009802171094653814,-0.04674012498285493,0.07453682748998836,0.143630812804588,0.31524725274725274,0.00025774776605633947,9.669914835164835e-05
21,3,confirmation,0.0006,211,0.0009315256975667329,0.0004832857847307018,0.5260663507109005,1.3595239350173218,4,-0.008664490831738753,0.012596659304802088,-0.02845981121598578,0.032452935657242686,0.0638379394429599,0.3187203791469194,0.000899615727187586,0.00012752608412322275
21,3,confirmation,0.0014,211,0.0008040375459079652,0.0002832857847307018,0.5165876777251185,1.3033842147114274,4,-0.008764490831738752,0.012391387465661067,-0.028559811215985782,0.032452935657242686,0.06510942497936256,0.3187203791469194,0.000899615727187586,0.00012752608412322275
