beta_window_days,residual_lookback_days,rebalance_time,entry_time,exit_time,gross_return,turnover,estimated_market_beta,long_count,short_count
56,3,2025-03-17 00:00:00+00:00,2025-03-17 04:00:00+00:00,2025-03-18 04:00:00+00:00,0.0048361761759402044,1.0,0.05346379105757279,4,4
56,3,2025-03-18 00:00:00+00:00,2025-03-18 04:00:00+00:00,2025-03-19 04:00:00+00:00,0.0031903070850369947,1.25,0.07600349971933307,4,4
56,3,2025-03-19 00:00:00+00:00,2025-03-19 04:00:00+00:00,2025-03-20 04:00:00+00:00,0.009220381804439959,0.5,0.16695657609811898,4,4
56,3,2025-03-20 00:00:00+00:00,2025-03-20 04:00:00+00:00,2025-03-21 04:00:00+00:00,0.0034859459535966364,1.25,0.034853816360916445,4,4
56,3,2025-03-21 00:00:00+00:00,2025-03-21 04:00:00+00:00,2025-03-22 04:00:00+00:00,0.0016068625648760215,1.0,0.044527529763551926,4,4
56,3,2025-03-22 00:00:00+00:00,2025-03-22 04:00:00+00:00,2025-03-23 04:00:00+00:00,0.0016937194364527453,1.0,0.10155511285814006,4,4
56,3,2025-03-23 00:00:00+00:00,2025-03-23 04:00:00+00:00,2025-03-24 04:00:00+00:00,-0.0040929745488896135,1.25,0.01014880091660808,4,4
56,3,2025-03-24 00:00:00+00:00,2025-03-24 04:00:00+00:00,2025-03-25 04:00:00+00:00,-0.0008439339955911979,1.5,0.06722313830637244,4,4
56,3,2025-03-25 00:00:00+00:00,2025-03-25 04:00:00+00:00,2025-03-26 04:00:00+00:00,-0.013350290180522445,0.75,-0.06294503301887658,4,4
56,3,2025-03-26 00:00:00+00:00,2025-03-26 04:00:00+00:00,2025-03-27 04:00:00+00:00,-0.006801963992247431,0.25,-0.0749027899665336,4,4
56,3,2025-03-27 00:00:00+00:00,2025-03-27 04:00:00+00:00,2025-03-28 04:00:00+00:00,0.010538126212134347,0.75,-0.1720528149109939,4,4
56,3,2025-03-28 00:00:00+00:00,2025-03-28 04:00:00+00:00,2025-03-29 04:00:00+00:00,0.007398516936069091,0.5,-0.1222165142245934,4,4
56,3,2025-03-29 00:00:00+00:00,2025-03-29 04:00:00+00:00,2025-03-30 04:00:00+00:00,-0.0036430334516393964,1.75,0.10186135037400817,4,4
56,3,2025-03-30 00:00:00+00:00,2025-03-30 04:00:00+00:00,2025-03-31 04:00:00+00:00,-0.0009600431583552255,0.75,0.13394307906154984,4,4
56,3,2025-03-31 00:00:00+00:00,2025-03-31 04:00:00+00:00,2025-04-01 04:00:00+00:00,0.0029824719069277417,0.5,0.028882584555903312,4,4
56,3,2025-04-01 00:00:00+00:00,2025-04-01 04:00:00+00:00,2025-04-02 04:00:00+00:00,0.0018628961780532416,1.25,0.10275857977979558,4,4
56,3,2025-04-02 00:00:00+00:00,2025-04-02 04:00:00+00:00,2025-04-03 04:00:00+00:00,-0.0007944151764415902,1.25,0.16588409878934796,4,4
56,3,2025-04-03 00:00:00+00:00,2025-04-03 04:00:00+00:00,2025-04-04 04:00:00+00:00,-0.0017709206421566842,0.75,0.04436556513128323,4,4
56,3,2025-04-04 00:00:00+00:00,2025-04-04 04:00:00+00:00,2025-04-05 04:00:00+00:00,0.002753748744670048,0.75,0.07092665258546155,4,4
56,3,2025-04-05 00:00:00+00:00,2025-04-05 04:00:00+00:00,2025-04-06 04:00:00+00:00,-0.004947250183685498,1.25,-0.00699272196896783,4,4
56,3,2025-04-06 00:00:00+00:00,2025-04-06 04:00:00+00:00,2025-04-07 04:00:00+00:00,0.005877224952740331,0.5,-0.07119998930295435,4,4
56,3,2025-04-07 00:00:00+00:00,2025-04-07 04:00:00+00:00,2025-04-08 04:00:00+00:00,0.00317756425585497,0.75,-0.059703198852943895,4,4
56,3,2025-04-08 00:00:00+00:00,2025-04-08 04:00:00+00:00,2025-04-09 04:00:00+00:00,-0.005893688531551047,1.25,-0.0694440223750834,4,4
56,3,2025-04-09 00:00:00+00:00,2025-04-09 04:00:00+00:00,2025-04-10 04:00:00+00:00,-0.006297669173217418,0.25,-0.08215140620674549,4,4
56,3,2025-04-10 00:00:00+00:00,2025-04-10 04:00:00+00:00,2025-04-11 04:00:00+00:00,-0.01676995356266997,0.75,-0.07987829671547303,4,4
56,3,2025-04-11 00:00:00+00:00,2025-04-11 04:00:00+00:00,2025-04-12 04:00:00+00:00,-0.0019326585554760023,0.25,-0.12122102540946683,4,4
56,3,2025-04-12 00:00:00+00:00,2025-04-12 04:00:00+00:00,2025-04-13 04:00:00+00:00,-0.005526072127605169,0.25,-0.03612925378764348,4,4
56,3,2025-04-13 00:00:00+00:00,2025-04-13 04:00:00+00:00,2025-04-14 04:00:00+00:00,0.001889862784293067,1.0,-0.0026356470524622755,4,4
56,3,2025-04-14 00:00:00+00:00,2025-04-14 04:00:00+00:00,2025-04-15 04:00:00+00:00,-0.0006371970630184992,1.0,0.12866337226958896,4,4
56,3,2025-04-15 00:00:00+00:00,2025-04-15 04:00:00+00:00,2025-04-16 04:00:00+00:00,0.004336432737407386,1.0,-0.005949096742383697,4,4
56,3,2025-04-16 00:00:00+00:00,2025-04-16 04:00:00+00:00,2025-04-17 04:00:00+00:00,-0.006401631634262203,0.5,0.006572417300965361,4,4
56,3,2025-04-17 00:00:00+00:00,2025-04-17 04:00:00+00:00,2025-04-18 04:00:00+00:00,0.0003991409969955062,0.5,0.09789440879173089,4,4
56,3,2025-04-18 00:00:00+00:00,2025-04-18 04:00:00+00:00,2025-04-19 04:00:00+00:00,0.0035083651192482357,1.0,0.14188341658644937,4,4
56,3,2025-04-19 00:00:00+00:00,2025-04-19 04:00:00+00:00,2025-04-20 04:00:00+00:00,-0.0025487837771851207,1.25,0.08477155287975438,4,4
56,3,2025-04-20 00:00:00+00:00,2025-04-20 04:00:00+00:00,2025-04-21 04:00:00+00:00,-0.00280889885380764,1.25,0.008440853764487805,4,4
56,3,2025-04-21 00:00:00+00:00,2025-04-21 04:00:00+00:00,2025-04-22 04:00:00+00:00,0.007672163785413563,0.25,0.04811013236123407,4,4
56,3,2025-04-22 00:00:00+00:00,2025-04-22 04:00:00+00:00,2025-04-23 04:00:00+00:00,0.011325696673647162,0.25,0.09763316182197773,4,4
56,3,2025-04-23 00:00:00+00:00,2025-04-23 04:00:00+00:00,2025-04-24 04:00:00+00:00,0.004839659007159894,1.5,0.19174636889801855,4,4
56,3,2025-04-24 00:00:00+00:00,2025-04-24 04:00:00+00:00,2025-04-25 04:00:00+00:00,0.006503649889569141,0.75,-0.028050709637672477,4,4
56,3,2025-04-25 00:00:00+00:00,2025-04-25 04:00:00+00:00,2025-04-26 04:00:00+00:00,-0.017400728926201536,1.75,-0.13248039376393914,4,4
56,3,2025-04-26 00:00:00+00:00,2025-04-26 04:00:00+00:00,2025-04-27 04:00:00+00:00,0.004611562755645601,0.5,-0.03703362812446953,4,4
56,3,2025-04-27 00:00:00+00:00,2025-04-27 04:00:00+00:00,2025-04-28 04:00:00+00:00,0.020910268019804,0.5,0.09796538507673302,4,4
56,3,2025-04-28 00:00:00+00:00,2025-04-28 04:00:00+00:00,2025-04-29 04:00:00+00:00,0.0009653650798058661,1.25,0.14827895723166395,4,4
56,3,2025-04-29 00:00:00+00:00,2025-04-29 04:00:00+00:00,2025-04-30 04:00:00+00:00,-0.0035823647761130395,0.75,0.026093103217999333,4,4
56,3,2025-04-30 00:00:00+00:00,2025-04-30 04:00:00+00:00,2025-05-01 04:00:00+00:00,0.002460998079728119,0.75,-0.008437790254967104,4,4
56,3,2025-05-01 00:00:00+00:00,2025-05-01 04:00:00+00:00,2025-05-02 04:00:00+00:00,0.0033473359530931668,1.25,0.1662063880690774,4,4
56,3,2025-05-02 00:00:00+00:00,2025-05-02 04:00:00+00:00,2025-05-03 04:00:00+00:00,-0.003763049261267401,1.0,0.13642199290458207,4,4
56,3,2025-05-03 00:00:00+00:00,2025-05-03 04:00:00+00:00,2025-05-04 04:00:00+00:00,0.0026003626133667135,1.0,0.09793809349486582,4,4
56,3,2025-05-04 00:00:00+00:00,2025-05-04 04:00:00+00:00,2025-05-05 04:00:00+00:00,0.0024013194199982296,1.0,0.05368578819356043,4,4
56,3,2025-05-05 00:00:00+00:00,2025-05-05 04:00:00+00:00,2025-05-06 04:00:00+00:00,-0.0071846839643719684,0.75,0.0537963789066952,4,4
56,3,2025-05-06 00:00:00+00:00,2025-05-06 04:00:00+00:00,2025-05-07 04:00:00+00:00,-0.011426236575222168,0.75,0.0778799057607073,4,4
56,3,2025-05-07 00:00:00+00:00,2025-05-07 04:00:00+00:00,2025-05-08 04:00:00+00:00,0.01621296208854979,0.5,0.14850014991661947,4,4
56,3,2025-05-08 00:00:00+00:00,2025-05-08 04:00:00+00:00,2025-05-09 04:00:00+00:00,0.02791433967476628,0.75,0.16113719890478378,4,4
56,3,2025-05-09 00:00:00+00:00,2025-05-09 04:00:00+00:00,2025-05-10 04:00:00+00:00,0.0006196546068674702,1.0,0.054604963637865434,4,4
56,3,2025-05-10 00:00:00+00:00,2025-05-10 04:00:00+00:00,2025-05-11 04:00:00+00:00,-0.05337464258552796,1.25,-0.06807300105618455,4,4
56,3,2025-05-11 00:00:00+00:00,2025-05-11 04:00:00+00:00,2025-05-12 04:00:00+00:00,0.009873079483757208,0.75,-0.2027884939004278,4,4
56,3,2025-05-12 00:00:00+00:00,2025-05-12 04:00:00+00:00,2025-05-13 04:00:00+00:00,0.03424440720708534,0.5,-0.15900980424589228,4,4
56,3,2025-05-13 00:00:00+00:00,2025-05-13 04:00:00+00:00,2025-05-14 04:00:00+00:00,-0.013133134891990889,0.75,-0.23413984152902373,4,4
56,3,2025-05-14 00:00:00+00:00,2025-05-14 04:00:00+00:00,2025-05-15 04:00:00+00:00,-0.008178859223016907,1.75,-0.011591429903920036,4,4
56,3,2025-05-15 00:00:00+00:00,2025-05-15 04:00:00+00:00,2025-05-16 04:00:00+00:00,-0.0073223199289008944,0.75,-0.0628523591730053,4,4
56,3,2025-05-16 00:00:00+00:00,2025-05-16 04:00:00+00:00,2025-05-17 04:00:00+00:00,-0.02214429293262586,0.75,0.15520708025690033,4,4
56,3,2025-05-17 00:00:00+00:00,2025-05-17 04:00:00+00:00,2025-05-18 04:00:00+00:00,-0.0026622417065739895,0.25,0.19747734062051658,4,4
56,3,2025-05-18 00:00:00+00:00,2025-05-18 04:00:00+00:00,2025-05-19 04:00:00+00:00,0.005599346142762793,0.0,0.19585104632824055,4,4
56,3,2025-05-19 00:00:00+00:00,2025-05-19 04:00:00+00:00,2025-05-20 04:00:00+00:00,0.01499390800513209,1.25,0.06345504972246055,4,4
56,3,2025-05-20 00:00:00+00:00,2025-05-20 04:00:00+00:00,2025-05-21 04:00:00+00:00,-0.005030368764627244,1.25,0.17870309475501595,4,4
56,3,2025-05-21 00:00:00+00:00,2025-05-21 04:00:00+00:00,2025-05-22 04:00:00+00:00,-0.0053363598827018965,1.0,0.015546619380716165,4,4
56,3,2025-05-22 00:00:00+00:00,2025-05-22 04:00:00+00:00,2025-05-23 04:00:00+00:00,0.010562616799391161,0.75,0.2116034312921402,4,4
56,3,2025-05-23 00:00:00+00:00,2025-05-23 04:00:00+00:00,2025-05-24 04:00:00+00:00,0.007831768733098862,1.25,0.06727170978619956,4,4
56,3,2025-05-24 00:00:00+00:00,2025-05-24 04:00:00+00:00,2025-05-25 04:00:00+00:00,0.0021669752309106116,0.75,-0.06769104731074446,4,4
56,3,2025-05-25 00:00:00+00:00,2025-05-25 04:00:00+00:00,2025-05-26 04:00:00+00:00,-0.009654699022094732,0.25,-0.0864661666623554,4,4
56,3,2025-05-26 00:00:00+00:00,2025-05-26 04:00:00+00:00,2025-05-27 04:00:00+00:00,0.00041685563984920904,1.25,0.044482026647519324,4,4
56,3,2025-05-27 00:00:00+00:00,2025-05-27 04:00:00+00:00,2025-05-28 04:00:00+00:00,-0.0005833837281485899,1.25,0.12873934079389046,4,4
56,3,2025-05-28 00:00:00+00:00,2025-05-28 04:00:00+00:00,2025-05-29 04:00:00+00:00,-0.0020853253730556826,1.5,0.07485223196606156,4,4
