symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BNBUSDT,2026-04,BASE_SHORT,0.001,78,0.358974358974359,-0.0008776800549552823,-0.0011150925710293183,0.5708117980016975,0.010820537965816723,-0.011608294340106462,0.5708117980016975
BNBUSDT,2026-04,ATR_CONTRACTING,0.0,20,0.4,-0.0001986253394870019,-0.00011509257102931825,0.7790506398879958,0.0037066412003692317,-0.005070687397159213,0.7790506398879958
BNBUSDT,2026-04,ATR_CONTRACTING,0.0002,20,0.4,-0.000398625339487002,-0.00031509257102931823,0.608793185925671,0.0035066412003692316,-0.005270687397159212,0.608793185925671
BNBUSDT,2026-04,ATR_CONTRACTING,0.0004,20,0.4,-0.0005986253394870021,-0.0005150925710293182,0.4744120356507368,0.0033066412003692315,-0.005470687397159213,0.4744120356507368
BNBUSDT,2026-04,ATR_CONTRACTING,0.0006,20,0.4,-0.0007986253394870017,-0.0007150925710293182,0.3656483748834685,0.003106641200369232,-0.005670687397159212,0.3656483748834685
BNBUSDT,2026-04,ATR_CONTRACTING,0.0008,20,0.3,-0.0009986253394870018,-0.0009150925710293183,0.28229069889718106,0.002906641200369232,-0.005870687397159213,0.28229069889718106
BNBUSDT,2026-04,ATR_CONTRACTING,0.001,20,0.3,-0.0011986253394870021,-0.0011150925710293183,0.2173042291927444,0.0027066412003692317,-0.006070687397159213,0.2173042291927444
BNBUSDT,2026-04,ATR_EXPANDING,0.0,64,0.546875,0.00023597563735636845,0.00014527678259723675,1.1521640763831595,0.011820537965816724,-0.010608294340106461,1.1521640763831595
BNBUSDT,2026-04,ATR_EXPANDING,0.0002,64,0.484375,3.597563735636839e-05,-5.4723217402763256e-05,1.0218416664137753,0.011620537965816724,-0.010808294340106462,1.0218416664137753
BNBUSDT,2026-04,ATR_EXPANDING,0.0004,64,0.453125,-0.00016402436264363154,-0.00025472321740276327,0.9064486052405913,0.011420537965816725,-0.01100829434010646,0.9064486052405913
BNBUSDT,2026-04,ATR_EXPANDING,0.0006,64,0.40625,-0.0003640243626436314,-0.0004547232174027632,0.8052795784862642,0.011220537965816724,-0.011208294340106461,0.8052795784862642
BNBUSDT,2026-04,ATR_EXPANDING,0.0008,64,0.40625,-0.0005640243626436316,-0.0006547232174027633,0.7163172010565748,0.011020537965816724,-0.011408294340106461,0.7163172010565748
BNBUSDT,2026-04,ATR_EXPANDING,0.001,64,0.390625,-0.000764024362643632,-0.0008547232174027633,0.6377040771514504,0.010820537965816723,-0.011608294340106462,0.6377040771514504
