hypothesis,event,horizon,minutes,feature,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,baseline_mean_return,baseline_profit_factor,mean_return_delta,pf_delta
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q2,0.0,2.428993305425597,2.6819639324211333,2.955901081111583,4104,-6.009421378812304e-06,0.00033077368950335,0.5402046783625731,0.997292308778699,-0.00685444980234089,0.006540105329430743,1.6413163231538343e-05,1.0067840312693692,-2.2422584610350645e-05,-0.009491722490670207
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q2,0.0002,2.428993305425597,2.6819639324211333,2.955901081111583,4104,-0.00020600942137881232,0.00013077368950335,0.5177875243664717,0.9109555470295959,-0.00705444980234089,0.0063401053294307435,-0.00018358683676846164,0.9270103762098132,-2.2422584610350685e-05,-0.016054829180217278
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q2,0.0004,2.428993305425597,2.6819639324211333,2.955901081111583,4104,-0.0004060094213788124,-6.922631049665002e-05,0.4934210526315789,0.8317170945544845,-0.00725444980234089,0.006140105329430743,-0.00038358683676846165,0.8533030159057083,-2.2422584610350767e-05,-0.021585921351223836
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q3,0.0,2.955975988947378,3.290609339784706,3.769311127779113,4104,1.680374858883402e-05,0.00039636596274790004,0.5338693957115009,1.0071878184889254,-0.007456283455661779,0.006941925537688916,1.6413163231538343e-05,1.0067840312693692,3.905853572956766e-07,0.00040378721955613983
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q3,0.0002,2.955975988947378,3.290609339784706,3.769311127779113,4104,-0.00018319625141116597,0.0001963659627479,0.517056530214425,0.9246963226117695,-0.007656283455661779,0.006741925537688916,-0.00018358683676846164,0.9270103762098132,3.9058535729566304e-07,-0.0023140535980437082
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q3,0.0004,2.955975988947378,3.290609339784706,3.769311127779113,4104,-0.000383196251411166,-3.6340372521000044e-06,0.4992690058479532,0.8486077756152723,-0.00785628345566178,0.006541925537688916,-0.00038358683676846165,0.8533030159057083,3.9058535729563594e-07,-0.004695240290435998
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q4,0.0,3.769637459450457,4.643362865211549,61.70495934537982,4104,0.0001746570640292884,0.00047693585695660003,0.5316764132553606,1.0573047276648722,-0.009094681561059588,0.009117529403537031,1.6413163231538343e-05,1.0067840312693692,0.00015824390079775005,0.05052069639550294
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q4,0.0002,3.769637459450457,4.643362865211549,61.70495934537982,4104,-2.53429359707115e-05,0.0002769358569566,0.517056530214425,0.9919370052231111,-0.009294681561059588,0.00891752940353703,-0.00018358683676846164,0.9270103762098132,0.00015824390079775014,0.06492662901329793
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q4,0.0004,3.769637459450457,4.643362865211549,61.70495934537982,4104,-0.0002253429359707116,7.693585695659998e-05,0.5041423001949318,0.930469593525798,-0.009494681561059587,0.008717529403537032,-0.00038358683676846165,0.8533030159057083,0.00015824390079775005,0.07716657762008972
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q1,0.0,0.3357619569093391,1.796719125682633,2.46374465802304,4104,-6.814524143065487e-05,0.0002970020438751,0.5331384015594542,0.9657804709106086,-0.00607816099701352,0.005590687914156711,1.6413163231538343e-05,1.0067840312693692,-8.455840466219321e-05,-0.04100356035876063
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q1,0.0002,0.3357619569093391,1.796719125682633,2.46374465802304,4104,-0.0002681452414306549,9.700204387509998e-05,0.5114522417153996,0.8715172151415037,-0.00627816099701352,0.005390687914156711,-0.00018358683676846164,0.9270103762098132,-8.455840466219325e-05,-0.05549316106830948
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q1,0.0004,0.3357619569093391,1.796719125682633,2.46374465802304,4104,-0.0004681452414306549,-0.00010299795612490003,0.4873294346978557,0.785948339029078,-0.0064781609970135205,0.005190687914156711,-0.00038358683676846165,0.8533030159057083,-8.455840466219328e-05,-0.06735467687663033
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q2,0.0,2.4640910274465444,3.1363148028860977,3.927104560280128,4104,2.8658519118649393e-06,0.00027302199891005,0.5297270955165692,1.0012162092962607,-0.00749056597776946,0.006904114113742461,1.6413163231538343e-05,1.0067840312693692,-1.3547311319673404e-05,-0.0055678219731085665
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q2,0.0002,2.4640910274465444,3.1363148028860977,3.927104560280128,4104,-0.00019713414808813503,7.302199891004999e-05,0.5087719298245614,0.9196190686297535,-0.00769056597776946,0.006704114113742461,-0.00018358683676846164,0.9270103762098132,-1.3547311319673394e-05,-0.007391307580059681
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q2,0.0004,2.4640910274465444,3.1363148028860977,3.927104560280128,4104,-0.00039713414808813507,-0.00012697800108995002,0.4895224171539961,0.8444346366791282,-0.00789056597776946,0.006504114113742461,-0.00038358683676846165,0.8533030159057083,-1.354731131967342e-05,-0.008868379226580125
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q3,0.0,3.9277371071442113,4.921285980705289,6.379714006189969,4104,0.00011681152944851619,0.00033963883548470005,0.5265594541910331,1.0486520237313197,-0.007450682818617919,0.007371933969684574,1.6413163231538343e-05,1.0067840312693692,0.00010039836621697784,0.0418679924619505
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q3,0.0002,3.9277371071442113,4.921285980705289,6.379714006189969,4104,-8.31884705514838e-05,0.0001396388354847,0.5104775828460039,0.9666874073523715,-0.007650682818617919,0.007171933969684574,-0.00018358683676846164,0.9270103762098132,0.00010039836621697784,0.03967703114255827
