hypothesis,event,horizon,minutes,feature,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,baseline_mean_return,baseline_profit_factor,mean_return_delta,pf_delta,years,years_pf_gt_1,years_mean_gt_0,worst_year_pf,median_year_pf,assets,assets_pf_gt_1,assets_mean_gt_0,worst_asset_pf,median_asset_pf
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q4,0.0004,6.379961888630108,9.168582782822476,82.67806597978509,4104,-0.00038587948700357294,-7.583003737450018e-06,0.49975633528265107,0.8764283808197323,-0.00926983986391876,0.00790300092079634,-0.00038358683676846165,0.8533030159057083,-2.29265023511129e-06,0.02312536491402395,3,1,1,0.6585844041544757,0.796703362377489,4,1,1,0.7418414746242499,0.8476994596464491
UP_CONTINUATION_LONG,EXTREME_UP,12,60,directional_close_extremity,Q2,0.0004,0.81067344345613,0.8620102214651032,0.901591511936324,4159,-0.00042954636022720435,-0.0004725103068222044,0.46645828324116373,0.8762507043860045,-0.010339161581074098,0.009701473711839482,-0.0002512156238426971,0.9244393083709865,-0.00017833073638450723,-0.04818860398498204,3,0,0,0.7988173243459402,0.8587505245451116,4,0,0,0.8395203551629827,0.8609586983354267
UP_CONTINUATION_LONG,EXTREME_UP,12,60,range_ratio,Q3,0.0004,2.996188092727872,3.36365550948722,3.879555031038187,4159,-0.00042479976869445847,-0.0004,0.46910314979562395,0.875752049068813,-0.010292339875222638,0.009445520107069982,-0.0002512156238426971,0.9244393083709865,-0.00017358414485176135,-0.04868725930217355,3,0,0,0.820243521459599,0.9089646000535594,4,0,0,0.7690611480380929,0.8665942310218072
UP_CONTINUATION_LONG,EXTREME_UP,6,30,volume_ratio_7d,Q3,0.0004,3.859026134888204,4.867020347436602,6.411368031900936,4159,-0.000332343820522892,-0.0005813093689646,0.4532339504688627,0.8715180778006805,-0.00758202548484108,0.007109401250574601,-0.0002452036758708659,0.9011441638679514,-8.714014465202613e-05,-0.029626086067270907,3,0,0,0.7971001622813494,0.8685125589429538,4,1,1,0.7254388855241811,0.8821700334625142
UP_CONTINUATION_LONG,EXTREME_UP,6,30,range_ratio,Q3,0.0004,2.996188092727872,3.36365550948722,3.879555031038187,4159,-0.00032824655116391375,-0.0005134140463296,0.45491704736715555,0.8701617192167453,-0.0073721067253257,0.007023674263987251,-0.0002452036758708659,0.9011441638679514,-8.304287529304786e-05,-0.03098244465120603,3,0,0,0.825930407396126,0.8819351785387042,4,0,0,0.7159575597170759,0.9071742179715623
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,directional_close_extremity,Q1,0.0004,0.1913822048125352,0.715404166656886,0.7984496124031066,4104,-0.00036828866073307923,-5.308248111180001e-05,0.49537037037037035,0.8669761634583135,-0.00805463547727263,0.007161824995142812,-0.00038358683676846165,0.8533030159057083,1.5298176035382412e-05,0.01367314755260518,3,0,0,0.8014153741237524,0.8564522902125759,4,1,1,0.7767085875487512,0.8515884992514202
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,volume_ratio_7d,Q1,0.0004,0.3357619569093391,1.796719125682633,2.46374465802304,4104,-0.00040070121106491066,6.971249069349982e-06,0.5012183235867447,0.8639810512974649,-0.009118714217120679,0.007910020148823766,-0.00028583403750970205,0.9151818581872299,-0.00011486717355520861,-0.051200806889764916,3,0,0,0.7834267748520829,0.8980881044530025,4,0,0,0.7771712241657777,0.8568431011453939
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,directional_close_extremity,Q3,0.0004,0.8917525773195834,0.9256545056583337,0.954314720812181,4104,-0.0004975458516485964,1.7148031753349982e-05,0.5017056530214425,0.8568891484086847,-0.010460804751465339,0.008945828829109912,-0.00028583403750970205,0.9151818581872299,-0.00021171181413889438,-0.05829270977854517,3,0,0,0.7196873718841301,0.8512177307078862,4,1,1,0.7568744367564223,0.8208263161693781
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q1,0.0004,0.7202038581232246,2.026221731049989,2.1508825698376,4104,-0.00034156409747144827,-7.758826250425002e-05,0.49000974658869395,0.8561959384760713,-0.00700273705328084,0.006073832353612004,-0.00038358683676846165,0.8533030159057083,4.202273929701338e-05,0.002892922570362999,3,0,0,0.7943993472879293,0.9046571634077889,4,0,0,0.8322050014067885,0.851234698087261
UP_CONTINUATION_LONG,EXTREME_UP,6,30,abs_return_z,Q3,0.0004,2.466599116891299,2.704603889167924,3.076674147668052,4159,-0.00036192946201522624,-0.0004612315709980216,0.45082952632844436,0.849022524134236,-0.007071060853260839,0.006398196187789725,-0.0002452036758708659,0.9011441638679514,-0.00011672578614436036,-0.05212163973371542,3,0,0,0.772436911579873,0.7920569090237846,4,0,0,0.7869418943762686,0.8245307321599127
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q3,0.0004,2.955975988947378,3.290609339784706,3.769311127779113,4104,-0.000383196251411166,-3.6340372521000044e-06,0.4992690058479532,0.8486077756152723,-0.00785628345566178,0.006541925537688916,-0.00038358683676846165,0.8533030159057083,3.9058535729563594e-07,-0.004695240290435998,3,0,0,0.8200905717635117,0.8468375387332082,4,1,1,0.7418547258923124,0.8029054921183327
UP_CONTINUATION_LONG,EXTREME_UP,6,30,abs_return_z,Q2,0.0004,2.1514362097540727,2.2888299009978303,2.4664944889729266,4159,-0.00035442749029586314,-0.0004493421052630838,0.46068766530415967,0.8454397673522681,-0.00663263644680144,0.006263427032476723,-0.0002452036758708659,0.9011441638679514,-0.00010922381442499726,-0.05570439651568326,3,0,0,0.6919646255389714,0.8688737882033564,4,1,1,0.6445947996621124,0.857811663153115
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,volume_ratio_7d,Q2,0.0004,2.4640910274465444,3.1363148028860977,3.927104560280128,4104,-0.00039713414808813507,-0.00012697800108995002,0.4895224171539961,0.8444346366791282,-0.00789056597776946,0.006504114113742461,-0.00038358683676846165,0.8533030159057083,-1.354731131967342e-05,-0.008868379226580125,3,0,0,0.7995752345247596,0.859750911583557,4,1,1,0.7550527205465006,0.8265899645849267
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,directional_close_extremity,Q3,0.0004,0.8917525773195834,0.9256545056583337,0.954314720812181,4104,-0.00041575079877085235,-3.934616004960004e-05,0.4980506822612086,0.8424156895505812,-0.00777938090240831,0.006732911882774865,-0.00038358683676846165,0.8533030159057083,-3.216396200239071e-05,-0.010887326355127125,3,0,0,0.7752385871296654,0.8225668328606671,4,0,0,0.7887920924602299,0.8312891996623887
UP_CONTINUATION_LONG,EXTREME_UP,6,30,range_ratio,Q1,0.0004,1.438028505222809,2.1737022693899135,2.441279277024302,4160,-0.0003602564700467159,-0.0005060211985217,0.45,0.8317973778001404,-0.006253355567580699,0.0059134621252204195,-0.0002452036758708659,0.9011441638679514,-0.00011505279417585001,-0.06934678606781097,3,0,0,0.6801602740046119,0.8494119230650266,4,0,0,0.7455512237505592,0.7738664816893297
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,range_ratio,Q2,0.0004,2.428993305425597,2.6819639324211333,2.955901081111583,4104,-0.0004060094213788124,-6.922631049665002e-05,0.4934210526315789,0.8317170945544845,-0.00725444980234089,0.006140105329430743,-0.00038358683676846165,0.8533030159057083,-2.2422584610350767e-05,-0.021585921351223836,3,0,0,0.8013665414313017,0.8447546915541255,4,0,0,0.7719169526333062,0.8262485127354046
DOWN_REVERSAL_LONG,EXTREME_DOWN,6,30,abs_return_z,Q3,0.0004,2.4438017645581613,2.6660600249915714,2.9873549026929824,4104,-0.00044565307078341934,-7.696167768620003e-05,0.4939083820662768,0.8276598148354032,-0.0077758655386206,0.006496544624855101,-0.00038358683676846165,0.8533030159057083,-6.206623401495769e-05,-0.025643201070305155,3,0,0,0.7409774433869596,0.863149510432738,4,0,0,0.7571905951271651,0.7819262048814106
UP_CONTINUATION_LONG,EXTREME_UP,12,60,range_ratio,Q1,0.0004,1.438028505222809,2.1737022693899135,2.441279277024302,4160,-0.0005216842095904265,-0.0004049204446113671,0.4658653846153846,0.8201857903701766,-0.00849446168604181,0.0076266775464229756,-0.0002512156238426971,0.9244393083709865,-0.0002704685857477294,-0.10425351800080995,3,0,0,0.6738575034691059,0.8427325114311477,4,0,0,0.7538250436775732,0.817708956200173
UP_CONTINUATION_LONG,EXTREME_UP,6,30,range_ratio,Q2,0.0004,2.441502063291451,2.699224149522609,2.9961519636863896,4159,-0.00041117519108615244,-0.00046056384943831097,0.45419572012503007,0.8191941516944756,-0.006688224912318,0.0058734892359673255,-0.0002452036758708659,0.9011441638679514,-0.00016597151521528656,-0.08195001217347575,3,1,1,0.6627613538999424,0.7169017625599323,4,0,0,0.7517402284283672,0.8180959229264436
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,abs_return_z,Q3,0.0004,2.4438017645581613,2.6660600249915714,2.9873549026929824,4104,-0.0006504070963371229,-0.00010953041857465,0.4929337231968811,0.8157494445832755,-0.01065611208436167,0.008533893541341944,-0.00028583403750970205,0.9151818581872299,-0.0003645730588274209,-0.09943241360395438,3,0,0,0.7324231383627302,0.8588204490650717,4,0,0,0.752949330927848,0.8036640120414917
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,directional_close_extremity,Q4,0.0004,0.9543147208122224,0.9830342414949709,1.0,4104,-0.0006261056970057092,-0.0002546226603511,0.48221247563352826,0.8139468899899217,-0.009908962897993978,0.008220120217475844,-0.00028583403750970205,0.9151818581872299,-0.00034027165949600713,-0.10123496819730815,3,0,0,0.6916311589960196,0.8315233228794184,4,0,0,0.7228683009411164,0.8105134568416532
