symbol,period,year,open_time,strategy,penetration_norm,entry_price,exit_price,holding_bars,exit_reason,gross_return
BTCUSDT,2026-05,2026,2026-05-22 11:20:00+00:00,STOP_REJECTION_LOW,0.06361323155216338,77214.4,77437.4,12,TIME,0.0028880623303424446
BTCUSDT,2026-05,2026,2026-05-22 11:20:00+00:00,RECLAIM_FAILURE,0.06361323155216338,77214.4,77437.4,12,TIME,0.0028880623303424446
BTCUSDT,2026-05,2026,2026-05-22 14:00:00+00:00,TIME_ONLY,0.042116630669546434,77098.2,76795.6,12,TIME,-0.0039248646531305775
BTCUSDT,2026-05,2026,2026-05-22 14:00:00+00:00,STOP_REJECTION_LOW,0.042116630669546434,77098.2,77066.0,1,STOP_REJECTION_LOW,-0.0004176491798770776
BTCUSDT,2026-05,2026,2026-05-22 14:00:00+00:00,RECLAIM_FAILURE,0.042116630669546434,77098.2,77064.9,2,RECLAIM_FAILURE,-0.00043191669844433456
BTCUSDT,2026-05,2026,2026-05-22 14:50:00+00:00,TIME_ONLY,0.0433497536945777,76752.7,76752.7,12,TIME,0.0
BTCUSDT,2026-05,2026,2026-05-22 14:50:00+00:00,STOP_REJECTION_LOW,0.0433497536945777,76752.7,76701.3,2,STOP_REJECTION_LOW,-0.0006696832815000775
BTCUSDT,2026-05,2026,2026-05-22 14:50:00+00:00,RECLAIM_FAILURE,0.0433497536945777,76752.7,76734.7,2,RECLAIM_FAILURE,-0.0002345194371012882
BTCUSDT,2026-05,2026,2026-05-22 15:25:00+00:00,TIME_ONLY,0.05434445707201791,76880.0,76901.6,12,TIME,0.00028095733610822293
BTCUSDT,2026-05,2026,2026-05-22 15:25:00+00:00,STOP_REJECTION_LOW,0.05434445707201791,76880.0,76901.6,12,TIME,0.00028095733610822293
BTCUSDT,2026-05,2026,2026-05-22 15:25:00+00:00,RECLAIM_FAILURE,0.05434445707201791,76880.0,76901.6,12,TIME,0.00028095733610822293
