symbol,period,experiment,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BTCUSDT,2026-04,VOLUME_ACCELERATING,69,0.4057971014492754,-0.0004285812310727933,-0.0005468267804356053,0.7160508902008892,0.01019403957771714,-0.01034762535264333,0.7160508902008892
BTCUSDT,2026-04,VOLUME_DECELERATING,37,0.40540540540540543,-0.00015117042996314544,-0.0005943221167747925,0.8848544037034375,0.009045241156594885,-0.007352516007334442,0.8848544037034375
BTCUSDT,2026-04,BEAR_CANDLE_PRESSURE,52,0.3269230769230769,-0.0005644515304337482,-0.0007673191945943292,0.6613883960455672,0.01019403957771714,-0.01034762535264333,0.6613883960455672
BTCUSDT,2026-04,BULL_CANDLE_PRESSURE,43,0.4418604651162791,-0.0008542914036237694,-0.0013080928666656666,0.4811233310143637,0.0045438376918516266,-0.010790882569807314,0.4811233310143637
BTCUSDT,2026-04,BEAR_DI_DOMINANCE,69,0.43478260869565216,-0.00010089733697306857,-0.0004126960306144456,0.9282269009374569,0.01019403957771714,-0.01034762535264333,0.9282269009374569
BTCUSDT,2026-04,DYNAMIC_BEAR_CONFIRMATION,58,0.41379310344827586,-0.00033674358946883146,-0.0005474697994405364,0.7894072947459203,0.01019403957771714,-0.01034762535264333,0.7894072947459203
BTCUSDT,2026-05,BASE_SHORT,97,0.4020618556701031,-0.00037579522613563377,-0.0008512871801633626,0.7785240054450342,0.014998593644285796,-0.011528011737216848,0.7785240054450342
BTCUSDT,2026-05,ADX_RISING,93,0.40860215053763443,-0.0002970363663525805,-0.0008371401200647499,0.8213439020823475,0.014998593644285796,-0.011528011737216848,0.8213439020823475
BTCUSDT,2026-05,ADX_FALLING,19,0.47368421052631576,-0.001125826314141528,-0.0003752238340198888,0.3764488116063994,0.002793747041391681,-0.011240923036025752,0.3764488116063994
BTCUSDT,2026-05,BEAR_SPREAD_WIDENING,92,0.40217391304347827,-0.0003666583884353157,-0.0008849088748125178,0.7897037915830657,0.014998593644285796,-0.011528011737216848,0.7897037915830657
BTCUSDT,2026-05,BEAR_SPREAD_NARROWING,37,0.5675675675675675,0.0008393245903274162,0.000533404271073401,1.8574847444464722,0.013180996869227357,-0.011240923036025752,1.8574847444464722
BTCUSDT,2026-05,BEAR_ACCELERATION,78,0.38461538461538464,-0.00021653631258345137,-0.0009063232487618311,0.859457692780402,0.014998593644285796,-0.008666010170480631,0.859457692780402
BTCUSDT,2026-05,BEAR_DECELERATION,70,0.5285714285714286,0.00044386424048700664,0.00022998215816905088,1.3303433746029538,0.014215141410398813,-0.012841562335762724,1.3303433746029538
BTCUSDT,2026-05,ATR_EXPANDING,80,0.4,-0.000535431855003432,-0.0009399449434109863,0.7071940821718548,0.014998593644285796,-0.011528011737216848,0.7071940821718548
BTCUSDT,2026-05,ATR_CONTRACTING,24,0.4583333333333333,0.0006863786867733988,-0.0003903472138118702,1.7117504498744356,0.011874153308691682,-0.005074017036627132,1.7117504498744356
