hold_funding_periods,entry_percentile,symbol,observation_time,entry_time,exit_time,trailing_funding,historical_threshold,entry_basis,spot_return,perp_short_return,realized_funding,gross_return
21,0.75,ETHUSDT,2024-11-21 08:00:00+00:00,2024-11-21 08:05:00+00:00,2024-11-28 08:05:00+00:00,0.00016395619047619047,0.0001,0.0006310374829889831,0.14554975156882932,-0.14546433223873856,0.00486331,0.0024743646650453818
21,0.75,ETHUSDT,2024-11-28 08:00:00+00:00,2024-11-28 08:05:00+00:00,2024-12-05 08:05:00+00:00,0.00023158619047619047,0.00016395619047619047,0.0005564241955497984,0.07216543604182091,-0.07245341148599427,0.00437161,0.0020418172779133196
21,0.75,ETHUSDT,2024-12-05 08:00:00+00:00,2024-12-05 08:05:00+00:00,2024-12-12 08:05:00+00:00,0.00020817190476190474,0.00018436333333333332,0.0008251660062743582,0.015994727241117168,-0.014851112926016707,0.0036242099999999992,0.00238391215755023
21,0.75,ETHUSDT,2025-07-17 08:00:00+00:00,2025-07-17 08:05:00+00:00,2025-07-24 08:05:00+00:00,7.995428571428573e-05,6.337642857142857e-05,0.00011040862814359897,0.040775649667611935,-0.04016687293369836,0.0021,0.001354388366956787
21,0.75,ETHUSDT,2025-08-14 08:00:00.003000+00:00,2025-08-14 08:05:00+00:00,2025-08-21 08:05:00+00:00,9.336285714285714e-05,8.319857142857142e-05,0.00015195579774673895,-0.09143095930539324,0.0919002983789623,0.00142735,0.0009483445367845264
21,0.75,SOLUSDT,2024-03-07 16:00:00+00:00,2024-03-07 16:05:00+00:00,2024-03-14 16:05:00+00:00,0.0006385433333333334,0.00025052464285714286,0.0011461318051575464,0.15179424205212166,-0.15161365061193366,0.011763729999999998,0.005972160720094002
21,0.75,SOLUSDT,2024-03-14 16:00:00+00:00,2024-03-14 16:05:00+00:00,2024-03-21 16:05:00+00:00,0.0005601776190476191,0.0003649132142857143,0.000989160694189417,0.09340756974471343,-0.09291880920963069,0.00472556,0.0026071602675413665
21,0.75,SOLUSDT,2024-06-02 00:00:00+00:00,2024-06-02 00:05:00+00:00,2024-06-09 00:05:00+00:00,0.00011518904761904763,0.00011315452380952381,0.0008782483156881682,-0.05040904716073147,0.05106198838844622,0.0030681899999999993,0.0018605656138573766
21,0.75,SOLUSDT,2024-06-09 00:00:00+00:00,2024-06-09 00:05:00+00:00,2024-06-16 00:05:00+00:00,0.0001461042857142857,0.00011280190476190477,0.000190041809197794,-0.0795008235145066,0.08005573500538343,0.0020817400000000003,0.0013183257454384154
21,0.75,SOLUSDT,2024-10-21 00:00:00+00:00,2024-10-21 00:05:00+00:00,2024-10-28 00:05:00+00:00,7.488571428571429e-05,5.243976190476191e-05,0.0,0.05446844052022426,-0.05411048800859075,0.0017605000000000003,0.0010592262558167542
21,0.75,SOLUSDT,2024-10-30 08:00:00+00:00,2024-10-30 08:05:00+00:00,2024-11-06 08:05:00+00:00,8.018190476190477e-05,6.810273809523809e-05,0.0002232142857143682,0.018247767857142883,-0.019080562374469867,0.00145297,0.0003100877413365077
