symbol,period,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade
BNBUSDT,2026-07,0.0002,77,0.4155844155844156,-0.0002868887079154737,-0.0004095264701773569,0.8159948946337228,0.012517253073336154,-0.008705276421483688
BNBUSDT,2026-07,0.0004,77,0.35064935064935066,-0.0004868887079154738,-0.0006095264701773569,0.710353101905669,0.012317253073336155,-0.008905276421483687
BNBUSDT,2026-07,0.0006,77,0.3246753246753247,-0.0006868887079154737,-0.0008095264701773569,0.621332222624079,0.012117253073336155,-0.009105276421483687
BNBUSDT,2026-07,0.0008,77,0.2987012987012987,-0.0008868887079154737,-0.0010095264701773569,0.545731763825784,0.011917253073336154,-0.009305276421483688
BNBUSDT,2026-07,0.001,77,0.2857142857142857,-0.001086888707915474,-0.001209526470177357,0.48119058633735684,0.011717253073336154,-0.009505276421483688
SOLUSDT,2026-02,0.0,74,0.5405405405405406,0.00032900886217644584,0.0007215156004029,1.0694636792826393,0.04429892141756553,-0.08051779935275083
SOLUSDT,2026-02,0.0002,74,0.5405405405405406,0.00012900886217644567,0.0005215156004029,1.026719271570878,0.04409892141756553,-0.08071779935275084
SOLUSDT,2026-02,0.0004,74,0.527027027027027,-7.099113782355285e-05,0.00032151560040289995,0.9855730695441419,0.04389892141756553,-0.08091779935275083
SOLUSDT,2026-02,0.0006,74,0.5135135135135135,-0.0002709911378235554,0.00012151560040290002,0.9459856590102442,0.043698921417565526,-0.08111779935275083
SOLUSDT,2026-02,0.0008,74,0.4864864864864865,-0.00047099113782355447,-7.848439959710007e-05,0.9079455459759672,0.04349892141756553,-0.08131779935275082
SOLUSDT,2026-02,0.001,74,0.4864864864864865,-0.000670991137823555,-0.00027848439959710005,0.8714365346384437,0.04329892141756553,-0.08151779935275083
SOLUSDT,2026-03,0.0,90,0.4,-0.00043065936137489167,-0.0017635511467883336,0.8550116064580681,0.01810515873015861,-0.02658300057045082
SOLUSDT,2026-03,0.0002,90,0.37777777777777777,-0.0006306593613748916,-0.0019635511467883337,0.7960465895977324,0.01790515873015861,-0.02678300057045082
SOLUSDT,2026-03,0.0004,90,0.37777777777777777,-0.0008306593613748917,-0.0021635511467883338,0.7417600295992715,0.01770515873015861,-0.026983000570450822
SOLUSDT,2026-03,0.0006,90,0.36666666666666664,-0.0010306593613748913,-0.0023635511467883334,0.6916310173313547,0.01750515873015861,-0.02718300057045082
SOLUSDT,2026-03,0.0008,90,0.36666666666666664,-0.0012306593613748916,-0.0025635511467883335,0.64523671932618,0.01730515873015861,-0.02738300057045082
SOLUSDT,2026-03,0.001,90,0.34444444444444444,-0.0014306593613748922,-0.0027635511467883336,0.6025810753129603,0.01710515873015861,-0.027583000570450822
SOLUSDT,2026-04,0.0,73,0.4657534246575342,0.0005124138784080122,-0.0002396644697423289,1.2841174519523122,0.027724786976980775,-0.020226936359151515
SOLUSDT,2026-04,0.0002,73,0.4246575342465753,0.00031241387840801244,-0.0004396644697423289,1.1632356645703308,0.027524786976980777,-0.020426936359151514
SOLUSDT,2026-04,0.0004,73,0.3698630136986301,0.00011241387840801204,-0.0006396644697423289,1.0552923847609268,0.027324786976980774,-0.020626936359151516
SOLUSDT,2026-04,0.0006,73,0.3698630136986301,-8.758612159198762e-05,-0.0008396644697423289,0.959434118605835,0.027124786976980775,-0.020826936359151515
SOLUSDT,2026-04,0.0008,73,0.3698630136986301,-0.0002875861215919878,-0.0010396644697423288,0.8741492018216254,0.026924786976980777,-0.021026936359151514
SOLUSDT,2026-04,0.001,73,0.3424657534246575,-0.0004875861215919883,-0.001239664469742329,0.7981867819129721,0.026724786976980774,-0.021226936359151516
SOLUSDT,2026-05,0.0,92,0.45652173913043476,0.0001217660110270961,-0.0005959885802067078,1.0584631997309901,0.022365382277865553,-0.018250471994965434
SOLUSDT,2026-05,0.0002,92,0.44565217391304346,-7.823398897290365e-05,-0.0007959885802067077,0.9643156335283461,0.022165382277865554,-0.018450471994965432
SOLUSDT,2026-05,0.0004,92,0.43478260869565216,-0.00027823398897290413,-0.0009959885802067077,0.879308582008327,0.021965382277865552,-0.018650471994965435
SOLUSDT,2026-05,0.0006,92,0.40217391304347827,-0.00047823398897290373,-0.0011959885802067076,0.8024022318585253,0.021765382277865553,-0.018850471994965434
SOLUSDT,2026-05,0.0008,92,0.391304347826087,-0.000678233988972904,-0.0013959885802067077,0.7331723390487627,0.021565382277865554,-0.019050471994965432
SOLUSDT,2026-05,0.001,92,0.34782608695652173,-0.0008782339889729042,-0.0015959885802067078,0.6709520166039923,0.021365382277865552,-0.019250471994965435
SOLUSDT,2026-06,0.0,97,0.5154639175257731,-5.4634132549766836e-05,0.0004496402877698369,0.9852422014981841,0.03537774838816343,-0.032776934749620734
SOLUSDT,2026-06,0.0002,97,0.5051546391752577,-0.00025463413254976636,0.0002496402877698369,0.9329867084804424,0.035177748388163434,-0.03297693474962073
SOLUSDT,2026-06,0.0004,97,0.5051546391752577,-0.00045463413254976634,4.964028776983687e-05,0.8833890141353831,0.034977748388163435,-0.03317693474962073
SOLUSDT,2026-06,0.0006,97,0.4845360824742268,-0.0006546341325497672,-0.00015035971223016306,0.8363514904910408,0.03477774838816343,-0.03337693474962074
SOLUSDT,2026-06,0.0008,97,0.4845360824742268,-0.0008546341325497674,-0.00035035971223016315,0.7917222083971213,0.03457774838816343,-0.033576934749620736
SOLUSDT,2026-06,0.001,97,0.4742268041237113,-0.0010546341325497676,-0.0005503597122301631,0.7493556324421696,0.03437774838816343,-0.033776934749620735
SOLUSDT,2026-07,0.0,80,0.3625,-0.0012843372812366028,-0.001133055529391802,0.49536452518995394,0.016343595591029825,-0.01306655777868504
SOLUSDT,2026-07,0.0002,80,0.35,-0.0014843372812366027,-0.0013330555293918022,0.44478036940315974,0.016143595591029826,-0.01326655777868504
SOLUSDT,2026-07,0.0004,80,0.3125,-0.0016843372812366027,-0.001533055529391802,0.399937257236211,0.015943595591029824,-0.013466557778685039
SOLUSDT,2026-07,0.0006,80,0.275,-0.0018843372812366026,-0.001733055529391802,0.36086171433849534,0.015743595591029825,-0.01366655777868504
SOLUSDT,2026-07,0.0008,80,0.25,-0.002084337281236603,-0.001933055529391802,0.32685233808299374,0.015543595591029824,-0.01386655777868504
SOLUSDT,2026-07,0.001,80,0.25,-0.0022843372812366034,-0.002133055529391802,0.29634848117346535,0.015343595591029824,-0.01406655777868504
