breakout_window,trend_ema_span,stop_atr_multiple,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
24,200,2.0,development,0.0006,812,-0.00021746965240574038,-0.015659329911699448,0.31773399014778325,0.985378181454811,24,-0.030603849553211014,0.05227270789903237,-0.07311531728445615,0.11212599143486084,0.8049384343953571
24,200,2.0,development,0.001,812,-0.0006174696524057408,-0.01605932991169945,0.31773399014778325,0.9592317909748891,24,-0.031003849553211015,0.05187270789903237,-0.07351531728445615,0.11172599143486084,0.8230908367820794
24,200,2.0,development,0.0014,812,-0.0010174696524057397,-0.016459329911699447,0.31773399014778325,0.9340109630808555,24,-0.031403849553211016,0.051472707899032376,-0.07391531728445615,0.11132599143486084,0.8408802851802445
24,200,2.0,validation,0.0006,913,-0.0004910416572534155,-0.014141497371193367,0.3154435925520263,0.9645505349762494,19,-0.028308230387376197,0.05074486116160561,-0.06324551249327655,0.14023699200102607,0.7678317951047507
24,200,2.0,validation,0.001,913,-0.0008910416572534158,-0.014541497371193368,0.3154435925520263,0.9369205324376286,19,-0.0287082303873762,0.050344861161605615,-0.06364551249327655,0.13983699200102606,0.835287881729021
24,200,2.0,validation,0.0014,913,-0.001291041657253415,-0.014941497371193367,0.3154435925520263,0.9103413588957814,19,-0.029108230387376196,0.04994486116160562,-0.06404551249327654,0.13943699200102605,0.8834827840819185
24,200,2.0,confirmation,0.0006,507,0.0008350174360346725,-0.012464762715368737,0.3096646942800789,1.071645363139171,17,-0.02294351903209595,0.04328860996462858,-0.07524330539964759,0.12890712969678803,0.7053657506998339
24,200,2.0,confirmation,0.001,507,0.00043501743603467175,-0.012864762715368738,0.3096646942800789,1.0364610899404938,17,-0.02334351903209595,0.04288860996462858,-0.07564330539964759,0.12850712969678801,0.734824752170096
24,200,2.0,confirmation,0.0014,507,3.50174360346722e-05,-0.013264762715368738,0.3096646942800789,1.00286860307712,17,-0.02374351903209595,0.04248860996462858,-0.07604330539964758,0.128107129696788,0.7613484145894458
72,100,1.5,development,0.0006,739,0.00025648802316507454,-0.011838291602706507,0.31393775372124494,1.022977812486052,18,-0.022670681839297324,0.040504653762250015,-0.054986487963342004,0.11851570866227816,0.5285768509506584
72,100,1.5,development,0.001,739,-0.00014351197683492531,-0.012238291602706508,0.31393775372124494,0.9874517874474555,18,-0.023070681839297325,0.04010465376225002,-0.055386487963342,0.11811570866227816,0.5624220158778268
72,100,1.5,development,0.0014,739,-0.0005435119768349233,-0.012638291602706507,0.31393775372124494,0.9535906928417531,18,-0.023470681839297323,0.03970465376225002,-0.055786487963342,0.11771570866227817,0.5942713079654015
72,100,1.5,validation,0.0006,802,-0.0006299815481729585,-0.011057659640796923,0.3167082294264339,0.9417162090762788,30,-0.021897463920249893,0.03783733936944413,-0.05150276152039564,0.10502774400076957,0.7505257246745772
72,100,1.5,validation,0.001,802,-0.0010299815481729583,-0.011457659640796924,0.3167082294264339,0.9070596654848908,30,-0.022297463920249894,0.037437339369444135,-0.051902761520395635,0.10462774400076957,0.8120331187063646
72,100,1.5,validation,0.0014,802,-0.0014299815481729561,-0.011857659640796924,0.3167082294264339,0.8740714262170977,30,-0.02269746392024989,0.03703733936944414,-0.05230276152039563,0.10422774400076958,0.8583920755198029
72,100,1.5,confirmation,0.0006,448,-0.0010455849435476755,-0.009600565356280354,0.265625,0.889499639748238,26,-0.01818576670211893,0.030496349906693778,-0.05658247904973586,0.09794005366997509,0.7571765828227972
72,100,1.5,confirmation,0.001,448,-0.0014455849435476757,-0.010000565356280355,0.265625,0.8518264614840441,26,-0.018585766702118933,0.030096349906693777,-0.05698247904973586,0.09754005366997509,0.7743596535914914
72,100,1.5,confirmation,0.0014,448,-0.0018455849435476744,-0.010400565356280355,0.265625,0.8163556200179877,26,-0.01898576670211893,0.02969634990669378,-0.057382479049735854,0.0971400536699751,0.8022376075007656
72,100,2.0,development,0.0006,604,0.0014611975788183474,-0.015315854975064946,0.3344370860927152,1.1009175387464263,16,-0.03020739137384334,0.055121363921191165,-0.07311531728445615,0.11212599143486084,0.6320305143019542
72,100,2.0,development,0.001,604,0.0010611975788183477,-0.015715854975064947,0.3344370860927152,1.071968289902551,16,-0.03060739137384334,0.05472136392119117,-0.07351531728445615,0.11172599143486084,0.643486727529343
72,100,2.0,development,0.0014,604,0.000661197578818349,-0.016115854975064944,0.3344370860927152,1.044045851210207,16,-0.031007391373843337,0.05432136392119117,-0.07391531728445615,0.11132599143486084,0.654590704749763
72,100,2.0,validation,0.0006,673,-0.000707454443038342,-0.014564921882769321,0.32392273402674593,0.9509126912784188,22,-0.029390360083515144,0.05138218822513461,-0.06847034869386077,0.14023699200102607,0.7946811856683487
72,100,2.0,validation,0.001,673,-0.0011074544430383418,-0.014964921882769322,0.32392273402674593,0.9245736671667245,22,-0.029790360083515145,0.05098218822513461,-0.06887034869386077,0.13983699200102606,0.8383544844580562
72,100,2.0,validation,0.0014,673,-0.0015074544430383403,-0.015364921882769321,0.32392273402674593,0.8991873445735438,22,-0.030190360083515142,0.05058218822513461,-0.06927034869386077,0.13943699200102605,0.8729588442683724
72,100,2.0,confirmation,0.0006,372,-8.846117152102314e-06,-0.0123985239134345,0.28763440860215056,0.9992639793490998,22,-0.02359784120396625,0.04268055644936967,-0.07524330539964759,0.12890712969678803,0.7515193877004498
72,100,2.0,confirmation,0.001,372,-0.0004088461171521023,-0.0127985239134345,0.28763440860215056,0.9667707170100682,22,-0.023997841203966253,0.04228055644936967,-0.07564330539964759,0.12850712969678801,0.7664073339279318
72,100,2.0,confirmation,0.0014,372,-0.0008088461171521014,-0.0131985239134345,0.28763440860215056,0.9357484256566446,22,-0.02439784120396625,0.04188055644936967,-0.07604330539964758,0.128107129696788,0.7816659975554442
72,200,1.5,development,0.0006,694,0.00032169756156732543,-0.011843358861091623,0.3170028818443804,1.0288257341287586,18,-0.02241784165181073,0.04037444463627571,-0.054986487963342004,0.11851570866227816,0.49079380882817136
72,200,1.5,development,0.001,694,-7.830243843267489e-05,-0.012243358861091624,0.3170028818443804,0.9931513588885387,18,-0.022817841651810732,0.03997444463627571,-0.055386487963342,0.11811570866227816,0.521941288908442
72,200,1.5,development,0.0014,694,-0.00047830243843267293,-0.012643358861091624,0.3170028818443804,0.9591420782459968,18,-0.02321784165181073,0.03957444463627571,-0.055786487963342,0.11771570866227817,0.5551375616419023
72,200,1.5,validation,0.0006,775,-0.00039244823017486034,-0.010905924206403638,0.31870967741935485,0.9633198747474001,26,-0.021717457584037026,0.03798250793706559,-0.05150276152039564,0.10502774400076957,0.6859822995185088
72,200,1.5,validation,0.001,775,-0.0007924482301748599,-0.01130592420640364,0.31870967741935485,0.9277735807282722,26,-0.022117457584037027,0.03758250793706559,-0.051902761520395635,0.10462774400076957,0.75926881679539
72,200,1.5,validation,0.0014,775,-0.0011924482301748573,-0.011705924206403638,0.31870967741935485,0.8939502914866303,26,-0.022517457584037025,0.037182507937065595,-0.05230276152039563,0.10422774400076958,0.8167262714833636
