hypothesis,horizon_bars,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BUY_EXHAUSTION_SHORT,3,15,0.0006,11880,-0.0006355484017751873,-0.000569119233686754,-0.0005953767095446267,-0.0006035072421484089,0.3506734006734007,0.46707399299002383,-0.00307658071654957,0.001837387461122754
BUY_EXHAUSTION_SHORT,6,30,0.0,11880,-6.79045515957968e-05,0.0,-3.353186742344383e-05,-4.477576832101928e-05,0.49823232323232325,0.9443445007650639,-0.0036439703200416224,0.0034649438818879948
BUY_EXHAUSTION_SHORT,6,30,0.0004,11880,-0.00046790455159579687,-0.0004,-0.00043353186742344397,-0.0004447757683210194,0.4212121212121212,0.6742914249185296,-0.004043970320041623,0.0030649438818879946
BUY_EXHAUSTION_SHORT,6,30,0.0006,11880,-0.0006679045515957967,-0.0006,-0.000633531867423444,-0.0006447757683210191,0.38585858585858585,0.5707093862282936,-0.004243970320041622,0.002864943881887995
BUY_EXHAUSTION_SHORT,12,60,0.0,11880,-6.80505462061797e-05,-2.818188737563343e-05,-2.290769080506952e-05,-2.3354855975973546e-05,0.49393939393939396,0.9601812339922883,-0.005128018963528946,0.005063922093210318
BUY_EXHAUSTION_SHORT,12,60,0.0004,11880,-0.0004680505462061798,-0.00042818188737563345,-0.00042290769080506965,-0.0004233548559759736,0.4415824915824916,0.7564125528128335,-0.005528018963528946,0.004663922093210318
BUY_EXHAUSTION_SHORT,12,60,0.0006,11880,-0.0006680505462061796,-0.0006281818873756334,-0.0006229076908050698,-0.0006233548559759735,0.4169191919191919,0.6718270412193994,-0.0057280189635289455,0.004463922093210318
SELL_CONTINUATION_SHORT,1,5,0.0,11843,-1.9437814838269907e-05,-5.4812541109283686e-05,-4.2367590725035656e-05,-3.3790331306686594e-05,0.4680401925187875,0.9599739798599469,-0.0014863882882402367,0.0014452062025108975
SELL_CONTINUATION_SHORT,1,5,0.0004,11843,-0.00041943781483827,-0.0004548125411092837,-0.00044236759072503566,-0.0004337903313066866,0.3009372625179431,0.4279249274182649,-0.0018863882882402367,0.0010452062025108975
SELL_CONTINUATION_SHORT,1,5,0.0006,11843,-0.0006194378148382698,-0.0006548125411092836,-0.0006423675907250355,-0.0006337903313066865,0.24360381660052352,0.29534525117409616,-0.0020863882882402366,0.0008452062025108975
SELL_CONTINUATION_SHORT,3,15,0.0,11843,-2.785643645550419e-05,-5.549055966858063e-05,-5.07274361185587e-05,-4.357577423704859e-05,0.48197247319091446,0.9668772500572338,-0.0024917950982763057,0.0024508407302669135
SELL_CONTINUATION_SHORT,3,15,0.0004,11843,-0.00042785643645550423,-0.00045549055966858065,-0.0004507274361185588,-0.00044357577423704864,0.37600270201806973,0.5998163156245726,-0.002891795098276306,0.0020508407302669133
SELL_CONTINUATION_SHORT,3,15,0.0006,11843,-0.0006278564364555041,-0.0006554905596685806,-0.0006507274361185586,-0.0006435757742370485,0.330912775479186,0.476114827171455,-0.0030917950982763055,0.0018508407302669139
SELL_CONTINUATION_SHORT,6,30,0.0,11843,-5.801059658540931e-05,-0.00013116999996354295,-8.897196794934127e-05,-6.82242040695449e-05,0.4725998480114836,0.9512497164503905,-0.003439936556834455,0.0034392618805487744
SELL_CONTINUATION_SHORT,6,30,0.0004,11843,-0.00045801059658540934,-0.0005311699999635429,-0.0004889719679493413,-0.000468224204069545,0.4001519885164232,0.6764356465509263,-0.0038399365568344552,0.0030392618805487742
SELL_CONTINUATION_SHORT,6,30,0.0006,11843,-0.0006580105965854092,-0.0007311699999635429,-0.0006889719679493414,-0.0006682242040695447,0.3671367052267162,0.5724030772277094,-0.004039936556834455,0.0028392618805487746
SELL_CONTINUATION_SHORT,12,60,0.0,11843,-0.00011780440667598935,-0.00014150579316130063,-0.0001547379666043571,-0.00014462137647009094,0.4795237693152073,0.9317550065454486,-0.005165117175915678,0.0047990000461203535
SELL_CONTINUATION_SHORT,12,60,0.0004,11843,-0.0005178044066759894,-0.0005415057931613006,-0.0005547379666043568,-0.0005446213764700911,0.4226969517858651,0.7338679478258966,-0.005565117175915678,0.004399000046120353
SELL_CONTINUATION_SHORT,12,60,0.0006,11843,-0.0007178044066759893,-0.0007415057931613006,-0.0007547379666043573,-0.000744621376470091,0.39593008528244533,0.6521857878970053,-0.005765117175915678,0.004199000046120354
SELL_EXHAUSTION_LONG,1,5,0.0,11843,1.9437814838269907e-05,5.4812541109283686e-05,4.2367590725035656e-05,3.379033130668646e-05,0.5236004390779363,1.0416949010908532,-0.0014452062025108957,0.001486388288240237
SELL_EXHAUSTION_LONG,1,5,0.0004,11843,-0.0003805621851617301,-0.00034518745889071633,-0.00035763240927496443,-0.00036620966869331355,0.3400320864645782,0.4519138438561858,-0.0018452062025108957,0.001086388288240237
SELL_EXHAUSTION_LONG,1,5,0.0006,11843,-0.0005805621851617299,-0.0005451874588907163,-0.0005576324092749643,-0.0005662096686933134,0.27341045343240733,0.3032014613627862,-0.0020452062025108956,0.0008863882882402369
SELL_EXHAUSTION_LONG,3,15,0.0,11843,2.785643645550419e-05,5.549055966858063e-05,5.0727436118558615e-05,4.357577423704847e-05,0.513552309381069,1.034257450923378,-0.002450840730266912,0.0024917950982763126
SELL_EXHAUSTION_LONG,3,15,0.0004,11843,-0.00037214356354449586,-0.0003445094403314194,-0.0003492725638814414,-0.0003564242257629516,0.40960905176053364,0.6381593538312187,-0.0028508407302669124,0.0020917950982763125
