period,atr_bucket,samples,mean_return,median_return,win_rate,profit_factor,best_trade,worst_trade
2026-06,1.10-1.20,99.0,-0.0001236764200268457,-0.0010357064027030072,0.3939393939393939,0.9561693915295337,0.021040396612662216,-0.021852666300165025
2026-06,1.20-1.40,76.0,-0.0007879944052854918,-0.0010022786075231105,0.42105263157894735,0.8012903823744718,0.028117483225724715,-0.03834581204954168
2026-06,>1.40,17.0,-3.052122933815535e-05,0.000603272295176982,0.5882352941176471,0.9908394649260887,0.013075374177578869,-0.016814908936891082
2026-07,<0.70,0.0,,,,,,
2026-07,0.70-0.80,0.0,,,,,,
2026-07,0.80-0.90,12.0,-0.003098312917631213,-0.002330169826223305,0.08333333333333333,0.018409599601347037,0.0006973014434139557,-0.009767830278084477
2026-07,0.90-1.00,91.0,-0.001068138365047796,-0.0007559376263559514,0.38461538461538464,0.5084785306236179,0.012717253073336154,-0.01306655777868504
2026-07,1.00-1.10,93.0,-0.0008651793133425564,-0.0014004781860879056,0.34408602150537637,0.5795846014958024,0.016343595591029825,-0.010605482250260478
2026-07,1.10-1.20,41.0,0.00017501699824860106,0.00017426059152669815,0.5121951219512195,1.110318555148237,0.019385970011997378,-0.01674167841092955
2026-07,1.20-1.40,44.0,-0.0015187707473251336,-0.0019520669514658806,0.36363636363636365,0.4932011564426704,0.014923419295719276,-0.011158474760719184
2026-07,>1.40,28.0,-0.00014291000986317383,-0.00019012421878183972,0.42857142857142855,0.9412871578695301,0.012237993792437729,-0.011984126984126986
