era,symbol,strategy,cost,windows,total_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_window_return,pooled_mean_return,pooled_median_return,pooled_win_rate,pooled_profit_factor
DISCOVERY_2026_01,BTCUSDT,ATR_080_100,0.0004,1,19,1,1.0,1.0,1.14105942685625,0.00016245355180712109,0.00016245355180712109,-0.00012893612407420784,0.47368421052631576,1.14105942685625
DISCOVERY_2026_01,BTCUSDT,ATR_080_100,0.0006,1,19,0,0.0,0.0,0.9701284640022476,-3.7546448192878606e-05,-3.7546448192878606e-05,-0.00032893612407420777,0.47368421052631576,0.9701284640022476
DISCOVERY_2026_01,BTCUSDT,ATR_080_100,0.0008,1,19,0,0.0,0.0,0.8261046821730321,-0.00023754644819287893,-0.00023754644819287893,-0.0005289361240742079,0.42105263157894735,0.8261046821730321
DISCOVERY_2026_01,BTCUSDT,BASE_SHORT,0.0,1,91,1,1.0,1.0,2.3597117642295897,0.001455612688624005,0.001455612688624005,0.0002710638759257922,0.5164835164835165,2.3597117642295897
DISCOVERY_2026_01,BTCUSDT,BASE_SHORT,0.0002,1,91,1,1.0,1.0,2.075118411138769,0.001255612688624005,0.001255612688624005,7.106387592579217e-05,0.5054945054945055,2.075118411138769
DISCOVERY_2026_01,BTCUSDT,BASE_SHORT,0.0004,1,91,1,1.0,1.0,1.8303524964741296,0.001055612688624005,0.001055612688624005,-0.00012893612407420784,0.46153846153846156,1.8303524964741296
DISCOVERY_2026_01,BTCUSDT,BASE_SHORT,0.0006,1,91,1,1.0,1.0,1.619535705316086,0.0008556126886240051,0.0008556126886240051,-0.00032893612407420777,0.45054945054945056,1.619535705316086
DISCOVERY_2026_01,BTCUSDT,BASE_SHORT,0.0008,1,91,1,1.0,1.0,1.4387469307061047,0.0006556126886240051,0.0006556126886240051,-0.0005289361240742079,0.4175824175824176,1.4387469307061047
DISCOVERY_2026_01,ETHUSDT,ATR_080_100,0.0,1,22,0,0.0,0.0,0.536748205146184,-0.0008261164083343188,-0.0008261164083343188,-0.0005324000370974247,0.45454545454545453,0.536748205146184
DISCOVERY_2026_01,ETHUSDT,ATR_080_100,0.0002,1,22,0,0.0,0.0,0.4577668868247576,-0.0010261164083343185,-0.0010261164083343185,-0.0007324000370974248,0.45454545454545453,0.4577668868247576
DISCOVERY_2026_01,ETHUSDT,ATR_080_100,0.0004,1,22,0,0.0,0.0,0.38847054694319477,-0.0012261164083343192,-0.0012261164083343192,-0.0009324000370974246,0.4090909090909091,0.38847054694319477
DISCOVERY_2026_01,ETHUSDT,ATR_080_100,0.0006,1,22,0,0.0,0.0,0.3283281710785312,-0.001426116408334319,-0.001426116408334319,-0.0011324000370974245,0.36363636363636365,0.3283281710785312
DISCOVERY_2026_01,ETHUSDT,ATR_080_100,0.0008,1,22,0,0.0,0.0,0.27744429797970677,-0.001626116408334319,-0.001626116408334319,-0.0013324000370974246,0.36363636363636365,0.27744429797970677
DISCOVERY_2026_01,ETHUSDT,BASE_SHORT,0.0,1,103,1,1.0,1.0,1.17805308775171,0.00047563018836060847,0.00047563018836060847,-0.00066743354883958,0.4563106796116505,1.17805308775171
DISCOVERY_2026_01,ETHUSDT,BASE_SHORT,0.0002,1,103,1,1.0,1.0,1.0991302539425831,0.0002756301883606086,0.0002756301883606086,-0.0008674335488395799,0.44660194174757284,1.0991302539425831
DISCOVERY_2026_01,ETHUSDT,BASE_SHORT,0.0004,1,103,1,1.0,1.0,1.026121007628005,7.56301883606088e-05,7.56301883606088e-05,-0.00106743354883958,0.4077669902912621,1.026121007628005
DISCOVERY_2026_01,ETHUSDT,BASE_SHORT,0.0006,1,103,0,0.0,0.0,0.9587337119246782,-0.0001243698116393918,-0.0001243698116393918,-0.0012674335488395798,0.39805825242718446,0.9587337119246782
DISCOVERY_2026_01,ETHUSDT,BASE_SHORT,0.0008,1,103,0,0.0,0.0,0.8965645463495362,-0.0003243698116393915,-0.0003243698116393915,-0.0014674335488395799,0.3883495145631068,0.8965645463495362
DISCOVERY_2026_01,SOLUSDT,ATR_080_100,0.0,1,23,1,1.0,1.0,4.889477077477218,0.0025922245081227593,0.0025922245081227593,0.0025790921595598704,0.7391304347826086,4.889477077477218
DISCOVERY_2026_01,SOLUSDT,ATR_080_100,0.0002,1,23,1,1.0,1.0,4.328798066540459,0.0023922245081227592,0.0023922245081227592,0.0023790921595598703,0.7391304347826086,4.328798066540459
DISCOVERY_2026_01,SOLUSDT,ATR_080_100,0.0004,1,23,1,1.0,1.0,3.8366683320649155,0.00219222450812276,0.00219222450812276,0.00217909215955987,0.6521739130434783,3.8366683320649155
DISCOVERY_2026_01,SOLUSDT,ATR_080_100,0.0006,1,23,1,1.0,1.0,3.364989790378438,0.0019922245081227586,0.0019922245081227586,0.0019790921595598705,0.6521739130434783,3.364989790378438
DISCOVERY_2026_01,SOLUSDT,ATR_080_100,0.0008,1,23,1,1.0,1.0,2.9652724862644235,0.0017922245081227583,0.0017922245081227583,0.0017790921595598704,0.6521739130434783,2.9652724862644235
DISCOVERY_2026_01,SOLUSDT,BASE_SHORT,0.0,1,80,1,1.0,1.0,2.2368672764587205,0.002666691260785821,0.002666691260785821,0.00040150527820637105,0.525,2.2368672764587205
DISCOVERY_2026_01,SOLUSDT,BASE_SHORT,0.0002,1,80,1,1.0,1.0,2.0958180654376957,0.002466691260785821,0.002466691260785821,0.00020150527820637104,0.525,2.0958180654376957
DISCOVERY_2026_01,SOLUSDT,BASE_SHORT,0.0004,1,80,1,1.0,1.0,1.9659557858451815,0.0022666912607858213,0.0022666912607858213,1.5052782063710332e-06,0.5,1.9659557858451815
