strategy,side,horizon,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade
SHORT_EMA_MACD_ADX,SHORT,6,1017,34.4149459193707,-0.019764250264263407,-0.10140436802779976,0.8664634147273235,2.6666234315852932,-1.2516944976121858
SHORT_EMA_MACD_VOLUME,SHORT,6,584,28.25342465753425,-0.06267059398388819,-0.11542941528658082,0.6542813338250938,2.6666234315852932,-2.3141578709495048
SHORT_SCORE_4,SHORT,6,2126,29.9623706491063,-0.06052378330642105,-0.1004474482630279,0.5943891761520351,2.6666234315852932,-2.4578295554492624
SHORT_EMA_MACD,SHORT,6,2262,30.45977011494253,-0.06131149412662007,-0.09684578082477018,0.5856834197517657,2.6666234315852932,-2.4578295554492624
SHORT_EMA,SHORT,6,3746,29.84516817939135,-0.06914174511572832,-0.0957884588711743,0.5301375653076703,2.6666234315852932,-2.4578295554492624
LONG_EMA_MACD_ADX,LONG,6,826,29.297820823244553,-0.09674268281831327,-0.11162267084525493,0.39676654771507025,1.029479292659321,-1.4728657216997765
LONG_EMA,LONG,6,3541,29.454956227054502,-0.08669733467952338,-0.09165353107241973,0.3921830890700149,1.5498142269503656,-1.8471275482164293
LONG_EMA_MACD,LONG,6,2132,29.174484052532833,-0.09034416109185124,-0.09853884161157059,0.38807110794333954,1.5498142269503656,-1.4728657216997765
LONG_SCORE_4,LONG,6,1987,29.1897332662305,-0.09157689079901667,-0.10124600131638842,0.3862393539679049,1.3738971392941801,-1.4728657216997765
LONG_EMA_MACD_VOLUME,LONG,6,495,25.252525252525253,-0.11547474700995726,-0.11155492985097429,0.3187732855485243,1.0572460609704315,-1.4728657216997765
LONG_EMA_MACD_ADX_VOLUME,LONG,6,214,22.897196261682243,-0.1316937693837338,-0.13218169274258665,0.24255453759486525,0.566683713564422,-1.4728657216997765
LONG_SCORE_4_ADX_VOLUME,LONG,6,212,22.169811320754718,-0.1349745714151672,-0.1325956032117747,0.23094006914942047,0.566683713564422,-1.4728657216997765
SHORT_SCORE_4_ADX_VOLUME,SHORT,12,277,38.98916967509025,0.08583474954357863,-0.08936696920140756,1.4769376516083752,3.814867696679105,-1.3314265434864225
SHORT_EMA_MACD_ADX_VOLUME,SHORT,12,280,38.57142857142858,0.08234093896507079,-0.08787515882297307,1.4558882837340839,3.814867696679105,-1.3314265434864225
SHORT_EMA_MACD_ADX,SHORT,12,1017,38.249754178957716,0.014850173232355709,-0.08536383638405358,1.08685628327084,3.814867696679105,-1.3314265434864225
SHORT_EMA_MACD_VOLUME,SHORT,12,584,34.417808219178085,-0.02879290585012045,-0.10120083309246067,0.866200618478555,3.814867696679105,-2.9233485931391168
SHORT_SCORE_4,SHORT,12,2126,34.33678269049859,-0.043226887723215354,-0.09775395728965122,0.7629123823243937,3.814867696679105,-2.9233485931391168
SHORT_EMA_MACD,SHORT,12,2262,34.792219274977896,-0.04583628479406086,-0.09535136924237235,0.7475410594862276,3.814867696679105,-2.9233485931391168
SHORT_EMA,SHORT,12,3746,33.31553657234384,-0.06341732615858581,-0.09883322057021907,0.6511592152748641,3.814867696679105,-2.9233485931391168
LONG_EMA_MACD_ADX,LONG,12,826,29.782082324455207,-0.10134454338976906,-0.10907947920312014,0.4667849233405015,1.5022894385586705,-1.6358684376948072
LONG_EMA,LONG,12,3535,32.33380480905234,-0.1024030950780319,-0.10583200585526412,0.45107868014710495,1.6661690322224223,-3.0976692024244112
LONG_EMA_MACD,LONG,12,2128,30.404135338345867,-0.10490776286439564,-0.11598999434764604,0.4427844217189427,1.5022894385586705,-1.9962242555496477
LONG_SCORE_4,LONG,12,1983,30.66061522945033,-0.1050385973470867,-0.11408694810757006,0.44210228716347316,1.5022894385586705,-1.9962242555496477
LONG_EMA_MACD_VOLUME,LONG,12,494,28.542510121457486,-0.12653286925607182,-0.1429514044928836,0.390977259755891,1.4617793598781148,-1.541093700132965
LONG_SCORE_4_ADX_VOLUME,LONG,12,212,25.471698113207548,-0.12358160928229352,-0.1498710711702466,0.35789624418395916,1.1818341243647579,-1.541093700132965
LONG_EMA_MACD_ADX_VOLUME,LONG,12,214,25.233644859813083,-0.12524545307388887,-0.15128669619675397,0.3526821498610064,1.1818341243647579,-1.541093700132965
