hypothesis,horizon_bars,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
POS_CONTINUATION_LONG,12,60,ETHUSDT,0.0006,2968,-0.0007077468049822288,-0.001344742188185876,-0.000884068051017971,-0.00074937433269672,0.42587601078167114,0.8346365747608547,-0.011663497464535155,0.01179960399185177
POS_CONTINUATION_LONG,12,60,SOLUSDT,0.0,3033,0.0006175199067217447,-0.0002825999192571649,0.00023161910668431968,0.0004206138273780475,0.48532805802835477,1.1316627605773937,-0.013405775726010382,0.016284908840286952
POS_CONTINUATION_LONG,12,60,SOLUSDT,0.0004,3033,0.00021751990672174505,-0.0006825999192571648,-0.00016838089331568147,2.061382737804773e-05,0.4671941971645236,1.044398297312008,-0.013805775726010381,0.01588490884028695
POS_CONTINUATION_LONG,12,60,SOLUSDT,0.0006,3033,1.751990672174436e-05,-0.0008825999192571648,-0.00036838089331568045,-0.00017938617262195264,0.45961094625783055,1.0034992894906214,-0.014005775726010382,0.015684908840286952
POS_REVERSION_SHORT,1,5,BNBUSDT,0.0,3009,1.0201234587833923e-06,-6.488661064785184e-05,-4.371963022311999e-05,-5.172733711594725e-05,0.48255234297108673,1.0008907178619855,-0.003488866442045424,0.0033562824324901773
POS_REVERSION_SHORT,1,5,BNBUSDT,0.0004,3009,-0.00039897987654121666,-0.00046488661064785186,-0.00044371963022312,-0.0004517273371159473,0.4140910601528747,0.7079856733526739,-0.003888866442045424,0.002956282432490177
POS_REVERSION_SHORT,1,5,BNBUSDT,0.0006,3009,-0.0005989798765412165,-0.0006648866106478518,-0.0006437196302231198,-0.0006517273371159471,0.37753406447324694,0.5971836694227173,-0.004088866442045424,0.0027562824324901774
POS_REVERSION_SHORT,1,5,BTCUSDT,0.0,3010,-2.3539241878163084e-05,-4.540085184268072e-05,-1.827212776972009e-05,-1.0737408699996525e-05,0.4867109634551495,0.9766852292944653,-0.0030075612168534824,0.0029933231472756617
POS_REVERSION_SHORT,1,5,BTCUSDT,0.0004,3010,-0.0004235392418781632,-0.00044540085184268074,-0.00041827212776972,-0.00041073740869999664,0.39800664451827245,0.6566861790286682,-0.0034075612168534826,0.0025933231472756615
POS_REVERSION_SHORT,1,5,BTCUSDT,0.0006,3010,-0.0006235392418781629,-0.0006454008518426807,-0.00061827212776972,-0.0006107374086999963,0.3624584717607973,0.5405567679437913,-0.0036075612168534822,0.002393323147275662
POS_REVERSION_SHORT,1,5,ETHUSDT,0.0,2968,4.996732156378309e-05,0.00024312602484738433,0.00014964098164524657,9.075876938130701e-05,0.5357142857142857,1.0356776649804533,-0.0042361509533917815,0.004048199486838047
POS_REVERSION_SHORT,1,5,ETHUSDT,0.0004,2968,-0.00035003267843621694,-0.0001568739751526157,-0.00025035901835475356,-0.0003092412306186931,0.47877358490566035,0.7808318791901162,-0.004636150953391782,0.0036481994868380464
