symbol,event,side,horizon,minutes,samples,mean_return,median_return,win_rate,profit_factor
ETHUSDT,BREAKOUT_UP_1H,LONG,1,5,12745,-4.316030144358218e-05,-0.00020248744577844313,0.4374264417418596,0.944266795912665
ETHUSDT,BREAKOUT_UP_1H,LONG,3,15,12745,-4.182541528313573e-05,-0.0003049710277523987,0.44166339741074934,0.9664790286503822
ETHUSDT,BREAKOUT_UP_1H,LONG,6,30,12745,-7.101857880554374e-05,-0.0003564316103918941,0.449509611612397,0.9587682930288864
ETHUSDT,BREAKOUT_UP_1H,LONG,12,60,12745,-9.057613534373982e-05,-0.00033121691339510484,0.4673205178501373,0.9616055778294044
ETHUSDT,BREAKOUT_DOWN_1H,SHORT,1,5,12190,-3.749747770834285e-06,-0.00017787453978179713,0.44987694831829367,0.9955514390694397
ETHUSDT,BREAKOUT_DOWN_1H,SHORT,3,15,12190,-4.550148441197118e-05,-0.00032336582469250086,0.4439704675963905,0.9674128805375136
ETHUSDT,BREAKOUT_DOWN_1H,SHORT,6,30,12190,-1.8820265114177156e-05,-0.00043728662114383976,0.44733388022969645,0.9901162169334067
ETHUSDT,BREAKOUT_DOWN_1H,SHORT,12,60,12190,4.335548437356252e-05,-0.0005071954712552174,0.4539786710418376,1.0169236043949204
ETHUSDT,BREAKOUT_UP_4H,LONG,1,5,5225,-9.529413632820948e-05,-0.0003128013971794852,0.42411483253588517,0.904718037406018
ETHUSDT,BREAKOUT_UP_4H,LONG,3,15,5225,-0.0001230178436602326,-0.0005485402733835798,0.4126315789473684,0.921192352118537
ETHUSDT,BREAKOUT_UP_4H,LONG,6,30,5225,-0.00010277410438188825,-0.000546354423328288,0.4304306220095694,0.9495951540935835
ETHUSDT,BREAKOUT_UP_4H,LONG,12,60,5225,-0.00010553256477256508,-0.0006044049752702563,0.452822966507177,0.9604195825027823
ETHUSDT,BREAKOUT_DOWN_4H,SHORT,1,5,4797,-1.68453043898305e-05,-0.00028788063090456895,0.43839899937460913,0.9848524473100877
ETHUSDT,BREAKOUT_DOWN_4H,SHORT,3,15,4797,1.849949997270889e-05,-0.000488841144733132,0.43819053575151135,1.0105200192852366
ETHUSDT,BREAKOUT_DOWN_4H,SHORT,6,30,4797,4.655960355040108e-05,-0.0006096108583401039,0.43756514488221804,1.0199134291763245
ETHUSDT,BREAKOUT_DOWN_4H,SHORT,12,60,4797,7.605408354167557e-05,-0.0007790053612156678,0.44090056285178236,1.024580515736715
BNBUSDT,BREAKOUT_UP_1H,LONG,1,5,14408,1.8518829667822062e-05,-1.5884361529161506e-05,0.48938089950027763,1.0331410676813784
BNBUSDT,BREAKOUT_UP_1H,LONG,3,15,14408,-4.941545501533736e-07,-8.660570101143295e-05,0.47688784008883955,0.9994799222174322
BNBUSDT,BREAKOUT_UP_1H,LONG,6,30,14408,2.450876704281148e-05,-0.00010215901158344698,0.4808439755691283,1.018692731664182
