hypothesis,symbol,horizon,minutes,feature,bucket,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_REVERSAL_LONG,ETHUSDT,12,60,volume_ratio_7d,Q3,0.0004,1055,-0.00048054387702661864,2.245729348599964e-06,0.5014218009478673,0.8706756996963998,-0.01085909008540012,0.009791536332681604
DOWN_REVERSAL_LONG,ETHUSDT,12,60,volume_ratio_7d,Q4,0.0,1310,7.423652016792078e-05,0.0005010151731118,0.5305343511450382,1.0193021019750583,-0.012952263763143531,0.011357606993829763
DOWN_REVERSAL_LONG,ETHUSDT,12,60,volume_ratio_7d,Q4,0.0002,1310,-0.0001257634798320791,0.00030101517311180003,0.517557251908397,0.9680920119271939,-0.013152263763143532,0.011157606993829762
DOWN_REVERSAL_LONG,ETHUSDT,12,60,volume_ratio_7d,Q4,0.0004,1310,-0.0003257634798320791,0.0001010151731118,0.5068702290076336,0.9193500189028165,-0.01335226376314353,0.010957606993829763
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q1,0.0,1330,-7.404373966984296e-06,0.00046867233496865,0.5195488721804511,0.9979133128133117,-0.01125780576511059,0.010416217855557562
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q1,0.0002,1330,-0.0002074043739669842,0.00026867233496865,0.5090225563909775,0.943105588919852,-0.011457805765110591,0.010216217855557562
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q1,0.0004,1330,-0.0004074043739669842,6.867233496865e-05,0.5045112781954887,0.8911880364936118,-0.01165780576511059,0.010016217855557563
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q2,0.0,1194,-0.0004993564976526235,-0.0001434822364809,0.490787269681742,0.8840882747916811,-0.01287727571810781,0.011596320706164781
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q2,0.0002,1194,-0.0006993564976526233,-0.0003434822364809,0.4807370184254606,0.8414410192082242,-0.01307727571810781,0.011396320706164781
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q2,0.0004,1194,-0.0008993564976526233,-0.0005434822364809,0.46817420435510887,0.8008527542382773,-0.01327727571810781,0.011196320706164782
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q3,0.0,1030,0.0004362748504131906,0.00039058066839635,0.5213592233009708,1.1046635410409529,-0.012656370961302711,0.01362405504459778
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q3,0.0002,1030,0.00023627485041319057,0.00019058066839635,0.5135922330097087,1.0554036275105034,-0.012856370961302712,0.01342405504459778
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q3,0.0004,1030,3.627485041319065e-05,-9.419331603650015e-06,0.5,1.0083135558098593,-0.01305637096130271,0.01322405504459778
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q4,0.0,675,0.0015617096538683372,0.0012795161102709,0.5614814814814815,1.3345548944361383,-0.0147736185817244,0.01816118658567652
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q4,0.0002,675,0.0013617096538683375,0.0010795161102708998,0.5496296296296296,1.2862731741543396,-0.0149736185817244,0.01796118658567652
DOWN_REVERSAL_LONG,SOLUSDT,12,60,volume_ratio_7d,Q4,0.0004,675,0.0011617096538683372,0.0008795161102708999,0.5407407407407407,1.2396437101997742,-0.0151736185817244,0.01776118658567652
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q1,0.0,940,0.0009526835496012465,0.00091254793968015,0.5691489361702128,1.3867793913859858,-0.00751679974044867,0.009792470640871501
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q1,0.0002,940,0.0007526835496012468,0.00071254793968015,0.5563829787234043,1.2951002955024253,-0.007716799740448669,0.0095924706408715
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q1,0.0004,940,0.0005526835496012467,0.00051254793968015,0.5414893617021277,1.209305306489718,-0.00791679974044867,0.009392470640871502
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q2,0.0,998,-4.206623096324789e-05,0.0006548594578956999,0.5501002004008017,0.9849129906865427,-0.009140275172792318,0.00844675638165066
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q2,0.0002,998,-0.00024206623096324783,0.0004548594578957,0.531062124248497,0.9159471651206709,-0.009340275172792319,0.00824675638165066
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q2,0.0004,998,-0.0004420662309632479,0.00025485945789569995,0.5170340681362725,0.851420523726325,-0.009540275172792318,0.008046756381650661
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q3,0.0,1026,0.0005021011238307973,0.0010255380562357,0.557504873294347,1.1894007188947717,-0.00850148645418685,0.00913131173726385
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q3,0.0002,1026,0.0003021011238307974,0.0008255380562357,0.5477582846003899,1.1102433729681254,-0.008701486454186851,0.00893131173726385
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q3,0.0004,1026,0.00010210112383079736,0.0006255380562357,0.5409356725146199,1.0360627414271284,-0.00890148645418685,0.008731311737263851
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q4,0.0,1182,-0.0004293440275132103,-8.56325677778269e-06,0.49915397631133673,0.8459164016641044,-0.0079205704166458,0.007350221844910539
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q4,0.0002,1182,-0.0006293440275132102,-0.0002085632567777827,0.48392554991539766,0.7820750800325988,-0.0081205704166458,0.007150221844910539
DOWN_REVERSAL_LONG,BNBUSDT,12,60,directional_close_extremity,Q4,0.0004,1182,-0.0008293440275132103,-0.0004085632567777827,0.467005076142132,0.7228683009411164,-0.008320570416645799,0.006950221844910539
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q1,0.0,938,0.00019327927952063518,0.0005210649176071,0.5341151385927505,1.0768757630753358,-0.0083028474340706,0.008252628008005402
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q1,0.0002,938,-6.720720479364817e-06,0.0003210649176071,0.5213219616204691,0.9974242140935797,-0.0085028474340706,0.008052628008005401
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q1,0.0004,938,-0.0002067207204793649,0.00012106491760709994,0.5074626865671642,0.9236168940182948,-0.008702847434070599,0.007852628008005402
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q2,0.0,993,0.0002572107315671337,0.0004153151573593,0.5297079556898288,1.1054376147440037,-0.00736594719625388,0.00778873957123784
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q2,0.0002,993,5.721073156713366e-05,0.00021531515735929998,0.5115810674723061,1.0225623554345795,-0.007565947196253879,0.007588739571237841
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q2,0.0004,993,-0.00014278926843286634,1.5315157359299973e-05,0.5015105740181269,0.9457995058412014,-0.00776594719625388,0.00738873957123784
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q3,0.0,974,-0.00023381509295369117,0.0003193094590696,0.5277207392197125,0.9081454647018008,-0.007959620073446787,0.006808040597631567
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q3,0.0002,974,-0.0004338150929536911,0.00011930945906959997,0.5123203285420944,0.835790820563348,-0.008159620073446788,0.006608040597631567
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q3,0.0004,974,-0.0006338150929536912,-8.069054093040004e-05,0.4948665297741273,0.7687818865475537,-0.008359620073446787,0.006408040597631567
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q4,0.0,1074,-0.00017833678380342892,0.00021757829232335,0.5139664804469274,0.9297939537935034,-0.00738644934656135,0.007046246279950772
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q4,0.0002,1074,-0.00037833678380342885,1.7578292323349988e-05,0.5018621973929237,0.8566086346997087,-0.007586449346561349,0.006846246279950772
DOWN_REVERSAL_LONG,BTCUSDT,12,60,directional_close_extremity,Q4,0.0004,1074,-0.000578336783803429,-0.00018242170767665002,0.48044692737430167,0.7889408238859498,-0.00778644934656135,0.0066462462799507715
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q1,0.0,1291,7.014753891753785e-05,0.0006699021515264,0.5352439969016266,1.0193756389550765,-0.0119004833688017,0.0105637475700535
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q1,0.0002,1291,-0.00012985246108246202,0.00046990215152640006,0.5220759101471727,0.9650446662303923,-0.0121004833688017,0.010363747570053499
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q1,0.0004,1291,-0.0003298524610824622,0.0002699021515264,0.5104570100697134,0.9134644689272161,-0.012300483368801698,0.0101637475700535
DOWN_REVERSAL_LONG,ETHUSDT,12,60,directional_close_extremity,Q2,0.0,1025,0.0003556588396448374,0.0004731172360248,0.526829268292683,1.1142357533420508,-0.009561290639987181,0.010484367486234464
