variant,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q10,q90
CANDIDATE_FIRST_30M,SOLUSDT,0.0006,703,5.340252146270154e-06,-0.0009070875813780959,-0.0005358027494155252,-0.00043688819635008357,0.44950213371266,1.0011435307324672,12,-0.013543958050646121,0.013860068512275548
CANDIDATE_FIRST_30M,SOLUSDT,0.0008,703,-0.00019465974785372954,-0.001107087581378096,-0.0007358027494155239,-0.0006368881963500836,0.4352773826458037,0.9592895238899193,12,-0.013743958050646122,0.013660068512275548
CANDIDATE_FIRST_60M,BNBUSDT,0.0004,626,0.0005885508497224463,0.00010569004210521127,0.00041070844807242505,0.0005684312091441053,0.5079872204472844,1.2302130572529046,6,-0.007388391523575999,0.009560987352116258
CANDIDATE_FIRST_60M,BNBUSDT,0.0006,626,0.00038855084972244625,-9.430995789478866e-05,0.00021070844807242388,0.00036843120914410536,0.4904153354632588,1.146267242731545,8,-0.007588391523575998,0.009360987352116257
CANDIDATE_FIRST_60M,BNBUSDT,0.0008,626,0.0001885508497224462,-0.00029430995789478875,1.0708448072423858e-05,0.00016843120914410508,0.4776357827476038,1.06832631697954,8,-0.007788391523575999,0.009160987352116257
CANDIDATE_FIRST_60M,BTCUSDT,0.0004,703,0.00021493260312947047,-0.00020283212503007208,8.2629224511872e-05,0.0001736951149892802,0.4793741109530583,1.0839709369862316,9,-0.007443549212301969,0.00863247525378986
CANDIDATE_FIRST_60M,BTCUSDT,0.0006,703,1.4932603129470443e-05,-0.000402832125030072,-0.00011737077548812913,-2.630488501071963e-05,0.465149359886202,1.0056030126334556,9,-0.007643549212301969,0.008432475253789859
CANDIDATE_FIRST_60M,BTCUSDT,0.0008,703,-0.00018506739687052984,-0.0006028321250300721,-0.0003173707754881288,-0.00022630488501072,0.45092460881934565,0.9332630408472368,9,-0.00784354921230197,0.008232475253789858
CANDIDATE_FIRST_60M,ETHUSDT,0.0004,744,0.00036505956497219044,-0.0007417159321904006,-7.767083414959002e-05,0.0001666420163981704,0.4489247311827957,1.1075657053986907,7,-0.009977984235460311,0.011925102420639756
CANDIDATE_FIRST_60M,ETHUSDT,0.0006,744,0.0001650595649721899,-0.0009417159321904006,-0.0002776708341495919,-3.335798360182968e-05,0.4381720430107527,1.047096277011312,7,-0.010177984235460312,0.011725102420639755
CANDIDATE_FIRST_60M,ETHUSDT,0.0008,744,-3.494043502780995e-05,-0.0011417159321904006,-0.00047767083414959074,-0.00023335798360182996,0.4274193548387097,0.9903422737645612,7,-0.010377984235460313,0.011525102420639755
CANDIDATE_FIRST_60M,SOLUSDT,0.0004,643,0.00043758187214695306,-0.0006273243919073131,-8.944826580061816e-05,2.148514022827985e-05,0.4774494556765163,1.1015463321764065,7,-0.012911879010900717,0.014060068512275549
CANDIDATE_FIRST_60M,SOLUSDT,0.0006,643,0.00023758187214695196,-0.0008273243919073131,-0.0002894482658006203,-0.00017851485977172065,0.4572317262830482,1.0538095127104699,7,-0.013111879010900718,0.013860068512275548
CANDIDATE_FIRST_60M,SOLUSDT,0.0008,643,3.7581872146952746e-05,-0.001027324391907313,-0.000489448265800619,-0.0003785148597717207,0.4432348367029549,1.008304832109965,8,-0.013311879010900718,0.013660068512275548
LEGACY_EVENT_FIRST_60M,BNBUSDT,0.0004,386,0.0014215895403419897,0.00040527449576728303,0.0010454702299115203,0.001261496975897887,0.538860103626943,1.694878021590109,6,-0.006814444135148134,0.010220390133341929
LEGACY_EVENT_FIRST_60M,BNBUSDT,0.0006,386,0.0012215895403419892,0.0002052744957672831,0.0008454702299115185,0.001061496975897887,0.5207253886010362,1.5709400777940628,6,-0.007014444135148134,0.010020390133341928
LEGACY_EVENT_FIRST_60M,BNBUSDT,0.0008,386,0.0010215895403419895,5.274495767283011e-06,0.0006454702299115187,0.0008614969758978868,0.5025906735751295,1.4566302674674922,6,-0.007214444135148134,0.009820390133341928
LEGACY_EVENT_FIRST_60M,BTCUSDT,0.0004,447,0.00042779470178280933,-0.00017932566569194252,0.0003738665093333543,0.00045019610111237806,0.4854586129753915,1.1671330024479682,7,-0.007266748861765993,0.009257196662816995
LEGACY_EVENT_FIRST_60M,BTCUSDT,0.0006,447,0.00022779470178280883,-0.00037932566569194245,0.00017386650933335263,0.000250196101112378,0.4697986577181208,1.0855088452144555,7,-0.007466748861765992,0.009057196662816994
LEGACY_EVENT_FIRST_60M,BTCUSDT,0.0008,447,2.7794701782808845e-05,-0.0005793256656919425,-2.6133490666646e-05,5.019610111237761e-05,0.4541387024608501,1.010030326056052,7,-0.007666748861765993,0.008857196662816993
LEGACY_EVENT_FIRST_60M,ETHUSDT,0.0004,453,0.0006735701339199925,-0.0007560345990676339,0.0002170002546942811,0.0004092119775282588,0.45695364238410596,1.2008639198211295,6,-0.009743166929684754,0.012220888613859683
LEGACY_EVENT_FIRST_60M,ETHUSDT,0.0006,453,0.0004735701339199917,-0.0009560345990676339,1.700025469427922e-05,0.00020921197752825834,0.445916114790287,1.1367530539772925,6,-0.009943166929684754,0.012020888613859682
LEGACY_EVENT_FIRST_60M,ETHUSDT,0.0008,453,0.00027357013391999196,-0.0011560345990676338,-0.0001829997453057194,9.211977528258289e-06,0.4282560706401766,1.0765218461082229,9,-0.010143166929684755,0.011820888613859682
